Saa_Londar,English Translation
temak,259_uncle_paternal
temak anlap,262_uncle_paternal_older
temak antərore,280_uncle_paternal_younger
itnik,274_aunt_paternal
itnik anlap,273_aunt_paternal_older
itnik antərore,281_aunt_paternal_younger
ɪntɪk,342_uncle_maternal
ɪntɪk ænlap,346_uncle_maternal_older
ɪntɪk antərore,354_uncle_maternal_younger
ndæhɪk,77_mother
wahena ndæhɪk,348_aunt_maternal
ndæhɪk anlap,347_aunt_maternal_older
ndæhɪk antərore,355_aunt_maternal_younger
temak,78_father
waminik anlap,373_brother_older
waminik anlap,374_brother
waminik antərore,499_younger_brother
wahelax anlap,381_sister_older
mæbo,277_first_cousin_male_paternal_aunt
mæbo,275_first_cousin_female_paternal_aunt
næk tutu,343_first_cousin_male_maternal_uncle
næk tutu,344_first_cousin_female_maternal_uncle
tebahwantu,261_father_in_law_of_woman
tɪbɪtwaŋu,310_mother_in_law_of_woman
axarman,79_husband
makehɪn,80_wife
tebæhumul,260_father_in_law
tɪbɪtwuŋu,341_mother_in_law
waŋuk,235_daughter_in_law
wantuk,75_child
tarit,237_son_in_law
mabʊk,300_grandson_son
mabʊk,296_granddaughter_son
mabʊk,238_grandson_daughter
temak,220_nephew_fraternal
itnik,214_niece_fraternal
wantuk,363_nephew_sororal
wantuk,365_niece_sororal
wantuk,385_nephew_sororal_older
wantuk,384_niece_sororal_older
wantuk,506_nephew_sororal_younger
wantuk,505_niece_sororal_younger
temak,376_nephew_fraternal_older
temak,501_nephew_fraternal_younger
itnik,375_niece_fraternal_older
itnik,500_niece_fraternal_younger
su:,1_one
ru,2_two
til,3_three
ɪ:t,4_four
lim,5_five
li:te,6_six
liuru,7_seven
li:til,8_eight
liʲapat,9_nine
haŋil,10_ten
nulhu æɸu,257_eleven
nulhu æmberu,477_twelve
nulhu æmbetil,459_thirteen
nulhu  æmbeit,288_fourteen
nulhu æmbelim,284_fifteen
nulhu æmbelite,430_sixteen
nulhu æmbeliuru,423_seventeen
nulhu æmbelɪtil,255_eighteen
nulhu æmbeliʲapat,367_nineteen
nulberu,11_twenty
nulbetil,460_thirty
nulbeit,289_forty
nulbelim,12_fifty
nulbelite,431_sixty
nulbeliuru,424_seventy
nulbelitil,256_eighty
nulbeliʲapat,368_ninety
pæʉnhu,13_onehundred
