Slolovele,English Translation
katkʷal,1_one
keru,2_two
ketol,3_three
kefet,4_four
kelɪm,5_five
kion,6_six
keᵐbit,7_seven
kɪkʷol,8_eight
kesieukʷo,9_nine
saŋaβul,10_ten
ŋaβulɣero,11_twenty
ŋaβulɣelɪm,12_fifty
fuⁿdolo,13_onehundred
terifaɣtakʷal,14_onethousand
sukao,15_year
matowe,16_right
matoe,16_right
makʷiri,17_left
neu,18_i
kamaɪ,19_weallexcl
kitoru,20_webothincl
kamaru,21_webothexcl
kiɛt,22_weallincl
nieko,23_thou
kimiu,25_youall
niɛ,26_heshe
ⁿdiere,27_theyall
ŋʲere,27_theyall
rak̚ro,28_theyboth
hate,29_nonot
hanaʊ,30_what
sĩɛ̃,31_who
lok,32_where
saβtaro,33_when
kasæk,34_how
niŋalen,35_this
faniŋɛ,36_that
namæk̚,37_above
loβæβæk̚,38_below
lolon,39_ininside
ᵑɡʷatʊ,40_head
fulu,41_hair
mata,42_eye
ᵑɡʷaŋo,43_nose
ᵑɡʷero,44_ear
kʊkʷe,45_mouth
mea,46_tongue
leβo,47_tooth
lɪme,48_hand
tiᵑɡʷe,49_shoulder
ⁿdelo,50_neck
læte,51_back
ᵑɡaru,52_leg
ⁿdai,53_blood
sui,54_bone
finu,55_skin
ᵐbʷoᵐbo,56_belly
taᵑɡʷaĩ,57_intestines
susu,58_breast
æt,59_liver
kuriu,60_dog
manu,61_bird
ɪke,62_fish
ŋʷata,63_snake
nuof,64_worm
kut,65_louse
kariβi̥,66_rat
taɣaɣa,67_spider
namo,68_mosquito
toli,69_egg
kolo̥,70_tail
ᵐbanis,71_wing
fulʊ,72_feather
ŋʷera,73_man
favin,74_woman
maresu̥,75_child
æse,76_name
ase,76_name
risi̥,77_mother
mam,78_father
ŋʷeres,79_husband
raŋtum,80_wife
ræŋi,81_day
ᵐbʷoŋi̥,82_night
ᵐbʷoŋi,82_night
fʷol,83_moon
ɸʷol,83_moon
fitiu,84_star
masaβ,85_sky
kʷaɪ,86_water
sale,87_lake
tæs,88_sea
æβ,89_fire
asu,90_smoke
ᵑɡʷe,91_ash
fatu,92_stone
ɸatu,92_stone
tano,93_earthsoil
ᵑɡʷiɛ,94_dust
one,95_sand
os,96_rain
ⁿdoⁿdo,97_cloud
læŋ,98_wind
mantaβ,99_thunder
fʲel,100_lightning
ᵐbiki,101_meatflesh
ᵐbiɣi,101_meatflesh
kʷaiɣ,102_fruit
ᵐbuᵐbu̥,103_woodsforest
kakʷæri,104_root
raŋa,105_branch
raʊ,106_leaf
kaɪ,107_wood
ⁿduβu̥,108_grass
fire,109_flower
taᵑɡore,110_thatchroof
fale,111_house
karo,112_rope
sæla,113_roadpath
maɛto,114_black
maβʷote,115_white
memea,116_red
ᵑɡʷarᵑɡʷarak̚,117_green
aŋoka,118_yellow
lakʷo,119_big
ᵐbiti,120_small
ᵑɡeni,121_sharp
ᵑɡʷato,122_bluntdull
maemae,123_shyashamed
male,124_old
kak̚ⁿdir,125_painfulsick
kariæɣi,126_good
soᵑɡok,127_bad
letuk,128_correcttrue
soᵑɡo,129_dirty
maⁿda,130_rotten
mʷaβa,131_heavy
faɣsao,132_far
ᵑɡæᵑɡaræŋ,133_near
kaɣⁿdiⁿdi,134_cold
mamas,135_dry
mɪmek,136_wet
karaᵑɡʷæk,137_new
tuek̚,138_other
fanai,139_come
ⁿdɪke,140_walk
tu:,141_stand
toɣo,142_sit
soβi,143_fall
eno,144_liedown
ⁿdori,145_turn
ᵑɡalo̥,146_climb
kakarʊ,147_swim
rɔβo,148_flyverb
tuli,149_throw
taβuniɣni,150_hide
kæn,151_eat
inu,152_drink
mamao,153_yawn
loⁿdo,154_spit
ᵐboᵐbore,155_dream
maturu,156_sleep
ŋʷaso,157_live
mat,158_die
kʷesfat_mate̥,159_kill
leo,160_see
roŋo,161_hear
ᵐboni,162_sniffsmell
mana,163_laugh
tæŋ,164_cry
sere,165_blow
kao,166_burn
turʊ,167_sew
ⁿdiⁿdiŋ,168_pound
kʷesi,169_hit
taɪ,170_cut
ⁿdære̥,171_split
kɛli̥,172_dig
loləᵐbik̚,173_hunt
kʷiriᵐbiᵐbi,174_hold
mataku,175_fear
falu,176_count
maᵐbusɛ,177_breathe
loɛ,178_vomit
kʷetɪ,179_tieup
kʷiriɣi,180_squeeze
fʷok,181_swell
fiti̥,182_say
taᵑɡarɪ,183_scratch
susu,184_stab
foli,185_buy
ᵐbalu,186_steal
riβu,187_plant
tutun,188_cook
fene,189_shoot
ᵑɡea,190_work
roa,191_open
