Novoldixonreef,English Translation
i-sua,1_one
i-rua,2_two
i-tɬ,3_three
i-vas,4_four
i-ləme,5_five
i-lavsua,6_six
i-lavrua,7_seven
i-lavtl,8_eight
i-lavas,9_nine
i-laŋavʊl,10_ten
i-laŋavʊl_i-rua,11_twenty
i-laŋavʊl_i-ləme,12_fifty
ɛ-laŋavʊl_i-laŋavʊl,13_onehundred
a-tao,15_year
tetuboi,16_right
dɛl-mier,17_left
əŋənɛ,18_i
mʷɔⁿdœl,19_weallexcl
kœⁿdar_ⁿdʳua,20_webothincl
moⁿdœl_ⁿdʳua,21_webothexcl
kœⁿdal,22_weallincl
kœⁿdal_daᵐbʷɔ,22_weallincl
aŋuh,23_thou
aŋal,25_youall
ie,26_heshe
ⁿdʳal,27_theyall
ⁿdaruɔ,28_theyboth
i-skan,29_nonot
asɛvi,30_what
wani,31_who
i-osɛ,32_where
lɛvɛnbəlevani,33_when
iena,35_this
ienawat,36_that
-mɛruɔ,37_above
-vi,38_below
-vænuɔ,39_ininside
a-ᵐbʷatɪ-n,40_head
ɛ-βœlɛ-m,41_hair
mɛta-m,42_eye
ᵑgarsɛ-n,43_nose
-ⁿdɛliŋa-n,44_ear
ᵐboŋə-m,45_mouth
ɛ-lɛmə-ŋ,46_tongue
ɛ-luvo-n,47_tooth
nɛ-vɛɾa-n,48_hand
ɛ-ⁿdɛlɛ-ŋ,50_neck
a-tax-n,51_back
ala-n,52_leg
a-ⁿdʳe,53_blood
a-vʷixai,54_bone
a-ivɪnɪs,55_skin
avtə-n,56_belly
a-snɛ,57_intestines
a-asis,58_breast
a-maᵐboɾa,59_liver
ᵐbʊrʊman,60_dog
æ-mæn,61_bird
egə,62_fish
a-mote,63_snake
ɛ-ⁿdələs,64_worm
a-akt,65_louse
a-suɔ,66_rat
a-wuⁿdogas,68_mosquito
a-movʷi,69_egg
a-movʷi_atoa,69_egg
ɛ-vəlɛᵐpʉši,70_tail
ɛ-vɛlaŋawi,71_wing
ɛ-vɪli,72_feather
a-mgʊt,73_man
ɛ-tɪvʷɔteˑ,74_woman
a-teɪᵐborai,75_child
a-ksɛ-m,76_name
kəsna-ŋ,77_mother
tɛmæ-m,78_father
mʷotua_tɪgɪnɛ,79_husband
aitui_tɪgɪnɛ,80_wife
aotirɛn,81_day
lufkotɛ,82_night
ɛ-ᵐbaši,83_moon
ɛ-vunvʊt,84_star
a-map,85_sky
a-jɛmpʰ,86_water
ɛ-tʰaˑs,88_sea
a-kamp,89_fire
sl,90_smoke
ɛ-mosuɔn,91_ash
ɛ-vɐt,92_stone
ɛ-tʰɛnɛ,93_earthsoil
a-tɛnɛsɛlɛ,94_dust
ɛ-mɛrɛsuon,95_sand
ause,96_rain
a-ma_p,97_cloud
ɛ-melaz,98_wind
aᵐbule,99_thunder
aᵐbule_iᵐbɛlɛᵐbɛs,100_lightning
a-lɛŋa,101_meatflesh
a-lɛŋa_ᵐbuas,101_meatflesh
a-vʷani,102_fruit
a-ɪⁿduɔ,103_woodsforest
a-wari,104_root
ɛ-sɛŋi,105_branch
ɛ-raui,106_leaf
a-kai,107_wood
a-ⁿdʳamp,108_grass
a-vovui,109_flower
ɛ-rujɛtɛ,110_thatchroof
emɔ,111_house
ɛ-tal,112_rope
a-sɛlɛ,113_roadpath
-mɛtʰɛʰ,114_black
-fovolao,115_white
-mimiɛlɛ,116_red
-mɛmɛlaksɛ,117_green
o-waswasi,118_yellow
-lɛpɛⁿdʳao,119_big
-rɪkəᵐbʷoi,120_small
ᵐbk,122_bluntdull
-mʷotiɛnɛ,124_old
-ᵑgɛlɛtɛ,125_painfulsick
i-voi,126_good
-sɛtɛ,127_bad
i-voi_ᵐboraŋənə,128_correcttrue
a-lɛlɪŋ,129_dirty
-ŋətɛ,130_rotten
i-nɛmp,131_heavy
-lakʰ,132_far
-saŋə,133_near
-mɪlɛzɛ,134_cold
-mʊzɪmʊzɛ,135_dry
wo-wara,136_wet
wo-βol,139_come
-laŋəlaŋ,140_walk
-təɾɛ,141_stand
-somᵖ,142_sit
-somᵖ_ⁿdao,142_sit
-mur,143_fall
-mʷonɛndaotu,144_liedown
wa-ⁿdʳi,145_turn
-sak,146_climb
i-al,148_flyverb
-kuᵐbuk,149_throw
-kuᵐbuk_luɔ,149_throw
-lumʷolomok,150_hide
-tʰotʰao,151_eat
-wovɔrai,154_spit
-mʷona-lɛs,155_dream
-mʷɔnɛ,156_sleep
-maor,157_live
-mas,158_die
-raβvɪs-ᵐbⁿ,159_kill
-lɪslɛs,160_see
-raŋa,161_hear
a-mus,162_sniffsmell
-wusɪŋal,163_laugh
-wɔrɛtɛ,164_cry
-if,165_blow
-sɪle,166_burn
-tr,167_sew
-tɛltɛlɪᵐbɛ,168_pound
-tɛlᵐbɛ,169_hit
-tak,170_cut
-takᵐborai,171_split
-kl,172_dig
-vurɛndaɔ,174_hold
-mɛtʰakʰ,175_fear
-ᵐbuluᵐbuluᵑk,176_count
-ŋara-iɛnɛ,177_breathe
-lualuɔ,178_vomit
-tuwu,179_tieup
-tuwu_ⁿdotao,179_tieup
-ᵐbus,180_squeeze
-lɛᵐbɛ,181_swell
-sɪɾɛ,182_say
-kei,183_scratch
a-rɛtr,184_stab
-vul,185_buy
-marak,186_steal
-kavok,187_plant
-tntn,188_cook
-tuᵐbas,189_shoot
-ra_k,190_work
-sɛvan,191_open
