Elia,English Translation
tarpoe,14_onethousand
naβul raverua,424_seventy
wanao lina,284_fifteen
naβul tolu,460_thirty
wanao raβerua,423_seventeen
laviul vaʔ ese,13_onehundred
ese,1_one
sanaβulu,10_ten
rapati,9_nine
naβul lina,12_fifty
rua,2_two
lina,5_five
sanaβul wana ese,257_eleven
wanao linaraβe,430_sixteen
wanao rapat,367_nineteen
naβul raptolu,256_eighty
naβul linarave,431_sixty
βa:ti,4_four
tolu,3_three
naβul vat,289_forty
raβtolu,8_eight
naβulrua,11_twenty
sanaβul wanao rua,477_twelve
wanao βa:t,288_fourteen
raverua,7_seven
naβul rapat,368_ninety
linarave,6_six
wanao raβtolu,255_eighteen
sanaβul wanao tolu,459_thirteen
rot͡ʃo ipasiʔa,478_umbilical_cord
usa taʔawas,446_storm
natuj,229_coconut
ura mere kakara,325_sun_shower
torou,492_taro_wild
ut͡s̠uj pʷeʔi,402_pig_tusk
ran ʔina usa,411_rainy_season
pat βarus,401_pig_male
sartejmat͡ʃa,410_rainbow
woronarua,413_restricted_place
paka,208_banyan_tree
uita,371_octopus
ran koru,248_dry_season
pasiʔa nalumlum,364_new_moon
leβu,216_breadfruit
oβo,417_sail
uma,291_garden
lan losu,232_cyclone
rakue,246_dolphin
mʷala,408_pregnant
nataj mʷaso taʔararaʔa,370_north
ʔapan,314_kava
taːna,483_hot
mʷaso,450_sun
ʔaw ina avi,223_canoe
tiana,338_menstruation
mat͡ʃuʔɑ,398_pig_female
mʷalo,412_reef
ʔolou,496_yam
muj,252_earthquake
naputona,494_womb
paʔoe,425_shark
tana imʷarusu,227_chief
natui taʔa t͡ʃino i tuβo,230_coconut_sprout
pʷete ina loma,485_taro_wet
moli,227_chief
pʷeʔi,396_pig
rawe,399_pig_hermaphrodite
ran βas koj,461_tsunami
pʷete ina uma,249_taro_dry
pʷapʷa sula,225_cave
tas taʔa pupura et͡ʃaet͡ʃa,243_deep_ocean
soru,474_wood_for_moving_stones
βetal,207_banana
tapeuka,333_manioc
kara,493_yam_wild
nataj mʷaso suβ,488_west
vitu,84_star
ceːsi,164_cry
βat͡ʃβat͡ʃo,188_cook
rapat,9_nine
sui,54_bone
taʔarat͡ʃ,137_new
ira βunβun,195_all
ut͡ʃuna,47_tooth
lonpana,45_mouth
majmʷapʷe,59_liver
tas,88_sea
rarana,105_branch
natana,42_eye
roj,199_and
vitiʔi,169_hit
taʔawas,489_wide
apauna,71_wing
taʔawas,119_big
taːno,93_earthsoil
lina,48_hand
nao,18_i
pasiʔa,83_moon
tolina,69_egg
raverua,7_seven
poni,82_night
paraβu,132_far
saːla,148_flyverb
loʔoloʔo,129_dirty
t͡ʃot͡ʃo,85_sky
nano,61_bird
tanonoʔo,138_other
et tus,212_to_bite
mamaʔano,123_shyashamed
loloso,147_swim
pono,162_sniffsmell
puruna,131_heavy
lolono,39_ininside
natur poroporo,155_dream
βeʔis,465_to_choose
t͡ʃoːvi,143_fall
irarua,28_theyboth
visa,33_when
vitvitiʔ,168_pound
taon,15_year
lulus,136_wet
narita,63_snake
vis teten,179_tieup
nidel,362_needle
tolu,3_three
ariβi,66_rat
aβania,36_that
posi,258_fat
cenia,35_this
naraw,17_left
tarpoe vaʔ ese,14_onethousand
aliali,140_walk
navul rua,11_twenty
taβtaβo,94_dust
tajtal,57_intestines
pʷilina,49_shoulder
vanua,111_house
t͡ʃano,86_water
t͡ʃaːru,130_rotten
pilaj cele,171_split
rua,2_two
kara,116_red
naʔat,121_sharp
kaniu,25_youall
t͡ʃot͡ʃo,97_cloud
saʔin,146_climb
tata,78_father
eːku,52_leg
wuluna,72_feather
tutuwa,16_right
tasi,419_salt
nia,26_heshe
nauri,157_live
virana,109_flower
vaːti,4_four
surtona,34_how
tupuku,80_wife
tewui,133_near
manamana,177_breathe
wuluna,41_hair
ʔanʔan,151_eat
aːsi,112_rope
taut͡ʃu,73_man
esene,76_name
tona,30_what
it͡ʃerua,20_webothincl
raftolu,8_eight
mat̠͡s̠leo,64_worm
ʔutu,65_louse
ot͡ʃo,359_narrow
kaniurua,24_youboth
kowej,311_if
pana,38_below
kanrua,21_webothexcl
werej,182_say
lan,98_wind
pure,181_swell
ese,1_one
koko,152_drink
laːmo,464_to_chew
suluʔ,115_white
porʔen,145_turn
manvirviris,180_squeeze
natau,175_fear
pʷali,87_lake
cire,184_stab
t͡ʃoʔ,29_nonot
olajlan,165_blow
maj aβu,91_ash
tupuku,79_husband
kat͡ʃana,117_green
ʔaw,107_wood
varnas,125_painfulsick
pʷatuna,40_head
naʔariri,134_cold
terei,170_cut
mat͡ʃina,118_yellow
taldran,315_know_understand
naːt͡ʃi,62_fish
vinuku,55_skin
lon ʔaw,103_woodsforest
usa,96_rain
isna,202_at
taʔavaskuj,127_bad
pʷirin,99_thunder
ʔatʔat,68_mosquito
ot͡ʃo,120_small
uluna,106_leaf
eːβi,176_count
at t͡ʃaβo,340_fog
pupu,122_bluntdull
mʷai,77_mother
sula,92_stone
lulua,178_vomit
wana,102_fruit
oβura,286_flow
navul lina,12_fifty
wuswus,95_sand
porotuna,456_thick
koru,135_dry
aβ kara,166_burn
aroβi,183_scratch
tuimʷaʔo,128_correcttrue
t͡ʃolono,50_neck
nanajβin,457_thin
plaʔi,149_throw
sej,31_who
tiaku,56_belly
siʔaβo,142_sit
siβe,139_come
loʔo,114_black
rone,161_hear
ʔan nanaoβɪ,153_yawn
nunura,156_sleep
taʔakurkuru,124_old
aːsu,90_smoke
turuj,167_sew
tiβe,191_open
t͡ʃaʔa,53_blood
taʔamʷaʔo,126_good
ile,160_see
t͡ʃule,172_dig
vol,185_buy
foj,60_dog
naːti,158_die
βitiwun,159_kill
vileʔi,100_lightning
susu,448_suck
is,174_hold
palisi,108_grass
laβoʔe,187_plant
mimina,46_tongue
loto,154_spit
uru,163_laugh
punen,150_hide
viʔa,32_where
orana,104_root
mʷamʷa,483_hot
pʷaliʔe,186_steal
mʷamʷas,173_hunt
sanaβulu,10_ten
ira,27_theyall
laβina,74_woman
aːβi,89_fire
laviul vaʔ ese,13_onehundred
wut̠͡s̠ina,70_tail
onauri,302_to_grow
wusana,37_above
saːla,416_road
rani,81_day
niko,23_thou
t͡ʃalnana,44_ear
putu,426_short
susu,58_breast
nunura,144_liedown
paraβu,328_long
t͡ʃojt͡ʃon,458_to_think
taʔuku,51_back
popo,336_meat
it͡ʃe,22_weallincl
ʔato,455_thatch
taut͡ʃu,306_person
mʷarusu,75_child
tursaʔa,141_stand
linarave,6_six
wauma,190_work
nalsuna,43_nose
lina,5_five
pʷara,67_spider
