Wowolesarmalas,English Translation
-hual,1_one
-rue,2_two
-til,3_three
-ðat,4_four
-linɛ,5_five
-ɣon,6_six
-ɣondit,7_seven
-hoal,8_eight
-ɣɛhɛvɛ,9_nine
-haŋavil,10_ten
hovul-rue,11_twenty
hoðilne,12_fifty
hoðaŋavil,13_onehundred
nɪ-vuɣað,15_year
na-matue,16_right
na-maiɾ,17_left
ɣina,18_i
kanal,19_weallexcl
kanalrue,21_webothexcl
lɛkɛre,22_weallincl
wunox,23_thou
ɣe,26_heshe
xar,27_theyall
xarrue,28_theyboth
naha,30_what
ihi,31_who
ambe,32_where
se-vahaɾa,34_how
-maɾo,37_above
-lagalɣavɛn,38_below
-lalalon,39_ininside
na-ᵐbatɪ-ne,40_head
nɛðil,41_hair
nɛðil_batɪ-ne,41_hair
na-nata-n,42_eye
no-kunuhu-ne,43_nose
no-ᵐborolol,44_ear
nu-suŋo-n,45_mouth
nɛ-nɛnɛ-n,46_tongue
nu-luvo-n,47_tooth
na-ðaɾa-n,48_hand
nɛ-ᵐbilne,49_shoulder
nɛ-ᵐbɪtralo-n,50_neck
nɪ-suᵐbuna-n,51_back
na-ᵐbalako-l,52_leg
na-re,53_blood
ni-ðil,55_skin
ni-ðil_ⁿdɛn,55_skin
nɪ-hinɛ-n,56_belly
niltehera-sə-ne,57_intestines
no-huvu-ne,58_breast
nɛ-ᵐbɛᵐbɪ-n,59_liver
ni-viɾi,60_dog
na-nanɣo,61_bird
na-nas,62_fish
na-mat,63_snake
nɪ-vɪlɪsɪlas,64_worm
na-ɣut,65_louse
na-ɾið,66_rat
ne-la,67_spider
na-mɣɔ,68_mosquito
no-rul-ne,69_egg
na-valau-ne,70_tail
na-laᵐbɛ-n,71_wing
ni-ðil-muan,72_feather
mɛɾɛte,73_man
na-ðaðɛn,74_woman
nɪ-tisiᵐblax,75_child
nɛɾa-n,77_mother
tana-n,78_father
nɛ-hɛl-ha_n,79_husband
lɪgtɛɾ-ha_n,80_wife
tiran,81_day
tuᵐbuŋ,82_night
na-βule,83_moon
no-vovoɾ,84_star
nɪ-ⁿdeknaran,85_sky
no-a,86_water
na-lɛmp,87_lake
na-tah,88_sea
na-and,89_fire
nɪ-ᵐbɪtmaɸ,91_ash
na-ðat,92_stone
na-tan,93_earthsoil
nɪ-ᵐbitmaɸ,94_dust
na-on,95_sand
na-hue,96_rain
na-laŋ,98_wind
na-kuɾu,99_thunder
nɪ-ʒilax,100_lightning
nɪ-vuhugutɪ-ne,101_meatflesh
nɪ-vuan,102_fruit
no-voroa,103_woodsforest
na-laᵐbɛ-n,104_root
na-ɾaŋa-n,105_branch
na-raune,106_leaf
na-i,107_wood
na-nuh,108_grass
nɛ-ɾeat,110_thatchroof
ne-man,111_house
na-narte,112_rope
na-hal,113_roadpath
tu-loŋ,114_black
tɪ-ᵐbiahavo,115_white
ti-nial,116_red
ti-ɣasan,117_green
ti-mɛlɛɣ,118_yellow
ti-lamb,119_big
ti-vɛlvɛli,120_small
tu-mʷon,121_sharp
tɪ-ᵐbasis,122_bluntdull
ti-noɣonɣan,123_shyashamed
-mɛɾsean,124_old
tu-ros,125_painfulsick
ti-naki,126_good
ti-hat,127_bad
ho-voɾtian,128_correcttrue
tu-roɸ,131_heavy
-luhoɣa,132_far
huɾuð-pulun,133_near
-namala,134_cold
ti-namah,135_dry
ti-hinin,136_wet
-ma,139_come
-tia,140_walk
tu-toɾo,141_stand
ti-at,142_sit
tu-soð,143_fall
ho-ror,145_turn
ti-hax,146_climb
hu-tial,147_swim
ti-tahix,148_flyverb
tɪ-vɛɾɛn,149_throw
u-vtehuwun,150_hide
tu-or,151_eat
tu-num,152_drink
ti-nanað,153_yawn
tu-lutuð,154_spit
poɾpoɾ,155_dream
ti-nutuɾ_poɾpoɾ,155_dream
ti-natuɾ,156_sleep
ti-nɛvəɾe,157_live
tu-rum-vana,159_kill
-la,160_see
tu-roŋɔɸ,161_hear
ti-ðaur,163_laugh
ti-ŋaɾ,164_cry
ti-gan,166_burn
tu-ruᵐbuɾuᵐb,168_pound
tu-rump,169_hit
u-hinde,170_cut
ti-giɬ,172_dig
tu-hoɣoɾ,173_hunt
tu-vuɾu,174_hold
tu-luɣɔ,175_fear
u-hɛrzɪn,176_count
tu-luluɛ,178_vomit
tɪ-vihiɣin,180_squeeze
tu-vuvun,181_swell
ti-var,182_say
-koskos,183_scratch
ti-haɾa,184_stab
tu-vol,185_buy
-aðma,186_steal
tu-ɾuɸ,187_plant
tɪ-ðeahax,190_work
