Novolbangir,English Translation
i-ɛzwa,1_one
i-ɛrwa,2_two
i-ɛtɺ,3_three
i-ɛvaz,4_four
i-ɛləmɛ,5_five
ɛ-lavsua,6_six
ɛ-labrua͂,7_seven
ɛ-lawutɺ,8_eight
ɛ-lavəz,9_nine
ɛ-laŋavʊl,10_ten
ɛ-laŋavʊl_ɛrua,11_twenty
ɛ-laŋavʊl_i-ləmɛ,12_fifty
laŋavʊl_i-laŋavʊl,13_onehundred
a-taw,15_year
boraŋaŋ,16_right
mʷœr,17_left
naŋənɛ,18_i
mɔⁿdœl,19_weallexcl
kʊⁿdar,20_webothincl
kʊⁿdal,22_weallincl
naŋu,23_thou
aŋal,25_youall
ie,26_heshe
ⁿdʳaˑl,27_theyall
ⁿdʳar,28_theyboth
i-zɪgan,29_nonot
nasɛvĩ,30_what
wani,31_who
i-awzɛ,32_where
vaˑvɪᵐʙɛlɛni,33_when
-ᵑgaizɛ,34_how
ioⁿdɛ,35_this
mɛrwɔ,36_that
-ləmʷari,37_above
-fi,38_below
faːnuɔ,39_ininside
ᵐbʷaːtɪ-ŋk,40_head
a-βula-ŋ,41_hair
ɛ-mɛt-a,42_eye
ᵑgaˑrs-ɛ,43_nose
-ⁿdɛliŋa-ŋ,44_ear
a-ᵐbʷoŋ,45_mouth
a-mɛlu-i,46_tongue
hɛ-lu-i,47_tooth
nɛ-vɛra-n,48_hand
ᵐbʷosvɛrɛ,49_shoulder
ɛ-ⁿdɛla-ŋ,50_neck
a-taːg-k,51_back
na-ala-ŋ,52_leg
nɛ-ⁿdʳe,53_blood
a-βigai,54_bone
a-wivɪnɪs,55_skin
na-ut-,56_belly
nɛ-tæᵐbʷo-ŋ,57_intestines
na-azɪs,58_breast
maːᵐbora,59_liver
ᵐburuman,60_dog
a-mæn,61_bird
na-igə,62_fish
na-mʷotɛ,63_snake
ɛ-ⁿdɛlaːs,64_worm
a-agt,65_louse
na-azuɔ,66_rat
ə-ⁿdəŋələ,67_spider
a-taogas,68_mosquito
a-mɔvʷi,69_egg
ɛ-vɛlɛᵐbəši,70_tail
ɛ-vɛlaᵑgawi,71_wing
ɛ-vəli,72_feather
na-muɣʊt,73_man
nɛ-tuvʷɔte,74_woman
a-teɪᵐʙorai,75_child
nɛ-ksa-ŋ,76_name
kaⁿdei,77_mother
tɛma-ŋ,78_father
na-muɣʊt_tɪgɛne,79_husband
ɛ-tuvʷɔte_tɪgɛne,80_wife
a-raniɛnɛ,81_day
ᵐʙləmɛtiɛn,82_night
nɛ-ᵐbasi,83_moon
nɛ-vunvʊt,84_star
a-mʷap˺,85_sky
ne-amp,86_water
ha-tas,88_sea
na-ɣam,89_fire
ⁿdɛɺ,90_smoke
ɛ-mɔzwan,91_ash
nɛ-vaːt˺,92_stone
nɛ-tɛnɛ,93_earthsoil
a-tɛnɛzɛlɛ,94_dust
mɛrɛsewan,95_sand
auzɛ,96_rain
a-maw,97_cloud
mɪlazɛ͂,98_wind
a-aᵐbɛlɛ,99_thunder
ᵐbɛlɛᵐbɛlɛ,100_lightning
a-wani,102_fruit
la-ɪⁿdua,103_woodsforest
a-war-i,104_root
a-saŋ-i,105_branch
ɛ-luru-,106_leaf
ɛ-luru-ɡai,106_leaf
na-i,107_wood
a-mɔnai,108_grass
ɛ-loaloɔ,109_flower
nɛ-ruiɛtɛ,110_thatchroof
ne-imʷɔ,111_house
ne-tal,112_rope
nɛ-sɛlɛ,113_roadpath
-mɛtɛmɛtɛ,114_black
-wowolau,115_white
-mimɛlə,116_red
-mɛrmær,117_green
-waswaˑzi,118_yellow
ɛ-rɛuᵐboi,120_small
-maŋal,121_sharp
-ᵐʙkᵐʙk,122_bluntdull
-mʷolɛ,123_shyashamed
-mʷɔtiɛnɛ,124_old
-ᵑgəlɛtɛn,125_painfulsick
i-vʷai,126_good
i-zɛtɛ,127_bad
i-mɛmɛnɛ,128_correcttrue
vʷi-tɛnɛ,129_dirty
-ŋɔtɛ,130_rotten
nɛm,131_heavy
lax,132_far
-saŋasaŋa,133_near
mɛlazɛ,134_cold
mɛzɛmæz,135_dry
-lom,136_wet
-wovʷow,137_new
wo-βʷəl,139_come
wa-tɛrɛ,141_stand
wa-som,142_sit
wo-rage,143_fall
-mʷɔnɪndau,144_liedown
wa-ⁿdʳi,145_turn
wa-ⁿdʳiŋo,145_turn
wo-wolɛzaʔ,146_climb
-lɛlɛsɛt,147_swim
i-al,148_flyverb
wo-ɣuᵐbʊx,149_throw
-valɛz,150_hide
-mɛmzɛr,154_spit
a-mʷɔnɪn,156_sleep
-mauor,157_live
-mas,158_die
-raβɪs-ᵐʙn,159_kill
wo-lɛs,160_see
wa-raŋə,161_hear
a-ᵐbʷini,162_sniffsmell
-bɪsɪŋal,163_laugh
no-arɛte,164_cry
-rav,165_blow
-nɛne,166_burn
-tɛltɛlᵐbə,168_pound
wa-raβus,169_hit
wa-tax,170_cut
-taxəᵐborai,171_split
wa-ɣl,172_dig
-vurundao,174_hold
-mɛtax,175_fear
wo-ᵐbuluᵑk,176_count
-ŋaraŋra,177_breathe
-lualuẽ,178_vomit
-tuvu,179_tieup
-tuvu_ⁿdautau,179_tieup
wo-ᵐbus,180_squeeze
i-ᵐbus,181_swell
wa-sɛrɛ,182_say
wa-kai,183_scratch
wa-tr,184_stab
wa-βʊl,185_buy
wa-mɛrak,186_steal
wo-ɣovʷax,187_plant
au-tntn,188_cook
wa-lua,189_shoot
wa-rak,190_work
wa-sɛvan,191_open
