Fiftikhatbol,English Translation
saɣam,1_one
i-ru,2_two
i-tʊl,3_three
i-las,4_four
ɪ-ldin,5_five
i-sos,6_six
i-soru,7_seven
i-sotl,8_eight
i-sauvas,9_nine
-ŋɑβul,10_ten
e-ŋɑβul_i-ru,11_twenty
ŋɑβul_i-lin,12_fifty
nɛ-ᵑgat_saxam,13_onehundred
ni-ⁿdam,15_year
ᵐbarati-nia,16_right
mʷer,17_left
na,18_i
axɛtᵐbox,19_weallexcl
axɪn,22_weallincl
aɣo,23_thou
ᵑgam,25_youall
ei,26_heshe
iɪⁿdʳ,27_theyall
ᵐbʷi-siᵑgɛn,29_nonot
nisəxam,30_what
aɣo,31_who
ᵐbaŋ,32_where
nawaᵐbi,33_when
i-tɪnmax,34_how
eax,35_this
ⁿdeŋ,36_that
itoɣaɣa,37_above
-lapan,38_below
i-saaᵐʙuɣut,39_ininside
ᵐbat-nia,40_head
nɪ-vʷuⁿdi-nia,41_hair
nɛmɛtan,42_eye
na-ᵑgans-unia,43_nose
ⁿdɪlɪŋa-nia,44_ear
ni-moŋo-nia,45_mouth
ni-ləmɛ-nia,46_tongue
ni-lβu-nia,47_tooth
vra-n,48_hand
ᵐbateβera-nia,49_shoulder
nɪ-ⁿdla-nia,50_neck
ᵑgalda-nia,51_back
ni-kuⁿda-nia,52_leg
nɪ-ⁿdʳɛna-nia,53_blood
ᵐboloŋo-nia,54_bone
nu-ⁿdumaⁿdʳa-n,55_skin
ⁿdɛmɛ-ŋia,56_belly
nɪ-ᵐʙurta-nia,57_intestines
na-susi-na,58_breast
na-xaᵐbʷir,60_dog
ni-man,61_bird
nɪ-vuniɛkʰ,62_fish
nɛ-mat,63_snake
no-ᵑgoⁿdɛlas,64_worm
na-ɣut,65_louse
ᵐbisiᵐbok,66_rat
nɪ-ᵑgaᵑga,67_spider
ni-togas,68_mosquito
nu-ᵑkoβʷɪ-n,69_egg
nɪ-ᵐʙs-n,70_tail
nɪ-ᵐbʷia-n,71_wing
nɪ-lɪᵐbʷo-n,72_feather
nu-mʊɣʊt,73_man
na-mɔɣɔmɔx,74_woman
tatilele,75_child
na-ɣat,76_name
neɛⁿdat-tɪna,77_mother
mama-tɪna,78_father
na-ga-tɪna,79_husband
momox-tɪna,80_wife
na-otiran,81_day
livaɣat,82_night
nu-ɣuᵐbasi,83_moon
nu-ᵑgunmʷuzo,84_star
ne-laŋ,85_sky
nu-wɛ,86_water
ni-tuzuˑ,88_sea
na-ɣɑmɸ,89_fire
i-tɛltɛl,90_smoke
bɛinaun,91_ash
ne-βat,92_stone
no-ᵐbutan,93_earthsoil
ni-ropⁿdan,94_dust
nɪ-βulisilas,95_sand
na-us,96_rain
ne-laŋ,97_cloud
nɛtᵑɡar,98_wind
nɛtᵑkar,98_wind
ᵐbalvar,99_thunder
i-laŋax,100_lightning
nɛ-vʷa-n,102_fruit
naɣatoro,103_woodsforest
ᵑgɛruɛ-n,104_root
ni-tabora_na-ga,105_branch
na-ron,106_leaf
na-ɣa,107_wood
ni-soᵑkusoᵑk,108_grass
nɪ-bʷoŋa-n,109_flower
ni-at,110_thatchroof
ɣomav-tɪna,111_house
no-ɣɔ,112_rope
nesal,113_roadpath
-mɛt,114_black
-opiop,115_white
-mial,116_red
imiⁿdalaɣenz,117_green
-aŋiaŋ,118_yellow
i-laᵐbɛlaᵐb,119_big
i-lɛle,120_small
i-maŋal,121_sharp
iᵐʙiuk,122_bluntdull
iᵐbor,123_shyashamed
-naɣa_tɪlak,124_old
i-sal,125_painfulsick
i-ribuk,126_good
i-is,127_bad
i-momɔ,130_rotten
i-map,131_heavy
-ⁿdɛtes,132_far
-lile,133_near
ni-tɪᵑgar,134_cold
i-masmas,135_dry
i-miⁿda,136_wet
i-lila,137_new
ni-vʷɛl,139_come
ni-solsoŋ,140_walk
na-tur,141_stand
na-βor,142_sit
-ⁿdʳoⁿdʳox,143_fall
nɪ-ⁿdɛⁿdɛlvis,145_turn
i-sakʰa,146_climb
ni-ⁿdɛⁿdɛs,147_swim
i-al,148_flyverb
i-rirnunu,149_throw
i-solʉk,150_hide
na-ʔkan,151_eat
ni-mɪn,152_drink
nɪ-maŋulal,153_yawn
ni-pre,154_spit
na-deᵐbari,155_dream
-matur,156_sleep
i-maur,157_live
i-mas,158_die
i-te-i-mas,159_kill
i-literox,160_see
na-roterox,161_hear
na-ᵐʙun,162_sniffsmell
nɛ-rarap,163_laugh
na-ŋar,164_cry
a-tʷuwup,165_blow
i-aᵑk,166_burn
i-tɛte,168_pound
na-te,169_hit
no-xoros,170_cut
i-saᴩur,171_split
i-xil,172_dig
aru-βɛrox,174_hold
ni-mɪtaxtax,175_fear
tɪ-tiᵑgon,176_count
na-ᵑgaβuŋap˺,177_breathe
na-iox,178_vomit
e-rem,179_tieup
aru-ᴩus,180_squeeze
-ᵐʙur,181_swell
na-pi,182_say
i-suvsuv,183_scratch
i-tur,184_stab
i-wuⁿd,185_buy
i-solʉkʰ,186_steal
i-gaβux,187_plant
nu-ⁿdu,189_shoot
a-tiβior,190_work
i-nunur,191_open
