Sivitinjavjericho,English Translation
-soɣal,1_one
i-ru,2_two
i-til,3_three
i-vat,4_four
i-lim,5_five
-ɣɔn,6_six
-xoᵐbʉt,7_seven
-xoɛl,8_eight
-ɣɪsju,9_nine
-saŋavʉl,10_ten
movil_i-ɾu,11_twenty
mov_i-lim,12_fifty
mov_saŋavʉl,13_onehundred
ᵑgaka,15_year
matu,16_right
mʷiɾ,17_left
nɛ,18_i
kemam,19_weallexcl
nekir_iru,20_webothincl
nekir,22_weallincl
nox,23_thou
kemi_suru,24_youboth
kemi_pɔ,25_youall
xain,26_heshe
xair_pɔ,27_theyall
xair_pɔ_iru,28_theyboth
ⁿzaβ,30_what
sena,31_who
hambe,32_where
-plakɛnzaβ,34_how
-limsax,37_above
-litan,38_below
-lalon,39_ininside
ᵐbatu-k,40_head
vɪlo-n_ᵐbatu-k,41_hair
mɛta-k,42_eye
ᵑgusu-k,43_nose
ᵐboɾo-k,44_ear
ⁿzoŋo-k,45_mouth
mimɛ-k,46_tongue
lowo-k,47_tooth
wara-k,48_hand
ᵐbʷili-k,49_shoulder
ⁿsalɣa-k,50_neck
ⁿdahu-k,51_back
malɛ-k,52_leg
na-re,53_blood
ⁿʒi-k,54_bone
vɪlo-k,55_skin
ⁿʒɪnɛ-k,56_belly
laxwa-k,57_intestines
nɪ-suso-k,58_breast
na-re_lalo-k,59_liver
nu-ɣuli,60_dog
mænux,61_bird
nɪ-mat͡s,62_fish
nə-mat,63_snake
wulɪt͡slɛt͡s,64_worm
na-ɣut,65_louse
na-ɣariv,66_rat
ne-la,67_spider
na-mux,68_mosquito
rulu-na,69_egg
wilɣao-n,70_tail
na-ɣpa-n,71_wing
vɪlo-n,72_feather
nɪ-mɛɾmɛɾ,73_man
nɛ-vɛnar,74_woman
lɪlɪʧiplɛx,75_child
na-ŋis,76_name
mɛra-k,77_mother
tate,78_father
lilɛɣ_so-k,79_husband
nɛ-vɛnar_so-k,80_wife
no-tərɛn,81_day
na-utpuŋ,82_night
na-vil,83_moon
wugoror,84_star
ᵐbaknɛran,85_sky
nu-a,86_water
malɛn,87_lake
ⁿdas,88_sea
na-ɣamb,89_fire
ni-s_na-ɣamb,90_smoke
holuvias,91_ash
nɪ-vat,92_stone
ⁿdan,93_earthsoil
ᵐbutkus,94_dust
no-won,95_sand
naus,96_rain
na-ror,97_cloud
laŋ,98_wind
ᵐbotokuɾ,99_thunder
nɛ-vɛlax,100_lightning
mɪsɣovi-na,101_meatflesh
woŋana,102_fruit
no-vorɣa,103_woodsforest
lapʷɛn,104_root
nɛ-raŋ-na,105_branch
roxɔ,106_leaf
na-ɣa,107_wood
na-mʉs,108_grass
ni-at,110_thatchroof
na-im,111_house
marit,112_rope
ⁿzal,113_roadpath
