Sragaavavanvae,English Translation
xai_tuvʷa,1_one
xai_rua,2_two
xai_tolu,3_three
xai_vasi,4_four
xai_fasi,4_four
xai_lima,5_five
xai_siwo,6_six
xai_bitu,7_seven
xai_vʷelu,8_eight
xai_siwo,9_nine
haŋ_fulu,10_ten
haŋ_vulu,10_ten
navu_xai_rua,11_twenty
nafu_xau_rua,11_twenty
navu_xai_lima,12_fifty
fudolua,13_onehundred
fasaŋvulu,14_onethousand
taulu,15_year
mʷatue,16_right
mʷaiɾi,17_left
inau,18_i
ɡamai,19_weallexcl
xida-ru,20_webothincl
kama-ru,21_webothexcl
xida,22_weallincl
hiᵑɡo,23_thou
kimi-ru,24_youboth
kimiu,25_youall
kea,26_heshe
kera,27_theyall
keraɣai-rua,28_theyboth
siɣai,29_nonot
fufudi,30_what
iɣei,31_who
ᵐbehe,32_where
alohaiviɣa,33_when
kunhaniɣi,34_how
xeki,35_this
kahaᵑɡa,36_that
amare,37_above
atena,38_below
alolo-na,39_ininside
ᵐbʷatu,40_head
ilu,41_hair
mata,42_eye
ᵐbʷaɾeŋ_xumʷa,43_nose
ᵐbʷero,44_ear
bʷaŋo,45_mouth
ᵐbʷaŋo,45_mouth
mea,46_tongue
liβo,47_tooth
liβʷo,47_tooth
lima,48_hand
isiᵐbʷamʷa,49_shoulder
mʷaɣoro,50_neck
xatikumʷa,51_back
ᵐbalaɣe,52_leg
daɣa,53_blood
hui,54_bone
huli,55_skin
taᵐbʷaŋimʷa,56_belly
sinai,57_intestines
huhu,58_breast
ate,59_liver
fʷiriu,60_dog
manu,61_bird
iɣe,62_fish
teltele,63_snake
silosi,64_worm
xutu,65_louse
xarivi,66_rat
ᵐbʷat_karivi,66_rat
taɣaɣa,67_spider
namo,68_mosquito
idoli,69_egg
ᵑɡere,70_tail
xabau,71_wing
lalau,72_feather
atamʷani,73_man
ɸaβine,74_woman
naturiɣi,75_child
iha,76_name
ratahi,77_mother
tata,78_father
aɣoa-na,79_husband
tasala-mʷa,80_wife
ute_rani,81_day
ᵐbʷoŋi,82_night
fula,83_moon
fisiu,84_star
mahau,85_sky
wai,86_water
nuᵐbu,87_lake
taɣi,88_sea
abi,89_fire
aho,90_smoke
taniavu,91_ash
fatu,92_stone
tano,93_earthsoil
taniaβo,94_dust
one,95_sand
uhe,96_rain
dodo,97_cloud
laŋi,98_wind
ᵐbʷahilo,99_thunder
filehi,100_lightning
ᵐbiɣi,101_meatflesh
fʷai_xai,102_fruit
ute_fono,103_woodsforest
xaro,104_root
rarana,105_branch
rau,106_leaf
xai_ⁿduru,107_wood
ᵐbʷat_mʷanea,108_grass
firan_xai,109_flower
inuᵐbʷa,110_thatchroof
imʷa,111_house
xau,112_rope
hala,113_roadpath
meto,114_black
maita,115_white
memea,116_red
kulbʷaro,117_green
aŋoɣa,118_yellow
xai_vua,119_big
kolo,120_small
mamaɡani,121_sharp
ᵐbʷatoa,122_bluntdull
ɡuturiano,123_shyashamed
nuᵐbʷaᵐbʷoha,124_old
xaxarasi,125_painfulsick
taβua,126_good
hantai,127_bad
faftutu,128_correcttrue
xaŋuraɣa,129_dirty
ᵐboᵐboɣa,130_rotten
marahi,131_heavy
autu,132_far
abe-na,133_near
masisi,134_cold
ŋalaŋala,135_dry
meho,136_wet
xara,137_new
fate_mulai,138_other
mai,139_come
laɣo,140_walk
ⁿdoa_maɾe,141_stand
toɣo,142_sit
hovi,143_fall
eno,144_liedown
ɸan_ᵐbuɾiɣai,145_turn
haiamare,146_climb
ᵑɡari,147_swim
xaɣa,148_flyverb
foha-i,149_throw
tahulinia,150_hide
xinaɣaniana,151_eat
naɣaniana,151_eat
mʷinu,152_drink
minu,152_drink
mamaoβi,153_yawn
lodo,154_spit
matur_ᵐbʷore,155_dream
maturu,156_sleep
raho,157_live
mate,158_die
wehi_ma_matea,159_kill
xitai,160_see
gitai,160_see
roŋoi,161_hear
raf_boni,162_sniffsmell
rav_boni,162_sniffsmell
mana,163_laugh
ⁿdei,164_cry
uβʷI,165_blow
mʷahere,165_blow
oda,166_burn
tuɣuri,167_sew
serisiriŋi,168_pound
wehi,169_hit
wehi-a,169_hit
tavai,170_cut
bʷorai,171_split
ᵐbʷolai,171_split
xeli,172_dig
xiᵑɡea,173_hunt
xaᵑɡoe,174_hold
mataɣu,175_fear
fulufului,176_count
raf_laŋi,177_breathe
rav_laŋi,177_breathe
lua,178_vomit
fahuia,179_tieup
fahʷia,179_tieup
foroi,180_squeeze
mafuɣe,181_swell
fevea,182_say
fefea,182_say
taᵑɡari,183_scratch
duru,184_stab
foli,185_buy
sura,186_steal
riβu-a,187_plant
riβu,187_plant
tutunuva,188_cook
fanai,189_shoot
laɣo,190_work
havaŋea,191_open
