Penour,English Translation
roβun tewa,14_onethousand
naβul pit,424_seventy
sonoβul raβe lima,284_fifteen
naβul tol,460_thirty
sonoβul raβe pitu,423_seventeen
lil βaxa teβ,13_onehundred
tewa,1_one
sanaβul,10_ten
tʃiwa,9_nine
naβul lima,12_fifty
rua,2_two
lima,5_five
sono raβa teβ,257_eleven
sonoβul raβe on,430_sixteen
sonoβul raβe tʃiβa,367_nineteen
naβul al,256_eighty
naβul on,431_sixty
vati,4_four
tolu,3_three
naβul vat,289_forty
alu,8_eight
naβuluru,11_twenty
sonoβul raβe rua,477_twelve
sonoβul raβe vat,288_fourteen
pitu,7_seven
naβul tʃiβ,368_ninety
onu,6_six
sonoβul raβe alu,255_eighteen
sonoβul raβe tol,459_thirteen
rot͡ʃo hina hapatia,478_umbilical_cord
xotpʷet,290_full_moon
us laβ,446_storm
matui,229_coconut
us taharih mʷas taharih,325_sun_shower
pʷet ila,492_taro_wild
atlawut,303_half_moon
patina poe,402_pig_tusk
ran us,411_rainy_season
polaman,401_pig_male
merena maraj,410_rainbow
tau maru,413_restricted_place
paʔ,208_banyan_tree
hwit,371_octopus
ran mʷas,248_dry_season
hapatia aβwo,364_new_moon
pehe,216_breadfruit
naoβ,417_sail
βarao,291_garden
lan los,232_cyclone
ue,246_dolphin
meta na lan taβat,370_north
hopan,314_kava
tanŏ,483_hot
mʷaso,450_sun
hap,223_canoe
tian,338_menstruation
ure,398_pig_female
mʷalo,412_reef
am,496_yam
mua,252_earthquake
as hina pʷiton,494_womb
paheo,425_shark
tan hina t͡ʃur,227_chief
sulan,230_coconut_sprout
pʷet hina wura,485_taro_wet
moli,227_chief
poe,396_pig
raβe,399_pig_hermaphrodite
tas ta uasah,461_tsunami
pʷet hina wohah,249_taro_dry
pʷana mʷalo,225_cave
tas maʔu,243_deep_ocean
vetal,207_banana
ampia,333_manioc
halu,493_yam_wild
mat͡ʃoa,84_star
suli,189_shoot
lele,164_cry
viʔevi,188_cook
t͡ʃiwa,9_nine
suiʔ,54_bone
taʔawo,137_new
roβroβuh,195_all
patiʔ,47_tooth
wowaʔ,45_mouth
mapʷe,59_liver
tas,88_sea
raːnan,105_branch
mataʔ,42_eye
mena,199_and
losi,169_hit
tapuret,489_wide
haβena,71_wing
tapureʔ,119_big
pendan,93_earthsoil
limaʔ,48_hand
nao,18_i
wula,83_moon
otolu̮,69_egg
pitu,7_seven
oʔor,82_night
tuhej,132_far
saːle,148_flyverb
ʔawʔawe,129_dirty
maseă,85_sky
mano,61_bird
taʔu tuae,138_other
hatmoti,212_to_bite
mahan,123_shyashamed
lolos,147_swim
poni,162_sniffsmell
βartan,131_heavy
lona,39_ininside
maturpor,155_dream
noβia,465_to_choose
t͡ʃoβi,143_fall
rarua,28_theyboth
ran saβ,33_when
loslosia,168_pound
taun,15_year
mʷan,136_wet
mʷat,63_snake
molt͡ʃah,179_tieup
netel,362_needle
tolu,3_three
hariβ,66_rat
aβan tuhej,36_that
soɦon,258_fat
hatʔe,35_this
vaha marao,17_left
roβuntewa,14_onethousand
seser,140_walk
naβuluru,11_twenty
huβhuβ,94_dust
tineʔ,57_intestines
ririʔ,49_shoulder
vanua,111_house
pej,86_water
ʔaw,130_rotten
wot͡ʃ ʔalae,171_split
rua,2_two
har,116_red
kan,121_sharp
amto,25_youall
oʔ,97_cloud
at,146_climb
tamaʔ,78_father
sariʔ,52_leg
wulun,72_feather
vaha matua,16_right
tas,419_salt
nia,26_heshe
maur,157_live
βiran,109_flower
vati,4_four
t͡ʃiβae,34_how
tupun haʔae,80_wife
taβor,133_near
manmanos,177_breathe
wuluʔ,41_hair
hanhan,151_eat
as,112_rope
laman,73_man
his,76_name
saβa,30_what
aruă,20_webothincl
alu,8_eight
malʔea,64_worm
huːt,65_louse
taharih,359_narrow
amrua,24_youboth
pavetia,311_if
laβːan,38_below
amrua,21_webothexcl
vetia,182_say
lan,98_wind
sohon,181_swell
tewa,1_one
oʔ,152_drink
t͡ʃamot͡ʃam,464_to_chew
wuʔo,115_white
pupur,145_turn
hit͡ʃia,180_squeeze
wotoa,175_fear
nopŭ,87_lake
suɦuti,184_stab
ʔoa,29_nonot
suβsuβ,165_blow
huβhuβ,91_ash
tupuʔ,79_husband
het͡ʃ,117_green
haw,107_wood
rar,125_painfulsick
patuʔ,40_head
hamarir,134_cold
taβea,170_cut
mʷat͡ʃină,118_yellow
ruhuj,315_know_understand
iʔɑ,62_fish
xuri,55_skin
lonahao,103_woodsforest
usa,96_rain
mena,202_at
sapalel,127_bad
ronia,99_thunder
moh,68_mosquito
