Portsandwichlamap,English Translation
-ʧikai,1_one
ɛ-ʉ,2_two
ɛ-roi,3_three
ɛ-vaʧ,4_four
ɛ-rim,5_five
ʧukai,6_six
-ɣʉ,7_seven
-xo-roi,8_eight
-xo-paʧ,9_nine
-sɪŋeap˺,10_ten
baleʉ,11_twenty
balerim,12_fifty
balesɪŋeap˺,13_onehundred
na-ⁿdʳa,15_year
ta-ɣavoi,16_right
maɛr,17_left
inao,18_i
namite,19_weallexcl
ⁿdʳaʉ,20_webothincl
namʉ,21_webothexcl
ⁿdʳade,22_weallincl
xain,23_thou
xamʉrai,24_youboth
xamite,25_youall
nai,26_heshe
ɣade,27_theyall
ɣaʉ,28_theyboth
ɛ-rimʷe,29_nonot
nisava,30_what
xase,31_who
ambi,32_where
ᵑgɛᵐbe,34_how
-poɛɣ,37_above
-pɪpaɣer,38_below
-leim,39_ininside
ᵐbʷair,40_head
mara-n,42_eye
xonuʃu-n,43_nose
ⁿdariŋa-m,44_ear
ᵐbaŋo-n,45_mouth
mɛ-n,46_tongue
rivo-n,47_tooth
βea-ŋ,48_hand
ᵐbaɾuwoz-,49_shoulder
hunua-n,50_neck
maⁿdʳu-n,51_back
riɛ-ŋ,52_leg
nɛ-ⁿdʳe,53_blood
ᵐbulɛᵐβul,54_bone
ᵐbəɣavo-n,56_belly
ʧinɛ-n,57_intestines
na-suʒ,58_breast
na-mam,59_liver
lipax,60_dog
na-man,61_bird
na-jix,62_fish
na-maɾ,63_snake
na-ɣur,65_louse
xasuɸ,66_rat
ⁿdromeau,67_spider
na-nam,68_mosquito
mʷɛⁿdʳe,69_egg
ᵑgerɛr,70_tail
koᵐβuɛ-n,71_wing
ʃɪmbeu,73_man
roᵐbaix,74_woman
ruware,75_child
na-ɣis,76_name
nana,77_mother
tata,78_father
tum_ʃuɛ-ŋ,79_husband
ʃuɛ-ŋ_ᵐbaria-ŋ,80_wife
na-ᵐboŋ,81_day
mariŋ,82_night
xaᵐbaʧi,83_moon
maʧoi,84_star
na-maɸ,85_sky
nu-ai,86_water
nu-ai_muⁿdar,87_lake
na-ras,88_sea
na-ɣamp,89_fire
ᵐbasuamp,90_smoke
masiap˺,91_ash
na-var,92_stone
na-ran,93_earthsoil
masiap˺,94_dust
na-un,95_sand
na-us,96_rain
ᵐbanuᵐbʷan,97_cloud
ne-an,98_wind
xuve,99_thunder
na-vi,100_lightning
visox,101_meatflesh
vaɣɛr,102_fruit
liɣaiɣai,103_woodsforest
ʧirigɛr,104_root
paʧuɛr,105_branch
nu-kai,106_leaf
na-ɣai,107_wood
nɛⁿdʳəβ,108_grass
pusaɣɛr,109_flower
ni-ar,110_thatchroof
na-im,111_house
na-ɣo,112_rope
puʒe,113_roadpath
-brəmʉr,114_black
-pəɣapox,115_white
-siᵐbiʃ,116_red
-kinaʧ,117_green
-ŋaŋ,118_yellow
-ᵐbao,119_big
-keke,120_small
-kan,121_sharp
-ᵐʙut,122_bluntdull
-mamao,123_shyashamed
-xivor,124_old
-masax,125_painfulsick
e-voi,126_good
e-samp,127_bad
e-suɣaβoi,128_correcttrue
e-mom,130_rotten
-meaʧ,131_heavy
-haʧuⁿdʳ,132_far
-pariʧaŋ,133_near
-mɛɣas,134_cold
-mamas,135_dry
-mim,136_wet
-vɛveo,137_new
-vanima,139_come
ge-van,140_walk
-taⁿdʳ,142_sit
-laβux,143_fall
-tɪtimaⁿdʳ,144_liedown
-loɣeni,145_turn
-sax,146_climb
-ŋioŋ,147_swim
-kuᵐbax,148_flyverb
-sasanʉ,150_hide
-ɣan,151_eat
-ᴩuwe,154_spit
-marnuᵐbʷe,155_dream
-paʧ,156_sleep
-maur,157_live
-maʧ,158_die
-tamʷiʒ-ᵐʙuni,159_kill
naᵐbon,162_sniffsmell
-man,163_laugh
-se,165_blow
-paŋ,166_burn
-saⁿdʳʉ,167_sew
-vavⁿdaɾi,168_pound
-tamʷiʒi,169_hit
-ʧavi,170_cut
-tɪpʷai,171_split
-ɣiɾi,172_dig
ka-kao,173_hunt
-taŋ-,174_hold
marax,175_fear
-pɛpe,176_count
-ᵑgaᵐbos,177_breathe
-lʉ,178_vomit
-ᵑgao,179_tieup
-wuzwuʒi,180_squeeze
-təᵐb,181_swell
-kai,182_say
-kalumʷi,183_scratch
-wori,185_buy
-vanax,186_steal
-lumʷi,187_plant
-pɛn,189_shoot
-ᵑgas,190_work
-voɣe,191_open
