Linduri,English Translation
pupu,297_grandfather
navul va eses,14_onethousand
navul ravrua,424_seventy
sanavul molimə,284_fifteen
navul tol,460_thirty
sanavul moravrua,423_seventeen
navul va es,13_onehundred
moes,1_one
sanavul,10_ten
ravat,9_nine
navul limə,12_fifty
morua,2_two
molimə,5_five
sanavul moes,257_eleven
sanavul limarave,430_sixteen
sanavul moravat,367_nineteen
navul raptol,256_eighty
navul limarave,431_sixty
movat,4_four
motul,3_three
navul vat,289_forty
raptol,8_eight
navul rua,11_twenty
sanavul morua,477_twelve
sanavul movat,288_fourteen
ravrua,7_seven
navul ravat,368_ninety
limarave,6_six
sanavul moraptul,255_eighteen
sanavul motul,459_thirteen
poni,82_night
rot͡ʃoj βula,478_umbilical_cord
usa lapa,446_storm
matui,229_coconut
βiaroa,492_taro_wild
peta koru,372_offerings_to_ancestors
akojpoe,303_half_moon
akoj poe,402_pig_tusk
ran tuaβun,411_rainy_season
lasolaso,401_pig_male
laplape maraj,410_rainbow
woramarua,413_restricted_place
paka,208_banyan_tree
wita,371_octopus
ran koru,248_dry_season
βula aβun,364_new_moon
leβu,216_breadfruit
aka,417_sail
uma,291_garden
lani,232_cyclone
taːna,483_hot
alo,450_sun
aːpo,223_canoe
tiana,338_menstruation
kura,398_pig_female
parana,412_reef
kam,496_yam
muj,252_earthquake
putona,494_womb
paeo,425_shark
tanaj mera,227_chief
t͡ʃina tuβu,230_coconut_sprout
peta loma,485_taro_wet
mol,227_chief
poj,396_pig
raːβe,399_pig_hermaphrodite
peta koru,249_taro_dry
βaβae sule,225_cave
pua,243_deep_ocean
sura,474_wood_for_moving_stones
wotal,207_banana
paloa,333_manioc
suma,493_yam_wild
βitu,84_star
kauti,189_shoot
taːni,164_cry
βaβamet͡ʃo,188_cook
raβati,9_nine
suika,54_bone
aβuni,137_new
lʏβlʏβwɪn,195_all
akoɡa,47_tooth
t͡ʃinoɡa,45_mouth
maːpeɣa,59_liver
taːsi,88_sea
taβana,105_branch
mataka,42_eye
tone,199_and
ruːpi,169_hit
laːpa,489_wide
papauna,71_wing
lapa,119_big
oːne,93_earthsoil
limaːka,48_hand
nao,18_i
wula,83_moon
tolina,69_egg
raβrua,7_seven
poːni,82_night
liβaːno,132_far
saːle,148_flyverb
t̠͡s̠at̠͡s̠aw,129_dirty
tuːka,85_sky
manu,61_bird
saβalene,138_other
aːti,212_to_bite
maloa,123_shyashamed
loloso,147_swim
ponaɡa,162_sniffsmell
pʷet,131_heavy
lalolona,39_ininside
porporo,155_dream
tarin,465_to_choose
t͡ʃoβi,143_fall
irerua,28_theyboth
nanisa,33_when
telteli,168_pound
taon,15_year
mekmecin,136_wet
marita,63_snake
pesi,179_tieup
mataeoti,362_needle
motol,3_three
ʔarivi,66_rat
liβanie,36_that
polpol,258_fat
cetonie,35_this
marauka,17_left
naʌul naβul va es,14_onethousand
aliali,140_walk
naβulrua,11_twenty
tanproso,94_dust
taliɡa,57_intestines
piliɡa,49_shoulder
ima,111_house
pej,86_water
nuːti,130_rotten
silakala,171_split
morua,2_two
kaːra,116_red
maːte,121_sharp
kamiu,25_youall
koːko,97_cloud
tetesar,146_climb
tamaku,78_father
sarika,52_leg
fuluna,72_feather
matuaka,16_right
taːs,419_salt
nie,26_heshe
mauri,157_live
βusojaw,109_flower
moβat,4_four
apale,34_how
nok leβine,80_wife
cenie,133_near
masmasuɡa,177_breathe
ɸuluka,41_hair
anani,151_eat
aːsɪ,112_rope
tauku,73_man
eːseku,76_name
saβaja,30_what
iᵑɟerua,20_webothincl
taptol,8_eight
mat͡ʃmat͡ʃ,64_worm
utu,65_louse
cilecile,359_narrow
kamirua,24_youboth
maka,311_if
laβaβana,38_below
kamrua,21_webothexcl
varae,182_say
lajlan,98_wind
pure,181_swell
mwese,1_one
koko,152_drink
t͡ʃaːma,464_to_chew
wuso,115_white
r̥ir̥pur,145_turn
maːni,180_squeeze
mataw,175_fear
noːpu̥,87_lake
oːtɪ,184_stab
tie,29_nonot
sisil,165_blow
mamaβo,91_ash
nok tauku,79_husband
parparo,117_green
wujao,107_wood
βarmas,125_painfulsick
patuka,40_head
marip,134_cold
wule,170_cut
mat͡ʃina,118_yellow
pipinisi,315_know_understand
maːt͡ʃi,62_fish
fenuɡa,55_skin
loβeaw,103_woodsforest
usa,96_rain
la,202_at
talokloko,127_bad
pirin,99_thunder
muj,68_mosquito
cilecile,120_small
rauna,106_leaf
eβeβi,176_count
poːta,340_fog
lolu,122_bluntdull
raːpʷiku,77_mother
suːle,92_stone
lulua,178_vomit
βaena,102_fruit
βuraβura,286_flow
naβul lima,12_fifty
wuswus,95_sand
porono,456_thick
aβaβu,135_dry
koru,166_burn
karkarum,183_scratch
lulusβurea,128_correcttrue
koloka,50_neck
rokroko,457_thin
plej,149_throw
saβa,31_who
tapaneɣa,56_belly
sio,142_sit
wonoma,139_come
lo,114_black
paːβrono,161_hear
lalana βaβa,153_yawn
malapoe,156_sleep
roprop,124_old
aːsu,90_smoke
tulatula,167_sew
aːre,191_open
kaeka,53_blood
