Tutuba,English Translation
tari etea,14_onethousand
ŋaβleᵐbitu,424_seventy
toman elima,284_fifteen
ŋaβletol,460_thirty
toman eᵐbitu,423_seventeen
ŋalsaŋaβul,13_onehundred
etea,1_one
saŋaβul,10_ten
esua,9_nine
ŋaβlelima,12_fifty
erua,2_two
eliːma,5_five
toman etea,257_eleven
toman eono,430_sixteen
ⁿᵈɹoman esua,367_nineteen
ŋaβlualu,256_eighty
ŋaβleono,431_sixty
evaːte,4_four
etolu,3_three
ŋaβlevaːti,289_forty
oalu,8_eight
naβlerua,11_twenty
toman erua,477_twelve
toman evaːti,288_fourteen
eᵐbitu,7_seven
ŋaβlesua,368_ninety
eono,6_six
toman oalu,255_eighteen
toman etolu,459_thirteen
naᵐbuton,478_umbilical_cord
fiti moⁿᵈɹuru,290_full_moon
usa lavoa,446_storm
niːu,229_coconut
mousa malo,325_sun_shower
fia,492_taro_wild
fiti mataval,303_half_moon
uⁿᵈɹun boe,402_pig_tusk
taron usaj,411_rainy_season
uⁿᵈɹuj,401_pig_male
nuenue,410_rainbow
tarasiati,413_restricted_place
fiᵐbaːka,208_banyan_tree
wita,371_octopus
saraj mamasa,248_dry_season
fiti movo.otu,364_new_moon
marahae,253_east
baeo,216_breadfruit
aᵐban,417_sail
fataːno,291_garden
laŋ loːsu,232_cyclone
meteana,408_pregnant
tolau,370_north
hae,314_kava
malualu,483_hot
alo,450_sun
aka ⁿᵈɹui,223_canoe
masao,338_menstruation
barᵐbara,398_pig_female
ⁿᵈɹualiu,438_south
maːlo,412_reef
ndam,496_yam
mi,252_earthquake
taŋan novar,494_womb
ᵐbaheo,425_shark
ᵐboːᵐbo,230_coconut_sprout
ᵐbeta meriːⁿᵈɹa,485_taro_wet
fuso,304_heart
suːᵐbe,227_chief
boe,396_pig
rave,399_pig_hermaphrodite
faːᵐba,225_cave
ᵐbua,243_deep_ocean
tavekaːla,474_wood_for_moving_stones
fatal,207_banana
maniok,333_manioc
ᵐburia,493_yam_wild
aⁿᵈɹua,488_west
fitu fofora,84_star
nosoroa,189_shoot
nara,164_cry
notun,188_cook
esua,9_nine
sui,54_bone
inoᵐbaru,137_new
ramel,195_all
uⁿᵈɾu,47_tooth
simoku,45_mouth
ᵐbeːᵐbe,59_liver
taːsi,88_sea
raŋa,105_branch
mataku,42_eye
tuan,199_and
nolsua,169_hit
malaβoa,489_wide
aᵐbaːna,71_wing
malafoa,119_big
maːfu,93_earthsoil
lima,48_hand
nao,18_i
fiːtu,83_moon
