Natanganmbonvor,English Translation
isua,1_one
irue,2_two
itl,3_three
ivas,4_four
ilme,5_five
ilaβsua,6_six
ilaβrue,7_seven
ilaβtl,8_eight
ilavas,9_nine
ilaŋavul,10_ten
nɛtao,15_year
natiⁿdaŋ,16_right
natizamp,17_left
naŋənɛ,18_i
mamʊl,19_weallexcl
mamuʊtɪmʊn,20_webothincl
mamurme,21_webothexcl
aⁿdal,22_weallincl
naŋu,23_thou
aramulme,24_youboth
ɣamərame,25_youall
iɛ,26_heshe
hral,27_theyall
amɛrme,28_theyboth
isəɣe,29_nonot
nɛvanɛn,30_what
aimat,31_who
sɛvɛn,32_where
nɛ-vamɛtɛniɛl,33_when
itomoa,34_how
jetine,35_this
jetina,36_that
lɛmɪsao,37_above
rɛvɛvɛn,38_below
lɛmʉznɛ,39_ininside
naᵐbʷatɪnɛ,40_head
nɛvəlɛn,41_hair
nɛmɛtɛn,42_eye
naᵑɡorzne,43_nose
ⁿdalɪŋan,44_ear
noᵐborɣɛn,45_mouth
nɛmɛluɛn,46_tongue
nɛluvʷon,47_tooth
navarna,48_hand
nɛⁿdolnɛ,50_neck
nɛtaɣəm,51_back
naᵐbulɛn,52_leg
nɛⁿdʳai,53_blood
nɛwiɣai,54_bone
noulwul,55_skin
naᵐbavɪne,56_belly
ᵑɡutere,57_intestines
naklu,60_dog
namæn,61_bird
naiɣe,62_fish
nɛmʷat,63_snake
na-atarəx,64_worm
naɣɛt,65_louse
nasua,66_rat
naŋaŋao,67_spider
nɛtaoɣas,68_mosquito
manlɛn,69_egg
naᵐbɪznɛ,70_tail
nɛvulɛn,72_feather
nɪmæɣət,73_man
nɛvnevɪt,74_woman
nɛtailailai,75_child
naɣsɛm,76_name
tran,81_day
lɪvoɣɛt,82_night
naᵐbasie,83_moon
namʷase,84_star
namʷap˺,85_sky
nejɛmp,86_water
nɛtas,88_sea
naɣamb,89_fire
iⁿdɪŋe,90_smoke
mʷosuan,91_ash
nɛvat,92_stone
nɛtan,93_earthsoil
namosuan,94_dust
nɛᵐbinun,95_sand
nause,96_rain
namæluŋ,97_cloud
nɛmɛlase,98_wind
nɛᵐbɛᵐbɛle,99_thunder
imiɛlɛ,100_lightning
naŋasᵑɡasiɛn,101_meatflesh
navʷonovʷon,102_fruit
nɛᵐbɪzeɣai,103_woodsforest
nawarne,104_root
nɛsaŋən,105_branch
nɛraune,106_leaf
nɛnai,107_wood
namanai,108_grass
nɛtɛvse,109_flower
naraojɛt,110_thatchroof
nema,111_house
nɛtal,112_rope
nɛsɛl,113_roadpath
mɛtəmɛt,114_black
mævus,115_white
mɛmiɛl,116_red
mɛlaxse,117_green
lɪtlɪt,118_yellow
ilɛmbe,119_big
irəx,120_small
mɛŋal,121_sharp
isɛmɛŋal,122_bluntdull
imɛmænɛ,123_shyashamed
ɣaivʷudiɛn,124_old
rɛβ,125_painfulsick
iⁿdəŋ,126_good
isamb,127_bad
ᵐbaraŋɪnɛ,128_correcttrue
iɳot,130_rotten
inɛmb,131_heavy
saʊᵐbun,132_far
soŋɔ,133_near
iroməlæse,134_cold
iwɔrɛt,135_dry
loᵐbəloᵐb,136_wet
iveveo,137_new
woval,139_come
ᵑɡuloŋ,140_walk
tɛtarɛ,141_stand
sombsomb,142_sit
mor,143_fall
woᵑɡos_ᵑɡos,144_liedown
wɛⁿdʳu,145_turn
sax,146_climb
wɛlɛlɛs,147_swim
imʷolue,149_throw
lʊlmoa,150_hide
taotao,151_eat
mun,152_drink
momojal,153_yawn
vorai,154_spit
noᵐboriɛ,155_dream
ᵑɡos,156_sleep
mæor,157_live
mæs,158_die
ravus_imæs,159_kill
ᵑɡuli,160_see
ᵑɡuroŋ,161_hear
naᵐbʷon,162_sniffsmell
ᵑɡuvɪsiŋal,163_laugh
uarɛt,164_cry
iuv,165_blow
inɛm,166_burn
wɛtr,167_sew
wətrtəx,168_pound
wɛrævus,169_hit
wɔtɛre,170_cut
toɣᵐbar,171_split
wəɣl,172_dig
təŋao,174_hold
nɛmɛtax,175_fear
woᵐbuliŋk,176_count
wɛrevin_imelase,177_breathe
luɛ,178_vomit
wɛvus,179_tieup
wətəŋərən,180_squeeze
itɪmb,181_swell
wovɛtaŋ,182_say
woɣoi,183_scratch
wɛtr,184_stab
wovul,185_buy
wɛmærəx,186_steal
ɣawax,187_plant
wevini,189_shoot
rax,190_work
wəzɪsevan,191_open
