Sara,English Translation
mana,48_hand
mana mau,17_left
mana matua,16_right
lene,52_leg
fial,140_walk
amao,113_roadpath
beima,139_come
koboko,145_turn
loˤo,147_swim
otokaj,129_dirty
metekap,94_dust
kulna,55_skin
kiriuna,51_back
meᵐbene,444_stomach
juna,54_bone
ne:ne,57_intestines
botkam,59_liver
uʰuna,58_breast
vuna,49_shoulder
sibinamokile,315_know_understand
ᵐdoᵐdom,458_to_think
matak,175_fear
da:na,53_blood
batna,40_head
silikmana,50_neck
wilina,41_hair
ⁿgiⁿjuna,43_nose
sakamalaŋ,177_breathe
koena,434_sniff
ŋgenɔ,45_mouth
lipono,47_tooth
menana,46_tongue
miju,163_laugh
kraj,164_cry
luawa,178_vomit
foaj,154_spit
baŋga,151_eat
ŋgan,464_to_chew
dokam,188_cook
mun,152_drink
poleᵐbaʰavama,212_to_bite
mun,448_suck
seliŋono,44_ear
loŋo,161_hear
matana,42_eye
moʰop,160_see
ma:l,153_yawn
minoban,156_sleep
selekⁿdoko,144_liedown
minakatava,155_dream
tokosan,142_sit
mao,141_stand
atakmuna,306_person
atak,73_man
vavin,74_woman
bowa,75_child
noŋatat,79_husband
noŋvavin,80_wife
mamao,77_mother
tetej,78_father
niuma,111_house
kato,455_thatch
kijana,76_name
kuvɛt,182_say
serkaj,112_rope
kʷato᷈ŋgat,179_tieup
kusul,167_sew
lelakao,173_hunt
kuʰup,189_shoot
kusul,184_stab
kula,169_hit
panoko,186_steal
kulamat,159_kill
mat,158_die
mahul,157_live
kuvit,183_scratch
kute,170_cut
lakaj,107_wood
kutefoleo,171_split
maʝal,121_sharp
maʝalse,122_bluntdull
kovivi,190_work
kʷak,187_plant
kiloŋgoloŋgo,465_to_choose
miwa,302_to_grow
iluʰu,181_swell
kuluŋ,180_squeeze
kulaiŋgat,174_hold
kuvit,172_dig
kupul,185_buy
kuvike,191_open
kula,168_pound
kovoklokat,149_throw
selɛk,143_fall
kuliʷu,60_dog
man,61_bird
maso,69_egg
vilina,72_feather
kamba:na,71_wing
ⁿgaka,148_flyverb
kaʰap,66_rat
meloko,336_meat
bili,258_fat
ⁿgelene,70_tail
mata,63_snake
lokoᵐbit,64_worm
nikut,65_louse
ⁿdija,68_mosquito
niʰa,67_spider
ni:ka,62_fish
bɛᵐbɛp,130_rotten
mɛⁿlakaj,105_branch
lukuwae,106_leaf
kakatɛn,104_root
flowa,109_flower
masaklakaj,102_fruit
lukuwaj,108_grass
buksan,93_earthsoil
nivat,92_stone
ene:no,95_sand
nuaj,86_water
mal,286_flow
iⁿsa,88_sea
noajmat,87_lake
fokawa,103_woodsforest
amoʰoj,85_sky
kaᵐbatjo,83_moon
amoʰoji,84_star
benoj,97_cloud
mɛlgolo,340_fog
niʰuwa,96_rain
aᵐbo,99_thunder
katakam,100_lightning
laŋ,98_wind
koʰup,165_blow
bitun,483_hot
kaja,134_cold
ma:,135_dry
memeo,136_wet
mara,131_heavy
nikam,89_fire
vaⁿgavaŋa,166_burn
iⁿsoʰo,90_smoke
metekap,91_ash
lolo,114_black
mirara,115_white
bilvil,116_red
ᵐleru,118_yellow
meleke,117_green
bilik,120_small
iᶰsɔm,119_big
bokuwa,426_short
belewa,328_long
bilik,457_thin
iⁿsom,456_thick
kuᵐbukajiko,359_narrow
iⁿsom,489_wide
kulumema,125_painfulsick
matansa,123_shyashamed
apose,124_old
feʰu,137_new
bo,126_good
awose,127_bad
momao,128_correcttrue
iboŋ,82_night
laʱan,81_day
ukao,15_year
deŋge,33_when
kuᵐbiŋgole,150_hide
kuvavao,146_climb
juma,39_ininside
maʰaʰo,37_above
bakovata,38_below
ⁿgiloŋgoleŋgo,35_this
susu,36_that
op,133_near
tusumaja,132_far
bihe,32_where
naŋ,18_i
ajiko,23_thou
ajikobete,26_heshe
ajra,22_weallincl
amaj,19_weallexcl
ajrepelua,20_webothincl
naŋgajko,21_webothexcl
amun,25_youall
arepelua,24_youboth
ⁿgara,27_theyall
apelua,28_theyboth
avaj,30_what
sije,31_who
arohu,138_other
aranuna,195_all
bileke,199_and
tana,311_if
naᵐbaro,34_how
bool,29_nonot
kopuk,176_count
sokɛt,1_one
felua,2_two
kitoʰu,3_three
ivas,4_four
ilima,5_five
loktaŋai,6_six
lokua,7_seven
lokutoʰu,8_eight
lokwas,9_nine
luana,10_ten
luanmaso pe lua,11_twenty
luanmaso ilima,12_fifty
luanlimaso bakai lima,13_onehundred
