Burmbarfartavo,English Translation
soɣa,1_one
e-ru,2_two
e-tɛr,3_three
e-fɛt,4_four
e-rim,5_five
marov-tɛs,6_six
marov-ru,7_seven
marov-tɛr,8_eight
maro-pe,9_nine
saŋafur,10_ten
mafur_e-ru,11_twenty
mafur_e-rim,12_fifty
maŋat,13_onehundred
na-ⁿdʳam,15_year
ŋɛ-tin,16_right
he-maɛr,17_left
nau,18_i
moⁿdʳo,19_weallexcl
ᵑgoru,21_webothexcl
ⁿdʳato,22_weallincl
ɣaoŋ,23_thou
imru,24_youboth
ŋai,26_heshe
mɛⁿdrai,29_nonot
kasimbe,30_what
ise,31_who
ambe,32_where
ŋais,33_when
kasiᵐbe,34_how
-raxai,37_above
-ɣeparte,38_below
-raɣoɣum,39_ininside
ᵐbati-n,40_head
ne-furo-n_ᵐbati-m,41_hair
mata-n,42_eye
ɲunʧu-n,43_nose
xɛrsa-m,44_ear
ᵐbaŋo-n,45_mouth
nɪ-mɛ-n,46_tongue
ne-rufo-n,47_tooth
fara-n,48_hand
nɛ-vsu-n,49_shoulder
ⁿdofɛ-n,50_neck
maⁿdʳu-n,51_back
nɛ-ruɛ-m,52_leg
riɛm,53_blood
ᵐbaraŋo-m,54_bone
no-xoruᵐbɛ-nᵗ,55_skin
xovta-m,56_belly
mɛrta-n,57_intestines
na-susu-m,58_breast
ᵐbofsɛ-n,59_liver
no-kri,60_dog
ᵐbasir,61_bird
na-ix,62_fish
na-mat,63_snake
na-tuŋlat͡s,64_worm
na-ɣut,65_louse
ɣasuf,66_rat
ⁿdumarau,67_spider
na-nam,68_mosquito
ⁿdʳuru-n,69_egg
ᵑgarɛ-n,70_tail
ɣafɛ-n,71_wing
nɛ-fru-n,72_feather
fan,73_man
fafin,74_woman
ⁿdumare,75_child
na-xsa-n,76_name
nana,77_mother
tata,78_father
fana_sa-n,79_husband
favin_sa-n,80_wife
riɛr,81_day
ᵐbaso,82_night
na-ɣɪᵐbati,83_moon
masɔ,84_star
na-maf,85_sky
no-ai,86_water
maprapur,87_lake
nɛ-tɛs,88_sea
na-xamp,89_fire
ma-ᵐbaso,90_smoke
ⁿdaᵐbɛ_ɣamp,91_ash
ne-fɛt,92_stone
nɛ-tɛn,93_earthsoil
maraŋaɸ,94_dust
ⁿdoᵐbornon,95_sand
na-os,96_rain
na-ᵐborᵐbor,97_cloud
nɛ-rɛŋ,98_wind
na-urfar,99_thunder
na-ᵐbir,100_lightning
ᵐbumɪt,101_meatflesh
fenaɣte,102_fruit
nɛ-ᵐbɣɛr-te,104_root
ᵐbasiɣ-te,105_branch
ne-ɣarte,106_leaf
na-ɣai,107_wood
na-munwai,108_grass
nɛ-pnax,109_flower
na-mat,110_thatchroof
na-im,111_house
no-ɣɔ,112_rope
na-pesar,113_roadpath
ma-mɛrmɛr,114_black
ma-pʊx,115_white
ma-ᵐbisᵐbis,116_red
nɛɣaɣᵐbun,117_green
-ŋaŋ,118_yellow
-ɣofon,119_big
-kakes,120_small
ma-kan,121_sharp
ma-ᵐbʊx,122_bluntdull
-maɣmaɣan,123_shyashamed
-taram,124_old
-saɣit,125_painfulsick
ma-fo,126_good
ma-se,127_bad
-ketin,128_correcttrue
-mɛrmɛr,129_dirty
-ᵐboᵐboɣai,130_rotten
-mɛrɪs,131_heavy
-tɛmnɛs,132_far
-morokon,133_near
-raras,134_cold
-mamas,135_dry
-ᵐbarox,136_wet
ma-fofo,137_new
-ᵑgutme,139_come
-fɪnɛvɛn,140_walk
wu-tu,141_stand
-non,142_sit
mo-kⁿdʳum,143_fall
-mokⁿdrum,144_liedown
-rɛrni,145_turn
ma-sax,146_climb
-ⁿdʳorox,147_swim
-kumɪni,149_throw
-mɛrsuani,150_hide
ma-ɣan,151_eat
ma-min,152_drink
-ɣɛnmoŋ,153_yawn
me-pre,154_spit
-ᵐbor,155_dream
ma-pat,156_sleep
ma-maur,157_live
-mɪt,158_die
u-ras-ᵐbuni,159_kill
-mɛsi,160_see
-rugoni,161_hear
naᵐbon,162_sniffsmell
ma-man,163_laugh
ma-ⁿdʳaŋ,164_cry
-ᵐbiᵐbir,165_blow
-paŋk,166_burn
-saⁿdʳo,167_sew
-ᵐbraᵐbar,168_pound
-ᵐbrasi,169_hit
-tai,170_cut
-tɛfroi,171_split
-fiti,172_dig
-kokau,173_hunt
-ᵐbatᵐbati,174_hold
ma-matax,175_fear
-foroŋi,176_count
ma-ru,178_vomit
-ᵐbɛŋsi,179_tieup
tu-fuvsi,180_squeeze
ma-kus,181_swell
-wutke,182_say
-karkaro,183_scratch
-t͡sari,184_stab
-ᵑgare,185_buy
-fɪnaɣɔ,186_steal
tuurfi,187_plant
mɛ-psoŋ,188_cook
ti-fɪne,189_shoot
ᵑges-an,190_work
-fuŋati,191_open
