Mate Wan,English Translation
luwaːsia,48_hand
lepa mwɛl,17_left
levas marua,16_right
la:ma,52_leg
mial,140_walk
ᵐbrapa,113_roadpath
ojimi,139_come
ojlomoj,145_turn
okul,147_swim
kokoroːki,129_dirty
supulujaj,94_dust
kuluepena,55_skin
masuna,51_back
mopona,444_stomach
purihina,54_bone
sⁱnena,57_intestines
puriɛrᵉ,59_liver
ᵐbraːjuna,58_breast
komɛlkina,49_shoulder
nakiliaena,315_know_understand
stomaːlia,458_to_think
maraʰu,175_fear
ta:,53_blood
popaːna,40_head
mɛlkina,50_neck
wilupana,41_hair
kununa,43_nose
pur laŋg,177_breathe
lupɔña,434_sniff
kaŋgona,45_mouth
ᵐbraluena,47_tooth
purumɛnena,46_tongue
pĭtɑːle,163_laugh
taŋg,164_cry
lualua,178_vomit
puːli,154_spit
kinaːna,151_eat
puːli,464_to_chew
muña,152_drink
otapa,212_to_bite
lija,448_suck
kiliŋgana,44_ear
ɔmlõŋgea,161_hear
kɔmarana,42_eye
oplalija,160_see
neloaj,153_yawn
momaljo,156_sleep
omoⁿteno,144_liedown
muniniːa,155_dream
ototono,142_sit
ɔsumal,141_stand
jaːtani,306_person
jaːrni,73_man
siːra,74_woman
sisua,75_child
ɔna,79_husband
ɔna,80_wife
jaʰuja,77_mother
juma,111_house
iraʰɪ,455_thatch
saŋki,76_name
ɔjisa,182_say
 kilĭka,112_rope
wiarɛa,179_tieup
olilja,167_sew
olaːmal,173_hunt
wɛnja,189_shoot
wɛjaja,184_stab
oʷeʰa,169_hit
oneaoña,186_steal
owemaria,159_kill
mare,158_die
maɑl,157_live
okuparia,183_scratch
otea,170_cut
laːki,107_wood
otivɑja,171_split
mɑl,121_sharp
maːawa,122_bluntdull
wejmae,190_work
omapla,187_plant
sahu,465_to_choose
kapurŭ,302_to_grow
sirɔp,181_swell
ohuña,180_squeeze
okumaria,174_hold
okilĭja,172_dig
oʰulja,185_buy
ojikea,191_open
okwakwa,168_pound
okwelɑrja,149_throw
olɛru,143_fall
lokuli,60_dog
man,61_bird
kolusja,69_egg
ilusja,72_feather
kupeːna,71_wing
kaː,148_flyverb
kaːwe,66_rat
kurupio,336_meat
laːpa,258_fat
kiːna,70_tail
lomara,63_snake
kular,64_worm
kuːr,65_louse
namu,68_mosquito
koromalul,67_spider
ika,62_fish
koːna,130_rotten
korowasja,105_branch
masja,106_leaf
puliŋgasja,104_root
inaki,109_flower
rɑsja,102_fruit
maːki,108_grass
snateno,93_earthsoil
kilɑːr,92_stone
no:on,95_sand
wiː,86_water
siɒːj,286_flow
si,88_sea
si,419_salt
parurujaŋga,87_lake
jomarua,103_woodsforest
sⁱnavin,85_sky
kupariɔ,83_moon
jeruwe,84_star
maluko,97_cloud
maluko,340_fog
juwa,96_rain
pɔlul,99_thunder
joŋkarpila,100_lightning
laŋg,98_wind
ojuːja,165_blow
mijaŋgaruwa,483_hot
mija,134_cold
mema,135_dry
meme,136_wet
urumi,131_heavy
kap,89_fire
kapkekanijanun,166_burn
mju,90_smoke
mapulukap,91_ash
miɛlkɔlⁱko,114_black
mijoː,115_white
piliːl,116_red
lelɛr,118_yellow
meme,117_green
taːkiːto,120_small
tahura,119_big
plasja aŋga,426_short
upiɑj,328_long
meninju,457_thin
mererɛl,456_thick
miŋgaria ŋga,359_narrow
nievaja,489_wide
manika,125_painfulsick
maʰawa,123_shyashamed
pena marua,124_old
penajo,137_new
polelaj,126_good
puluʋul,127_bad
mɛsmɛs,128_correcttrue
maluko,82_night
liŋgienena,81_day
kaːsia,15_year
boŋgi akara,33_when
oᵐbloŋgea,150_hide
oʰuña,146_climb
loːsja,39_ininside
bokemaja,37_above
mokeːteno,38_below
naŋga moke nani,35_this
naŋga mokɑrne,36_that
laʰisiŋga,133_near
mokeverina,132_far
mokeve,32_where
nu,18_i
ko,23_thou
naŋga,26_heshe
iⁿda,22_weallincl
kamjɔ,19_weallexcl
iⁿdalua,20_webothincl
naŋgalua,21_webothexcl
naŋgala,25_youall
naŋga lua,24_youboth
naŋgala,27_theyall
naŋgaŋgalua,28_theyboth
jakaːra,30_what
jaːni,31_who
topona,138_other
naŋga lani,195_all
ne,199_and
isanu,311_if
sieve,34_how
toko,29_nonot
oʰuluja,176_count
taŋga,1_one
wa,2_two
telu,3_three
jari,4_four
lima,5_five
orɑj,6_six
olua,7_seven
orɛl,8_eight
oʰeʰar,9_nine
lualima,10_ten
