Maluabaycoast,English Translation
-saɣal,1_one
i-ru,2_two
i-til,3_three
i-vat,4_four
i-lɪm,5_five
-ɣoɛn,6_six
-ɣɛᵐbit,7_seven
-ɣoɛl,8_eight
-ɣɛsɪf,9_nine
-sɪŋavul,10_ten
movɪl_i-ru,11_twenty
mov_ɪ-lɪm,12_fifty
hovsiŋavul,13_onehundred
ᵑgaka_sɛɣal,15_year
nɪ-mato,16_right
nɪ-mʷir,17_left
xonu,18_i
kɪnɛm,19_weallexcl
nɛkr_iru,20_webothincl
kɪnɛm_iru,21_webothexcl
nɛkr,22_weallincl
nox,23_thou
kɛm_po,24_youboth
xain,26_heshe
xar_pɔ,27_theyall
xar_i-ru,28_theyboth
ⁿzaɣa,30_what
sɪne,31_who
hambɛ,32_where
sɪvɛlɪŋ,33_when
i-plɛkɪnzaɣa,34_how
-lɛmsax,37_above
-mɛlɪvɛn,38_below
-lalɛn,39_ininside
ᵐbat-n,40_head
nɪ-vulo-n,41_hair
nɪ-mtæ-n,42_eye
ᵑguʒu-n,43_nose
ᵐboro-n,44_ear
ⁿʒoŋo-n,45_mouth
nɪ-mɪmɛ-n,46_tongue
luvʷo-n,47_tooth
nɪ-vura-n,48_hand
ᵐbɛtaɣpɛs,49_shoulder
ⁿdaɣa-n,51_back
nɪ-malɛ-n,52_leg
na-re,53_blood
ⁿʒi-n,54_bone
nɪ-vulo-n,55_skin
lɪvɛɣa-n,56_belly
ⁿʒɪnɛ-n,57_intestines
na-ʃuʃ,58_breast
lalɛ-n,59_liver
nu-ɣoli,60_dog
nɪ-manox,61_bird
nɪ-mɛʧ,62_fish
nɪ-mat,63_snake
wɪlɪʧlɪʧ,64_worm
na-ɣət,65_louse
na-xarɪf,66_rat
ne-la,67_spider
na-mʊx,68_mosquito
rɪlɪ-n,69_egg
wɪlɪɣao-n,70_tail
na-ɣɪpɛ-n,71_wing
nɪ-vulo-n,72_feather
nɪ-miarmɛr,73_man
nɪ-miar,74_woman
ⁿdavorəx,75_child
nɛ-ŋsa-n,76_name
pepe,77_mother
tate,78_father
lilaɣ-sa-n,79_husband
nɪ-miar-sa-n,80_wife
lɛlɪk,82_night
na-vɪl,83_moon
nu-vovor,84_star
ᵐbɛkɪnlʊn,85_sky
nu-we,86_water
nalɛp,87_lake
ⁿdɛs,88_sea
na-ɣamp,89_fire
jɪs,90_smoke
nɪ-vɛt,92_stone
ⁿdan,93_earthsoil
ni-ɛɸ,94_dust
nu-vuvʷon,95_sand
na-uʃ,96_rain
ᵐbɛkɪnlʊn,97_cloud
laŋ,98_wind
ᵐbɪtekur,99_thunder
nɪ-vɪlax,100_lightning
