Nahaaimalfaxal,English Translation
i-tɛx,1_one
i-ru,2_two
i-tʉl,3_three
i-vas,4_four
i-lim,5_five
raha-tɛx,6_six
ɣaha-ru,7_seven
ɣaha-tʉl,8_eight
ɣaha-vas,9_nine
-laŋvʊl,10_ten
namaratin_i-tɪx,11_twenty
namaratin_iru_nooron_i-laŋvul,12_fifty
namaritin_i-lim,13_onehundred
namaritin_i-laŋavul,14_onethousand
nɛ-teo,15_year
ᵐbarəŋin,16_right
ni-mʷir,17_left
ᵑgina,18_i
ⁿdaru,20_webothincl
ⁿdatʉl,22_weallincl
ajun,23_thou
amʷil,24_youboth
ɣai,26_heshe
naxai,30_what
ajuŋ,31_who
ambɛʰ,32_where
matanial,33_when
i-vare,34_how
ajiᵐbʷan,35_this
ᵐbʷajaŋ,36_that
-livʷanmahap,37_above
salvʉn,38_below
-lɛʊnmʉsʉn,39_ininside
na-ᵐbatu-m,40_head
no-ɣosvul,41_hair
næ-mæta-m,42_eye
nɪ-ᵑginhu-m,43_nose
na-ⁿdalɪŋa-n,44_ear
no-ᵐboɣo-m,45_mouth
na-malamŋi-n,46_tongue
ni-livo-m,47_tooth
nɪ-varə-m,48_hand
na-ᵐbatɣavə-m,49_shoulder
nu-ⁿdəlo-m,50_neck
na-taɣo-m,51_back
nɪ-ᵐbulɛ-m,52_leg
næ-ⁿdaʰ,53_blood
ni-ᵐbulᵐbul,54_bone
naᵐbaɣavu-m,56_belly
na-aɣut,57_intestines
nɪ-susu-m,58_breast
na-mam_nəmm,59_liver
ni-kiliu,60_dog
na-man,61_bird
na-mahal,62_fish
na-mʷat,63_snake
nu-ⁿdulas,64_worm
no-ɣot,65_louse
na-ɣahup,66_rat
nɪ-ŋɛŋeo,67_spider
nɛ-teoɣas,68_mosquito
na-manlu_nto,69_egg
ni-ᵐʙusin,70_tail
no-ᵐbonᵐbo-n,72_feather
na-ᵐbaᵐbariŋin,73_man
ni-vin_aiwut,74_woman
ni-uᵐbunon,75_child
na-aɣa-m,76_name
ᵑgiai,77_mother
tata,78_father
nu-mʷoɣaiwut,79_husband
nu-mʷovɪnaiwut,80_wife
ni-vul,83_moon
na-mʷosoi,84_star
na-map,85_sky
no-oi,86_water
na-tas,88_sea
na-ɣamb,89_fire
i-tuŋ,90_smoke
na-vat,92_stone
na-tan,93_earthsoil
ni-ᵐbinon,95_sand
nu-uh,96_rain
na-maliŋ,97_cloud
nɛ-lɛŋ,98_wind
ni-pil,99_thunder
nu-ŋulum,100_lightning
ni-vɪɣɔh,101_meatflesh
na-vʷan,102_fruit
ni-ᵐʙunɣai,103_woodsforest
na-ɣara-n,104_root
na-ᵐbal_næn,105_branch
ne-reun,106_leaf
na-ɣai,107_wood
ni-mʷini,108_grass
na-tavhe-n,109_flower
ni-at,110_thatchroof
ni-um,111_house
ni-ɛɣeo,112_rope
i-mɛtmɪt,114_black
i-mavus,115_white
i-paŋpaŋ,116_red
i-ɣaɣasan,117_green
i-lʉtlʉt,118_yellow
i-ᵐboᵐbo,119_big
i-malaɣa,120_small
na-kan,121_sharp
i-mah,122_bluntdull
i-mamaɣan,123_shyashamed
i-pmarlam,124_old
i-mɪhɛx,125_painfulsick
i-lɛh,126_good
i-hat,127_bad
i-ᵐbarəŋin,128_correcttrue
no-morloʰ,129_dirty
i-mom,130_rotten
i-ⁿdop,131_heavy
-sɛle,132_far
-masaŋsaŋ,133_near
na-malɣah,134_cold
i-mahamah,135_dry
i-ⁿdomⁿdom,136_wet
i-veveo,137_new
ᵑga-mi,139_come
ᵑga-loŋ,140_walk
ᵑga-tur,141_stand
ᵑga-sumb,142_sit
i-ᵐbah,143_fall
ᵑga-pas_ⁿdeo,144_liedown
ka-viɣɪs,145_turn
katon-hax,146_climb
ka-ŋar,147_swim
i-vɛm,148_flyverb
ᵑga-kom,149_throw
ᵑga-tɪtehɛχ,150_hide
ᵑga-kan,151_eat
ᵑga-mʉn,152_drink
-momolɪn,153_yawn
ni-pure,154_spit
nɪ-ᵐbʷare,155_dream
ᵑga-pas,156_sleep
i-meor,157_live
i-mas_ᵐʙun,158_die
ka-orᵐʙun_a-mas,159_kill
ᵑga-lɪs,160_see
ᵑga-roŋ,161_hear
no-ᵐbon,162_sniffsmell
ᵑga-man,163_laugh
ᵑga-ten,164_cry
i-wup,165_blow
i-paŋ,166_burn
ᵑga-uras,168_pound
ᵑga-tiri,170_cut
ᵑga-ɣil,172_dig
ᵑga-sal,173_hunt
ᵑga-vorvor,174_hold
-mataɣtax,175_fear
ka-ᵐbuliŋ,176_count
-ŋarŋar,177_breathe
ᵑga-lulu,178_vomit
ᵑga-ɣos,179_tieup
ᵑga-ᵐbus,180_squeeze
i-timb,181_swell
ka-pe,182_say
ᵑga-oiɣoi,183_scratch
ᵑga-pul,185_buy
ka-vanaχ,186_steal
ᵑga-kor,187_plant
ᵑga-saŋ,188_cook
ᵑga-bini,189_shoot
ka-rax,190_work
ᵑga-sɪsivan,191_open
