Hano,English Translation
tata,259_uncle_paternal
tata xaifua,262_uncle_paternal_older
tata tihixi,280_uncle_paternal_younger
fafa,274_aunt_paternal
fafa xaifua,273_aunt_paternal_older
fafa kolo,281_aunt_paternal_younger
bena,342_uncle_maternal
bena xai fua,346_uncle_maternal_older
bena kolo,354_uncle_maternal_younger
mua,77_mother
mua xai fua,347_aunt_maternal_older
mua kolo,355_aunt_maternal_younger
tuwa xai fuwa,373_brother_older
oxosi kolo,499_younger_brother
tuwa xai fua,381_sister_older
tata,264_first_cousin_male_paternal_uncle
fafa,263_first_cousin_female_paternal_uncle
kuku,345_first_cousin_maternal_uncle
oxosi,351_first_cousin_male_maternal_aunt
tuwa,350_first_cousin_female_maternal_aunt
bibi,261_father_in_law_of_woman
bibi,310_mother_in_law_of_woman
bwalixa,260_father_in_law
nituku,341_mother_in_law
ahoaku,79_husband
tæsalaku,80_wife
mambiku,235_daughter_in_law
mambiku,300_grandson_son
mweɪ,234_daughter
taɾi,435_son
mambiku,238_grandson_daughter
tata,237_son_in_law
tihiku,236_granddaughter_daughter
bilak xai,214_niece_fraternal
mala,220_nephew_fraternal
taɾi,363_nephew_sororal
mweɪ,365_niece_sororal
teʲa,1_one
ɾ̚uʷa,2_two
tolu,3_three
fasi,4_four
lima,5_five
ono,6_six
bitu,7_seven
fʷelu,8_eight
sifo,9_nine
haŋful,10_ten
haŋful dəman xai tufa,257_eleven
haŋful dəman xai ɾuʷa,477_twelve
haŋful dəman xai tolu,459_thirteen
haŋful dəman xai fasi,288_fourteen
haŋful dəman xai lima,284_fifteen
haŋful dəman xai ono,430_sixteen
haŋful dəman xai bitu,423_seventeen
haŋful dəman xai fʷelu,255_eighteen
haŋful dəman xai sifo,367_nineteen
ŋaful xai ɾuʷa,11_twenty
ŋaful xai tolu,460_thirty
ŋaful xai fasi,289_forty
ŋaful xai lima,12_fifty
ŋaful xai ono,431_sixty
ŋaful xai bitu,424_seventy
ŋaful xai fʷelu,256_eighty
ŋaful xai sifo,368_ninety
fudoluʷa,13_onehundred
