Enaa,English Translation
cibiŋgi adalma,268_grandfather_paternal
temaŋga atokok,262_uncle_paternal_older
temaŋga acihik,280_uncle_paternal_younger
cibiŋgi ahaɸin,269_grandmother_paternal
ɸæɸo nen wawa,273_aunt_paternal_older
tad̚at,78_father
wawa tewep,281_aunt_paternal_younger
cibiŋgi a noxon ba:,298_grandfather_maternal
macijaŋga,346_uncle_maternal_older
daciŋgi ,77_mother
macijaŋga atewep,354_uncle_maternal_younger
cibiŋgi ahaɸin,299_grandmother_maternal
ba: tokok,347_aunt_maternal_older
ba: cihik,355_aunt_maternal_younger
kinsaŋga atokok,373_brother_older
kisak acihikakisantadatewawa,499_younger_brother
ociŋgi ate:bæwo,381_sister_older
ociŋgi atewep,498_younger_sister
kinsaŋga,264_first_cousin_male_paternal_uncle
ociŋgi,263_first_cousin_female_paternal_uncle
tædat,277_first_cousin_male_paternal_aunt
wəwa,275_first_cousin_female_paternal_aunt
kinsaŋga,343_first_cousin_male_maternal_uncle
nucuŋgu,344_first_cousin_female_maternal_uncle
nucuŋgu,351_first_cousin_male_maternal_aunt
nucuŋgu,350_first_cousin_female_maternal_aunt
taslaŋga,260_father_in_law
taslaŋga,341_mother_in_law
bwalikaŋga,261_father_in_law_of_woman
bwalikaŋga,310_mother_in_law_of_woman
dancuŋgu,80_wife
hoaŋga,79_husband
bwalikaŋga,235_daughter_in_law
ma:biŋgi,300_grandson_son
ma:biŋgi,296_granddaughter_son
nucuŋgu,435_son
nucuŋgu,234_daughter
ma:biŋgi,238_grandson_daughter
taslaŋga,237_son_in_law
ma:biŋgi,236_granddaughter_daughter
nucuŋgu,376_nephew_fraternal_older
nucuŋgu,375_niece_fraternal_older
nucuŋgu,501_nephew_fraternal_younger
nucuŋgu,500_niece_fraternal_younger
alowaŋga,385_nephew_sororal_older
alowaŋga,384_niece_sororal_older
alowaŋga,501_nephew_fraternal_younger
tədat,259_uncle_paternal
wəwa,274_aunt_paternal
macijaŋga,342_uncle_maternal
daciŋgi,348_aunt_maternal
bʷale,1_one
kaɾ̚u,2_two
kacil,3_three
kafet,4_four
kalim,5_five
lapʷale,6_six
laʉɾu,7_seven
lapcil,8_eight
lapet,9_nine
tsaŋwul,10_ten
tsaŋwulɸ̚ep nan bʷale,257_eleven
tsaŋwulɸ̚ep nan kaɾ̚u,477_twelve
tsaŋwulɸ̚ep nan lapcil,459_thirteen
tsaŋwulɸ̚ep nan kafet,288_fourteen
tsaŋwulɸ̚ep nan kalim,284_fifteen
tsaŋwulɸ̚ep nan telapʷale,430_sixteen
tsaŋwulɸ̚ep nan telaʉɾu,423_seventeen
tsaŋwulɸ̚ep nan telapcil,255_eighteen
tsaŋwulɸ̚ep nan telapet,367_nineteen
ŋawul kaɾ̚u,11_twenty
ŋawul kacil,460_thirty
ŋawul kafet,289_forty
ŋawul kalim,12_fifty
ŋawul telapʷale,431_sixty
ŋawul telaʉɾu,424_seventy
ŋawul telapcil,256_eighty
ŋawul telapet,368_ninety
tewundəluwapale,13_onehundred
