Bangaasaktaremb,English Translation
-sapm,1_one
i-ru,2_two
i-tl,3_three
i-vat,4_four
i-lim,5_five
i-sout,6_six
i-souruh,7_seven
i-sedɬ,8_eight
i-savat,9_nine
i-laŋal,10_ten
ŋal_i-ru,11_twenty
ŋal_i-lim,12_fifty
ŋat_sabⁿ’m,13_onehundred
ŋat_itarlama_sabⁿ’m,14_onethousand
aⁿdam,15_year
nai,18_i
ᵑgitmah,19_weallexcl
ᵑgit-ᵐburarui,20_webothincl
kaᵐburaruih,21_webothexcl
aᵑgit,22_weallincl
oŋ,23_thou
kaᵐburaruih,24_youboth
kaᵐbaramalʰ,25_youall
eiʰ,26_heshe
iermalamalʰ,27_theyall
ier-ⁿdʳu,28_theyboth
i-tikʰ,29_nonot
ʧivɛkʰ,30_what
asiɛ,31_who
ɛᵐbaŋ,32_where
kisan,33_when
ᵐba-tamakʰ,34_how
ɛtenaŋ,35_this
ɛtei,36_that
-ⁿdʳagai,37_above
-lapan,38_below
-ᵐʙut,39_ininside
ᵐbat-n,40_head
sublɛ-n,41_hair
mata-n,42_eye
onos-n,43_nose
ⁿdɪliŋa-n,44_ear
ᵐboŋo-n,45_mouth
leme-n,46_tongue
borohðei,47_tooth
veran,48_hand
ᵐbatn_faran,49_shoulder
ᵐbalawan,50_neck
ⁿdru-n,51_back
bologo-n,52_leg
ɛⁿdʳe,53_blood
boloŋ,54_bone
ɛpnu_hunan,55_skin
vat-n,56_belly
ᵐʙurtan,57_intestines
a-sɪh,58_breast
ɛlɛmɛt-nan,59_liver
gaᵐbʷɪr,60_dog
a-man,61_bird
funiɛk,62_fish
a-mat,63_snake
oⁿdalas,64_worm
a-ut,65_louse
ᵐbʷisiᵐbɔkʰ,66_rat
ⁿdogas,68_mosquito
ɔbm,69_egg
ᵐʙus-n,70_tail
muːt,73_man
mʷomʷokʰ,74_woman
atiⁿdai,75_child
isa-n,76_name
ᵑgalu-i,77_mother
mʷom,78_father
muːt-tanai,79_husband
mʷomʷo-tanai,80_wife
aᵐʙun,81_day
lupat˺,82_night
aᵐbasi,83_moon
fʷinmɛse,84_star
alaŋ,85_sky
ɛ-we,86_water
tusuwe,88_sea
aːmʙ,89_fire
tɛltɛl,90_smoke
bisnap,91_ash
a-βat,92_stone
a-tan,93_earthsoil
bisnap,94_dust
fʷulɪsilah,95_sand
aus,96_rain
alaŋ,97_cloud
malaːs,98_wind
urur,99_thunder
alaŋap,100_lightning
ivsoa-n,101_meatflesh
fanan,102_fruit
itorɔ,103_woodsforest
tɛrawɛ-n,104_root
ᵐbut_na-ŋai,105_branch
a-ruun,106_leaf
a-ᵑgai,107_wood
momʷos,108_grass
ipman,109_flower
iat,110_thatchroof
a-mal,111_house
a-tal,112_rope
gurup˺,113_roadpath
-mɛtɛmɛt,114_black
i-oviop,115_white
i-mial,116_red
-mɛlmɛlis,117_green
i-lilit,118_yellow
i-lɛvɛlɛp,119_big
i-lelei,120_small
i-maŋal,121_sharp
i-ᵐʙukʰ,122_bluntdull
ɪ-ᵐbor,123_shyashamed
i-tian,124_old
i-sal,125_painfulsick
i-rivɪkʰ,126_good
i-seɪ,127_bad
i-riβigɪtɛʰ,128_correcttrue
-mɛtəmɛt,129_dirty
iᵐboih,130_rotten
i-map,131_heavy
-saman,132_far
-lile,133_near
-mɛlekit,134_cold
-mɛsamah,135_dry
i-βiβaʰ,137_new
telenan,138_other
ka-βʷel,139_come
ko-solsol,140_walk
ku-turtur,141_stand
ku-sum,142_sit
ɪ-ⁿdiŋdiŋ,144_liedown
kɪ-ⁿdʳioŋ,145_turn
ka-sakʰ,146_climb
ku-lumlum,147_swim
ki-al,148_flyverb
ko-sokai,149_throw
ku-lugʊn,150_hide
ki-an,151_eat
kɪ-mɪn,152_drink
-maŋulal,153_yawn
ku-ᴩɛrai,154_spit
i-laᵐbari,155_dream
-matur,156_sleep
i-maur,157_live
i-mat,158_die
ki-rit-ᵐʙun,159_kill
kɪ-ligilai,160_see
kuaparuŋ,161_hear
u-suŋusuŋ,162_sniffsmell
ku-wam,163_laugh
ku-ul,164_cry
-uβup,165_blow
i-loŋ,166_burn
ki-riritʰ,168_pound
ki-riit,169_hit
kɪ-ter,170_cut
kɪ-tɛruɛl,171_split
ki-il,172_dig
ki-iorior,173_hunt
ku-bruɪs,174_hold
-mɪtutakʰ,175_fear
ko-ⁿdoŋdoŋon,176_count
ka-ŋarŋar,177_breathe
ki-okʰ,178_vomit
ki-pis_natai,179_tieup
ku-ᴩəʰ,180_squeeze
ɪ-ᵐʙur,181_swell
ki-tir,182_say
i-orior,183_scratch
ka-mah,184_stab
kɛ-lɛs,185_buy
ka-laplap,187_plant
kɪ-tntn,188_cook
ku-luiʰ,189_shoot
kɪ-pɛr,190_work
ko-saβaŋ,191_open
