Tesmbolusus,English Translation
-sai,1_one
-ⁿdʳo,2_two
-ⁿdil,3_three
-ⁿbɛs,4_four
-limɛ,5_five
ⁿdʳu-sai,6_six
ⁿdʳo-ro,7_seven
ⁿdʳu-til,8_eight
ⁿdʳu-vɛs,9_nine
ⁿdʳua-lɪmɛ,10_ten
atᵐbʷi,16_right
mʷir,17_left
kanaŋ,18_i
ⁿdɛlᵐbʷati,19_weallexcl
ⁿdar,20_webothincl
ⁿdɛl,22_weallincl
aᵑgu,23_thou
morus,24_youboth
amul,25_youall
ai,26_heshe
aⁿdʳɪl,27_theyall
aⁿdʳu,28_theyboth
səgə,29_nonot
isɛvɪn,30_what
asni,31_who
aiᵐbi,32_where
naise,33_when
savani,34_how
iaᵑga,35_this
aia,36_that
-ramali,37_above
-rɛvi,38_below
-luteli,39_ininside
ᵐbʷat-u,40_head
nɛ-βl-i,41_hair
mɛt-i,42_eye
ᵑgors-i,43_nose
ⁿdaliŋa-m,44_ear
ᵐbuŋ-i,45_mouth
mɪlw-i,46_tongue
nɛ-lw-i,47_tooth
var-i,48_hand
ne-tɛᵐbɛ,49_shoulder
ⁿdil-i,50_neck
tag-m,51_back
ᵑgɛl-i,52_leg
ⁿdʳe,53_blood
fʷiɣai,54_bone
ulmɛt,55_skin
woβtu,56_belly
mɛrt-i,57_intestines
nɛ-sɪs,58_breast
ᵐbuᵐbur,59_liver
na-kuli,60_dog
n-mɛn,61_bird
ne-gə,62_fish
i-mat,63_snake
na-wut,65_louse
wusu,66_rat
ⁿdaᵑgalɛ,67_spider
na-was,68_mosquito
lɛti,69_egg
moβi,69_egg
ᵐʙusi,70_tail
ablaŋawi,71_wing
nɛ-bɛli,72_feather
na-mʊt,73_man
aᵐbute,74_woman
ɪⁿdikakal,75_child
nɛks-i,76_name
nɛne,77_mother
tata,78_father
na-mut_na-ŋ,79_husband
aᵐbute_etnaŋ,80_wife
na-ᵐbʷier,81_day
laβat,82_night
ᵐbesi,83_moon
ɛvɪnvɪt,84_star
maɸ,85_sky
nu-ai,86_water
ᵐbuldaŋ,87_lake
ⁿdɛs,88_sea
na-xamb,89_fire
baɾi,90_smoke
ᵐbusuan,91_ash
i-vɛt,92_stone
ⁿdɛn,93_earthsoil
ᵐbaraŋap˺,94_dust
movsuwun,95_sand
na-use,96_rain
map˺,97_cloud
mɛlɣas,98_wind
na-ur,99_thunder
nɛ-ᵐʙɛlɛ,100_lightning
nɪ-βsau,101_meatflesh
abunvʷi,102_fruit
ɛᵐdu,103_woodsforest
nɛ-ruai,104_root
t͡saŋai,105_branch
arau-nai,106_leaf
na-i,107_wood
mʷɛle,108_grass
tɪvsi,109_flower
a-rauiɛtɛ,110_thatchroof
e-imʷɔ,111_house
ⁿdɛl,112_rope
iselɛ,113_roadpath
-ʙulɛmɛt,114_black
-ᵐboβo,115_white
-loŋloŋ,116_red
-ɛmɛlgɛs,117_green
-iaŋiaŋ,118_yellow
-ᵐbau,119_big
-kakal,120_small
-maŋal,121_sharp
-ᵐʙux,122_bluntdull
na-ᵑgɪᵑgɪn,123_shyashamed
-mutiɛnɛ,124_old
-kures,125_painfulsick
-ᵐbʷi,126_good
-samʙ,127_bad
-ᵐbaraŋan,128_correcttrue
bitɛnə,129_dirty
-waⁿdɛ,130_rotten
-nɪᵐʙ,131_heavy
-utɪli,132_far
-soŋsoŋ,133_near
-mɛlɣas,134_cold
-mɛsmɛs,135_dry
-luᵐʙ,136_wet
-ᵐbɪβu,137_new
atli,138_other
ta-βal,139_come
ta-βalβal,140_walk
tɛ-tuar,141_stand
-sumsumɔ,142_sit
-raxai,143_fall
tu-mʷɔnmʷɔnɛ,144_liedown
tɛ-ⁿdri,145_turn
-naⁿdʳa,146_climb
-lɪlɛs,147_swim
-marax,148_flyverb
tu-ᵐʙuɔ,149_throw
-suɔ,150_hide
ta-gargan,151_eat
ta-mun,152_drink
u-mʷiel,153_yawn
-mɛmsir,154_spit
-ᵐbʷari,155_dream
tu-mʷɔnɛ,156_sleep
-maur,157_live
-mɛs,158_die
-mus-ᵐʙn,159_kill
tɛ-lei,160_see
to-roŋ,161_hear
-ᵐbʷi,162_sniffsmell
-ʙusiŋal,163_laugh
-ⁿdaŋ,164_cry
-ᵐʙulᵐʙul,165_blow
-gan,166_burn
tɛ-tr,167_sew
-musmuʰ,168_pound
tɛ-tmus,169_hit
tu-rɪs,170_cut
-wusᵐbori,171_split
-sar,172_dig
-warwar,173_hunt
ka-mɪs_tautau,174_hold
-matau,175_fear
-bulo,176_count
-ⁿdʳer_mɛlgas,177_breathe
-lualuɔ,178_vomit
tɛ-tuwun_dautau,179_tieup
-ᵐʙus,180_squeeze
-mɛvugʰ,181_swell
tɛ-batɛn,182_say
tu-wiwi,183_scratch
-t͡sar,184_stab
-golɛ,185_buy
-marax,186_steal
ta-gaβa,187_plant
tɪ-βɛnɛ,189_shoot
-rau,190_work
-t͡saŋap,191_open
