Tekele,English Translation
limana,48_hand
mʷɛ:li,17_left
marua,16_right
laːna,52_leg
mijali,140_walk
de:pa,416_road
wejmi,139_come
ojlomo:j,145_turn
kulu,147_swim
puta:raŋ,129_dirty
supulujɑj,94_dust
kulu:sia,55_skin
kasmɛnena,51_back
mopena,444_stomach
purijuna,54_bone
sĭne:na,57_intestines
puriere,59_liver
daju:na,58_breast
oŋkil:ja,315_know_understand
stomalia,458_to_think
marau,175_fear
ta:,53_blood
pa:na,40_head
kumelikina,50_neck
wilupa:na,41_hair
kunu:na,43_nose
mieʋe,177_breathe
lopon᷈a,434_sniff
kunuⁿgona,45_mouth
daluena,47_tooth
pumene:na,46_tongue
opita:le,163_laugh
taŋi,164_cry
lualua,178_vomit
pla:siri,154_spit
kina:na,151_eat
maŋga:ja,464_to_chew
kuku:n kinane:na,188_cook
mun᷈a,152_drink
kara:ria,212_to_bite
munmun᷈a,448_suck
kiliŋgana,44_ear
loⁿgea,161_hear
komarana,42_eye
ma:lja,160_see
mumaljo,156_sleep
monoa:wa,144_liedown
nalua:ʰe:na,155_dream
totɔno,142_sit
suma:lu,141_stand
ererina,306_person
erumene,73_man
sira,74_woman
nuŋgariki,75_child
saɛr marua,79_husband
sasira marua,80_wife
sate:te,77_mother
sata:ta,78_father
juma,111_house
lakipepe,455_thatch
ki,76_name
ojsa,182_say
kilika,112_rope
ojtea:ria,179_tieup
osuluja,167_sew
kuru:moli,362_needle
tɛŋi:ni,173_hunt
pini:ja,189_shoot
omiʰaja,184_stab
omʷea,169_hit
pinao,186_steal
mʷemaria,159_kill
mare,158_die
ma:li,157_live
kuparia,183_scratch
te:a,170_cut
laki,107_wood
te:paja,171_split
meto:to,121_sharp
meto:to repoli,122_bluntdull
jumʷe:na,190_work
mapila,187_plant
pĭlejlea,465_to_choose
pitoj,302_to_grow
siropⁱ,181_swell
opoŋoja,180_squeeze
opurarja,174_hold
okilja,172_dig
pulĭja,185_buy
ojke:a,191_open
mʷemʷea,168_pound
kʷanja,149_throw
loru,143_fall
lekuli,60_dog
manu,61_bird
kulu:to,69_egg
ilu:sĭja,72_feather
ku:pe:na,71_wing
ka:,148_flyverb
ka:we,66_rat
kuᵐbui,336_meat
kina,70_tail
lojmara,63_snake
susu,64_worm
kuru,65_louse
namu,68_mosquito
koromalulu,67_spider
ika,62_fish
menu:ni,130_rotten
koroa:sia,105_branch
ma:ki,106_leaf
puliŋgalaki,104_root
ina:sia,109_flower
daki,102_fruit
sĭnatɔn,93_earthsoil
kila:ru,92_stone
no:ne,95_sand
wi,86_water
wi kiriri,286_flow
lo:osi,88_sea
solo,419_salt
plu:ʷi,87_lake
lokon marua,103_woodsforest
sikɔriko,85_sky
kupario,83_moon
erue,84_star
polu:lu,97_cloud
miwowo,340_fog
juwa,96_rain
polu:lu,99_thunder
jokarpila,100_lightning
laŋi,98_wind
omiju:ja,165_blow
pisu:sun,483_hot
mijaʋa,134_cold
ma:,135_dry
memɛ,136_wet
uru:mi,131_heavy
kapi,89_fire
ʋaŋga,166_burn
jopuwa,90_smoke
mokoliko,114_black
miwowo,115_white
pili:li,116_red
lele:ru,118_yellow
meme,117_green
taki:to,120_small
taura,119_big
pula:sia,426_short
pi:aj,328_long
meni:nivi,457_thin
merorɔlu,456_thick
womataʋa,359_narrow
merɔlu,489_wide
milɑ,125_painfulsick
maiwa,123_shyashamed
marua,124_old
na:hu,137_new
po,126_good
pulupuli,127_bad
mɛsmɛsu,128_correcttrue
poŋge:na,82_night
jomlaŋ,81_day
ka:sia,15_year
poŋgia:j,33_when
kʷanlon᷈a,150_hide
pumaʋa,146_climb
loʷosia,39_ininside
ma:pa,37_above
lopʷerena,38_below
naŋa ni,35_this
naŋa ra,36_that
laji:si,133_near
perina,132_far
pe,32_where
nu,18_i
ko,23_thou
naŋa,26_heshe
ita,22_weallincl
memi,19_weallexcl
italua,20_webothincl
italua,21_webothexcl
amju,23_thou
amjulua,24_youboth
naŋala,27_theyall
naŋalalua,28_theyboth
ja:,30_what
ja:j,31_who
tapopulĭja,138_other
naŋala,195_all
paŋge,199_and
esahe,311_if
se:pe,34_how
po:li,29_nonot
olu:ja,176_count
taŋa,1_one
lua,2_two
tɔlu,3_three
ʋari,4_four
lima,5_five
orɑ:j,6_six
olua,7_seven
orɔlu,8_eight
ojari,9_nine
lualima,10_ten
lualima pɛn lua,11_twenty
lualimalima,12_fifty
lualima pɛn taŋa,13_onehundred
manu pɛn taŋa,14_onethousand
