Elolovoli,English Translation
katiwal,1_one
kairo,2_two
kai-tol,3_three
kai-vis,4_four
kai-lem,5_five
kai-on,6_six
kai-ᵐbit,7_seven
kai-wəl,8_eight
kai-seo,9_nine
haŋavul,10_ten
narvulɡero,11_twenty
narvulɡelem,12_fifty
fuⁿdolo,13_onehundred
teri,14_onethousand
hikau,15_year
matue-ᵑɡu,16_right
mawiri-ᵑɡu,17_left
nieu,18_i
kemai,19_weallexcl
kiⁿde-ru,20_webothincl
kema-ru,21_webothexcl
keⁿde,22_weallincl
nieᵑɡo,23_thou
kimi-ru,24_youboth
kimiu,25_youall
nʲe,26_heshe
ŋiere,27_theyall
ke-ro,28_theyboth
hati,29_nonot
havai,30_what
hʲen,31_who
lo,32_where
taro_hevi,33_when
mʷerilo,34_how
ɡiŋʲa,35_this
ɡivan,36_that
aul,37_above
fafek,38_below
lolon,39_ininside
ᵑɡʷatu-ᵑɡu,40_head
fulu-ᵑɡu,41_hair
mata-ᵑɡu,42_eye
ᵑɡʷaŋo-ᵑɡu,43_nose
ᵑɡʷero-ᵑɡu,44_ear
wuwaᵑɡu,45_mouth
mea-ᵑɡu,46_tongue
lifo-ᵑɡu,47_tooth
lime-ᵑɡu,48_hand
siᵑɡʷe-ᵑɡu,49_shoulder
mʷakoro-ᵑɡu,50_neck
kainhere-ᵑɡu,51_back
karʊ-ᵑɡu,52_leg
ⁿdai-ᵑɡu,53_blood
hui-ᵑɡu,54_bone
finu-ᵑɡu,55_skin
taᵑɡʷaŋi-ᵑɡu,56_belly
sinai-ᵑɡu,57_intestines
huhu-ᵑɡu,58_breast
ate-ᵑɡu,59_liver
kiriu,60_dog
mʷan,61_bird
ek,62_fish
teltel,63_snake
silot,64_worm
kut,65_louse
harip˺,66_rat
takak,67_spider
lalaᵑɡas,68_mosquito
tol,69_egg
kolon,70_tail
ᵐban_hen,71_wing
ful,72_feather
ŋʷera,73_man
favin,74_woman
maresu̥,75_child
henek˺,76_name
ratahi-ᵑɡu,77_mother
tama-ᵑɡu,78_father
tamainitu-ᵑɡu,79_husband
tuᵐbulavale-ᵑɡu,80_wife
rain,81_day
ᵐboŋ,82_night
fol,83_moon
fisiu,84_star
ⁿdoⁿdo,85_sky
wai,86_water
leᵐba,87_lake
tah,88_sea
aif,89_fire
kuᵑɡu,90_smoke
ᵑɡʷe,91_ash
ᵑgʷie,91_ash
fat,92_stone
tan,93_earthsoil
ᵑɡʷie,94_dust
on,95_sand
oh,96_rain
toᵑɡe,97_cloud
leŋ,98_wind
mantaw,99_thunder
fel,100_lightning
ᵐbikʰ,101_meatflesh
mʷas_hik,102_fruit
laᵐbut,103_woodsforest
kʷairek,104_root
raŋek,105_branch
rauki,106_leaf
kai,107_wood
ⁿduf,108_grass
fere,109_flower
taᵑɡor,110_thatchroof
fal,111_house
karo,112_rope
tureɡi,113_roadpath
maet˺,114_black
mavot,115_white
memeak,116_red
ɡʷaroᵑɡʷaroŋkek,117_green
aŋo,118_yellow
aŋokek,118_yellow
lakʷek,119_big
ᵐbitik,120_small
manɡenɡen,121_sharp
ᵑɡʷatoek,122_bluntdull
maima,123_shyashamed
mama,123_shyashamed
malek,124_old
kakaras,125_painfulsick
kariek,126_good
hasik,127_bad
hok,128_correcttrue
soᵑɡo,129_dirty
mʷaⁿda,130_rotten
mʷaf,131_heavy
fakhao,132_far
ɡaᵑɡaran,133_near
kaŋʷaⁿdiⁿdi,134_cold
kaŋʷa,134_cold
mamah,135_dry
ᵐbiᵐbil,136_wet
ᵑɡʷorok,137_new
tuek,138_other
ɡofanai,139_come
ⁿdeɡe,140_walk
laᵐbe,141_stand
toɡa,142_sit
soi,143_fall
eno,144_liedown
tundori,145_turn
ɡal,146_climb
karu,147_swim
ol,148_flyverb
tul,149_throw
hilik,150_hide
kani,151_eat
inu,152_drink
mamau,153_yawn
loⁿdo,154_spit
ᵐboᵐbore,155_dream
maturu,156_sleep
ŋʷas,157_live
mʷat̪,158_die
weh_faɡmat˺,159_kill
leo,160_see
roŋo,161_hear
ᵐbu-roŋo,162_sniffsmell
mana,163_laugh
ŋara,164_cry
uβi̥,165_blow
kara,166_burn
tur,167_sew
we,168_pound
wehe,169_hit
teb˺,170_cut
tawak˺,171_split
kel,172_dig
ruk,173_hunt
wiri,174_hold
mataku,175_fear
fal,176_count
nu_maᵐbu,177_breathe
lue,178_vomit
wes,179_tieup
lihoki̥,180_squeeze
fok,181_swell
fep,182_say
taᵑɡari,183_scratch
seri,184_stab
fol,185_buy
ᵐbʷal,186_steal
rip˺,187_plant
ᵐbueɡi,188_cook
fen,189_shoot
taᵐban,190_work
ro,191_open
