Avavatisvel,English Translation
-sapm,1_one
i-ru,2_two
i-tl,3_three
i-vat,4_four
i-lim,5_five
-sot,6_six
-soɾu,7_seven
-sɛdl,8_eight
-savat,9_nine
-laŋal,10_ten
ŋaliru_ⁿdʳuman_irui,11_twenty
ŋalilim_ⁿdʳuman_i-lim,12_fifty
ŋat_sapm,13_onehundred
ŋat_sapm_ilaŋal,14_onethousand
aⁿdam,15_year
ᵐbaɾin,16_right
mʷir,17_left
nai,18_i
gopm,19_weallexcl
ᵑgiti-ⁿdʳui,20_webothincl
ᵑɡop_ⁿdʳu_me,21_webothexcl
ᵑgit,22_weallincl
oŋ,23_thou
ᵑɡam_iru,24_youboth
ᵑɡam_me,25_youall
ei,26_heshe
ier,27_theyall
ier-ⁿdʳui,28_theyboth
ᵐbʷitik,29_nonot
sivɛt,30_what
asi,31_who
ᵐbaŋ,32_where
matanal,33_when
ᵐba-tamak,34_how
hɛtɛna,35_this
hɛteh,36_that
-ⁿdʳakai,37_above
san-lapan,38_below
san-ᵐʙut,39_ininside
ᵐbat-n,40_head
sivlɛ-n,41_hair
mata-n,42_eye
xonos-n,43_nose
ⁿdɪliŋa-n,44_ear
ᵐboŋo-n,45_mouth
lɛmɛ-n,46_tongue
ᵐborox,47_tooth
faɾa-n,48_hand
ᵐbatn_faɾa-n,49_shoulder
ᵐbalawan,50_neck
ⁿdʳu-n,51_back
ᵐboloko-n,52_leg
ɛⁿdʳe,53_blood
ᵐboloŋ,54_bone
ipnu-,55_skin
fat-n,56_belly
ᵐʙurtan,57_intestines
ha-six,58_breast
maᵐbin,59_liver
ᵑgaᵐbʷir,60_dog
a-man,61_bird
iki,62_fish
a-mat,63_snake
oⁿdala,64_worm
a-ot,65_louse
ᵐbʷisiᵐbok,66_rat
lala,67_spider
a-nam,68_mosquito
ovoto,69_egg
ᵐʙus-n,70_tail
ᵐbʷia-n,71_wing
loᵐbo-n,72_feather
mut,73_man
momoq,74_woman
atⁿda,75_child
isa-n,76_name
ᵑgalu-m,77_mother
mʷom,78_father
hiˀ-tana,79_husband
momo-tana,80_wife
autɪɾian,81_day
lupat,82_night
aᵐbasi,83_moon
fʷinmʷɔze,84_star
alam,85_sky
o-we,86_water
vulⁿdok,87_lake
tusue,88_sea
amp,89_fire
tɛltɛl,90_smoke
fʷilaun,91_ash
a-vat,92_stone
a-tan,93_earthsoil
ᵐbisnap,94_dust
fʷinsila,95_sand
auh,96_rain
alaŋ,97_cloud
malah,98_wind
oror,99_thunder
alaŋat,100_lightning
misal,101_meatflesh
fanan,102_fruit
itoɾɔ,103_woodsforest
ᵑgɛruwɛ-n,104_root
ᵐʙut-n,105_branch
a-run,106_leaf
a-ᵑgah,107_wood
soŋosoŋ,108_grass
tahanan,109_flower
iat,110_thatchroof
him,111_house
atal,112_rope
a-sal,113_roadpath
i-mɛt,114_black
i-op,115_white
i-mial,116_red
i-mɛlmɛlih,117_green
i-lilit,118_yellow
i-lɛvɛlɛp,119_big
i-lele,120_small
-maŋal,121_sharp
ɪ-ᵐbuk,122_bluntdull
i-ᵐbor,123_shyashamed
i-tian,124_old
-fʷini,125_painfulsick
i-riwik,126_good
i-se,127_bad
i-rivimakanme,128_correcttrue
o-sokol,129_dirty
i-momo,130_rotten
i-map,131_heavy
-saman,132_far
-lile,133_near
-malah,134_cold
-masama,135_dry
i-miⁿda,136_wet
telenan,138_other
ke-wɛl,139_come
-solsol,140_walk
-tur,141_stand
-sum,142_sit
i-wam,143_fall
-matur_ⁿda,144_liedown
kɪ-ⁿdʳioŋ,145_turn
ka-sak,146_climb
ku-lumlum,147_swim
i-al,148_flyverb
-pʷɛli,149_throw
ku-lugun,150_hide
kan-ian,151_eat
i-mɪn,152_drink
i-ⁿduɛl,153_yawn
-mɪlɛᵐʙu,154_spit
-laᵐbaɾi,155_dream
-matur,156_sleep
maur-ian,157_live
i-mat,158_die
i-rit-i-ᵐbun,159_kill
i-laᵐbit,160_see
i-roᵐbit,161_hear
aᵐbun,162_sniffsmell
-wan,163_laugh
-xul,164_cry
-uβup,165_blow
-ⁿdum,166_burn
i-tur,167_sew
i-ririt,168_pound
ɛ-rit,169_hit
-tɛr,170_cut
-tɛɾuel,171_split
-il,172_dig
i-repⁿdata,173_hunt
i-voro_tata,174_hold
-matak,175_fear
ko-ⁿdowon,176_count
-ŋavaŋap,177_breathe
-iok,178_vomit
-pi_hɪⁿdata,179_tieup
i-ᴘuh,180_squeeze
i-ᵐʙun,181_swell
-tir,182_say
-iorior,183_scratch
-tur,184_stab
i-lɛh,185_buy
-pinok,186_steal
i-lap,187_plant
-tntn,188_cook
i-lu,189_shoot
-pɛr,190_work
-savan,191_open
