Sivitinjavtanmililib2,English Translation
-soɣal,1_one
i-ru,2_two
i-dil,3_three
i-vat,4_four
i-lim,5_five
-ɣon,6_six
-ɣɛᵐbʉt,7_seven
-xoɛl,8_eight
-ɣɛsiɸ,9_nine
-sɪŋavʉl,10_ten
movil-ɾu,11_twenty
mov_i-lim,12_fifty
mov_sɪŋavʉl,13_onehundred
vɪn_vasiŋavʉl_vasɪɣal,14_onethousand
ᵑgaka,15_year
matu,16_right
mʷɪrin,17_left
ne,18_i
kɪmam,19_weallexcl
nɛgir_iru,20_webothincl
kɪnambo_iru,21_webothexcl
nɛgir,22_weallincl
nox,23_thou
kɛmibo_iru,24_youboth
kemi,25_youall
xain,26_heshe
xair,27_theyall
xair_bo_iru,28_theyboth
ⁿʒaɸ,30_what
sena,31_who
ambe,32_where
sɪveliŋ,33_when
-pɪlaxnʒaɸ,34_how
anaɣi,35_this
hainoɣan,36_that
-limsax,37_above
-mɛlvɛn,38_below
-lalon,39_ininside
ᵐbati-n,40_head
vɪlʊ-n,41_hair
mɛta-n,42_eye
ᵑguʒu-n,43_nose
moro-n,44_ear
ⁿzoŋo-n,45_mouth
mimɛ-n,46_tongue
lowo-n,47_tooth
wara-n,48_hand
ᵐbʷilin,49_shoulder
ⁿzalɣa-n,50_neck
ⁿdawu-n,51_back
mʷalɛ-n,52_leg
na-re,53_blood
ⁿʒi-n,54_bone
vɪvɪlʊ-n,55_skin
lawa-n,56_belly
danoran,57_intestines
na-sus,58_breast
na-re-na-n,59_liver
no-wuli,60_dog
mænuɸ,61_bird
nɪ-mæt͡ʃ,62_fish
nɪ-mat,63_snake
wulɪt͡slɪt͡s,64_worm
na-ɣut,65_louse
na-xariv,66_rat
ne-la,67_spider
na-muɸ,68_mosquito
rulu-n,69_egg
wɪlɣao-n,70_tail
na-ɣpa-n,71_wing
vɛlo-n,72_feather
nɪ-mɪɾmɪɾ,73_man
nɛ-vɪnar,74_woman
lelet͡sɪpiləx,75_child
nɛ-ŋsa-n,76_name
mɛra-n,77_mother
tate,78_father
lilɛχ-sa-n,79_husband
nɛ-vɪnar-sa-n,80_wife
laran,81_day
lapun,82_night
na-vʉɬ,83_moon
wuwor,84_star
ramʉt,85_sky
nu-a,86_water
malɛn,87_lake
tas,88_sea
na-ɣamp,89_fire
es,90_smoke
ᵐbʷɪtnaɣaɸ,91_ash
nɪ-vat,92_stone
ⁿdan,93_earthsoil
na-on,95_sand
na-us,96_rain
ᵐbaklanə,97_cloud
laŋ,98_wind
ᵐbʷɛtokur,99_thunder
nɛ-vɪlax,100_lightning
mɛzovin,101_meatflesh
woan-a,102_fruit
lamʉš,103_woodsforest
lapʷɛ-n,104_root
nɪ-rao-na,105_branch
a-roɣʊ-n,106_leaf
