Batarxopubenut,English Translation
-saɣal,1_one
i-ru,2_two
i-til,3_three
i-vat,4_four
i-lim,5_five
-ɣon,6_six
-ɣɛᵐbit,7_seven
i-ɣoɛl,8_eight
i-ɣesiv,9_nine
-sɪŋavil,10_ten
movil_i-ru,11_twenty
mov_i-lim,12_fifty
ɪŋo_siŋavil,13_onehundred
ᵑgaka,15_year
matu,16_right
miɾ,17_left
nu͂,18_i
kenam,19_weallexcl
kenam_iru,21_webothexcl
nekir,22_weallincl
nox,23_thou
kemi_iru,24_youboth
kemi,25_youall
xain,26_heshe
xair,27_theyall
xair_iru,28_theyboth
i-səɣe,29_nonot
ⁿʒaɣa,30_what
sinɛ,31_who
ambe,32_where
i-plakɛnzɛɣa,34_how
limsax,37_above
mɛlvɛna,38_below
-lalɛn,39_ininside
ᵐbatu-k,40_head
roxɛ-n_ᵐbatu-k,41_hair
nɪ-mata-k,42_eye
ᵑgusu-k,43_nose
ᵐboro-k,44_ear
ⁿʒoŋo-k,45_mouth
mimɛ-k,46_tongue
luwo-k,47_tooth
wəra-k,48_hand
ⁿʒalha-k,50_neck
ⁿdaɣo-,51_back
malɛ-k,52_leg
ⁿʒi-k,54_bone
vɪlɛ-na,55_skin
laxwa-k,56_belly
ⁿʒɪnɛ-k,57_intestines
na-ra-na-k,59_liver
nu-ɣoli,60_dog
mænɔx,61_bird
nə-maʧ,62_fish
nə-mʷat,63_snake
ⁿdoto,64_worm
na-ɣit,65_louse
na-xariv,66_rat
ne-la,67_spider
na-mux,68_mosquito
rulu-n,69_egg
walɣe-na,70_tail
na-ɣpe-n,71_wing
vɪlɛ-n,72_feather
mɛrmɛɾ,73_man
ni-vɛnar,74_woman
mama,77_mother
tate,78_father
lilɛɣ_so-k,79_husband
ni-vɛnar_sok,80_wife
laran,81_day
lapun,82_night
na-vil,83_moon
wuwuwaɾ,84_star
ᵐbakⁿdʳan,85_sky
nu-ã,86_water
ⁿdas,88_sea
na-ɣamb,89_fire
jis,90_smoke
ᵐbitnaɣaɸ,91_ash
nɪ-vat,92_stone
ⁿdan,93_earthsoil
ᵐbetnaɣav,94_dust
na-un,95_sand
na-us,96_rain
laŋ,98_wind
ᵐbɛtekuɾ,99_thunder
nɛ-vɪlax,100_lightning
mɛsɣov,101_meatflesh
woŋana,102_fruit
lamisɣun,103_woodsforest
lapɛna,104_root
raŋ_naɣa,105_branch
roxon_naɣa,106_leaf
na-ɣa,107_wood
na-mis,108_grass
ni-at,110_thatchroof
na-im,111_house
marit,112_rope
ⁿʒal,113_roadpath
i-loŋ,114_black
i-wus,115_white
i-mial,116_red
i-məɣɛl,118_yellow
