Ctletawetnaviso,English Translation
tuwale,1_one
rua,2_two
tol,3_three
ɸat,4_four
teβelma,5_five
laituwale,6_six
laβrua,7_seven
laβtol,8_eight
liβat,9_nine
saŋaβul,10_ten
saŋaβul_rua,11_twenty
saŋaβul_teβelma,12_fifty
mʷelⁿdol,13_onehundred
tar,14_onethousand
suɣaʊ,15_year
matoak̚,16_right
xaloak̚,17_left
nau,18_i
kami,19_weallexcl
xiⁿdaruah,20_webothincl
kamiruah,21_webothexcl
xiⁿda,22_weallincl
niko,23_thou
kamruah,24_youboth
kam,25_youall
xia,26_heshe
xira,27_theyall
xəraβua,28_theyboth
tei,29_nonot
asa,30_what
ise,31_who
ᵐbɛ:,32_where
saβa_taro,33_when
ɸʷarsax,34_how
ⁿdoa,35_this
ⁿdoβano,36_that
mʷakex,37_above
laβaβax,38_below
lolox,39_ininside
ᵐbʷatuk̚,40_head
uluk̚,41_hair
matak̚,42_eye
lisuk̚,43_nose
ᵐbʷorok̚,44_ear
ɸʷaβʷak̚,45_mouth
luamek̚,46_tongue
luβʷok̚,47_tooth
lɪmak̚,48_hand
tuᵐbʷak̚,49_shoulder
hawak̚,50_neck
taɣuk̚,51_back
karuk̚,52_leg
ⁿdiːk̚,53_blood
suruk̚,54_bone
ɸinuk̚,55_skin
hetek̚,56_belly
tinaɪk̚,57_intestines
susuk̚,58_breast
ɸarak̚,59_liver
hiriu,60_dog
maslaraŋɣai,61_bird
mas,62_fish
mʷa:ta,63_snake
los,64_worm
mʷaⁿdi,65_louse
xariβ,66_rat
ta:ɣaɣa,67_spider
nam,68_mosquito
tol,69_egg
xolox,70_tail
ᵐbanix,71_wing
ulu,72_feather
mʷereata,73_man
ɸaβine,74_woman
mʷera_rik,75_child
sasax,76_name
ᵐbʷau,77_mother
tata,78_father
tuᵐbuk̚,79_husband
reinatuk̚,80_wife
ran,81_day
ᵐbʷoŋ,82_night
ɸula,83_moon
ɸitiu,84_star
maβin,85_sky
wi,86_water
ᵐbulo,87_lake
tas,88_sea
eaβ,89_fire
eas,90_smoke
taniaβ,91_ash
ɸat̚,92_stone
ta:no,93_earthsoil
taniaβ,94_dust
one,95_sand
usa,96_rain
taelaŋ,97_cloud
laŋ,98_wind
manβara,99_thunder
ɸəla,100_lightning
ɸasxox,101_meatflesh
ɸʷiax,102_fruit
utaβʷono,103_woodsforest
xoar,104_root
raŋax,105_branch
ⁿduɣai,106_leaf
xai,107_wood
ᵐbalis,108_grass
ɸraso,109_flower
ⁿdu_takra,110_thatchroof
imʷa,111_house
xaʊ,112_rope
sala,113_roadpath
maɛto,114_black
oβʷo:βo,115_white
memea,116_red
ᵐbʷaroɣa,117_green
õŋã,118_yellow
mʷaŋas,119_big
rikrik̚,120_small
mamataan,121_sharp
ᵐbʷatola,122_bluntdull
maama:n,123_shyashamed
munxa,124_old
wawale,125_painfulsick
xarea,126_good
sa:t̚,127_bad
tarsa,128_correcttrue
saŋora,129_dirty
ⁿdaru,130_rotten
ⁿdem,131_heavy
ɸirtax,133_near
xamʷaⁿdi,134_cold
raraka,135_dry
samʷale,136_wet
xaraᵐbʷe,137_new
tuara,138_other
ɸanma,139_come
xaʊ,140_walk
tul,141_stand
mʷam,142_sit
soɛ,143_fall
weno,144_liedown
saleris,145_turn
kalo,146_climb
xaxaru,147_swim
xaβa,148_flyverb
ᵐbʷalex,149_throw
silβax,150_hide
xa:n,151_eat
min,152_drink
mʷamaoβa,153_yawn
ɸura,154_spit
maturu_ᵐbʷoruᵐbʷore,155_dream
matur,156_sleep
mʷaso,157_live
mate,158_die
wasɸa:_mate,159_kill
wete,160_see
roŋo,161_hear
ᵐbunax,162_sniffsmell
mana,163_laugh
ŋara,164_cry
uβ,165_blow
nos,166_burn
tuɣur,167_sew
waswas,168_pound
was,169_hit
teβe,170_cut
ⁿdara,171_split
xil,172_dig
kalo,173_hunt
tor,174_hold
matax,175_fear
ɸal,176_count
mʷambusix,177_breathe
lulua,178_vomit
liɣo,179_tieup
ɸiris,180_squeeze
riɣa,181_swell
ɸeβe,182_say
takar,183_scratch
susux,184_stab
ɸol,185_buy
ᵐbal,186_steal
riβ,187_plant
tun,188_cook
ɸene,189_shoot
roᵐba,190_work
roa,191_open
