Form,Concept
navul mutuɾmuɾan,290_full_moon
navil əvilax,303_half_moon
navil memelum,364_new_moon
van memes,411_rainy_season
tas məlep,243_deep_ocean
namʷi,252_earthquake
liŋɾvic,232_cyclone
nijal runen nʊs,325_sun_shower
laŋ iseɾ,446_storm
liuʷliu,410_rainbow
mbeɾeŋ,225_cave
nijal,450_sun
nimbek,208_banyan_tree
nani,229_coconut
nawop,337_coconut_sprout_meat
mbeɾen,230_coconut_sprout
pɪjok tapa,485_taro_wet
nambʷet,249_taro_dry
ⁿdram,496_yam
navic,207_banana
melŋen nambʷet,453_taro_terrace
nʊt ⁿdram,497_yam_garden
bataɸ,216_breadfruit
lapene,224_casava
lolorol,316_sweet_potato
naviʲecac,492_taro_wild
nambuc,493_yam_wild
puʷa,401_pig_male
pʷeɾpʷeɾ,398_pig_female
nerner puʷa,399_pig_hermaphrodite
naul,421_sea_worm
nait,371_octopus
nalul,389_owl
kəɾa,287_flying_fox
məɾa,254_eel
bæɪ,425_shark
nonoŋamcac,213_magic
mʷeɾep ci ɾomɪʲan,247_traditional_dreamer
mʷelesinsel,405_man_who_makes_poison
cənabamtu nanamcac,329_magic_for_love
roa,317_traditional_medicine
cinumen roa,318_traditional_doctor_male
lexter ne roa,192_traditional_doctor_female
tɪte tamat,395_peace_ceremony
nasup aməlep,227_chief
ɾep ci maki,462_chief_ceremony
ɾatə namboŋ,400_pig_killing_ceremony
saŋavil,226_ceremony_of_the_first_harvest
səsəmot,372_offerings_to_ancestors
læn,487_wedding
pəwɪlep fisefin,217_bride_price
kom kelkel,428_sister_exchange
mʷeɾinem,324_woman_who_married_brother_of_dead_husband
nasup amilep,406_polygamy
mumum,442_spirit_human
mumu namcac,242_spirit
nəvenu cac,194_afterlife
məkliʲa ve maɾe,475_direction_inland
məkliʲa ve ⁿtas ,476_direction_sea
tola,370_north
naɾəsif,438_south
nambʊʷe,253_east
naɾu,488_west
woɸiloɾe,422_secret
sexoncəbaɾi səxonlɪs nevenu cac,414_restriction_taboo
motonɪ,409_prepare_taboo
nɛuɾe,304_heart
pitom,211_belly_button
ⁿdeŋ se depis,403_placenta
nalel,200_armband
cəcə mboɾom,360_piercing_nose
cəcə ŋkunsun,250_ear_piercing
nambʷes,357_penis_sheath
niveven,334_mask
masiŋ,320_leaves_for_dance
səveʲuŋ,320_leaves_for_dance
nɪʲat,322_leaves_for_house
latap,332_gathering_house_for_men
nak,223_canoe
nak namban,418_sailing_canoe
pao,312_initiation_male
cɪʲen,408_pregnant
saŋ rəmen saxal,257_eleven
saŋ rəmen iɾu,477_twelve
saŋ rəmen ətul,459_thirteen
saŋ rəmen əvac,288_fourteen
saŋ rəmen əlim,284_fifteen
saŋ rəmen əwon,430_sixteen
saŋ rəmen əmbʊt,423_seventeen
saŋ rəmen oal,255_eighteen
ŋofletol,460_thirty
ŋoflevac,289_forty
ŋoflewon,431_sixty
ŋoflembʊt,424_seventy
ŋofloal,256_eighty
ŋofləsif,368_ninety
toɾwa,251_earth_oven
mʷelɾiŋ,445_oven_stones
ɾoa,321_leaves_for_covering_oven
nepceɾ,474_wood_for_moving_stones
neseɾteŋ,474_wood_for_moving_stones
te ŋamilep,262_uncle_paternal_older
pupu sak nasup,268_grandfather_paternal
te sakawelwele,280_uncle_paternal_younger
pupu leter,269_grandmother_paternal
pesak aməlep,273_aunt_paternal_older
te sak,78_father
pesaka welwele,281_aunt_paternal_younger
pupu sak nasup,268_grandfather_paternal
metuʷak ŋaməlep,346_uncle_maternal_older
pesak,77_mother
metʷaka welwele,354_uncle_maternal_younger
pəpu sak leter,299_grandmother_maternal
pe ŋamilep,347_aunt_maternal_older
pe ŋa welwele,355_aunt_maternal_younger
natumam,264_first_cousin_male_paternal_uncle
natumam fsefin,263_first_cousin_female_paternal_uncle
aləʷak,277_first_cousin_male_paternal_aunt
aləʷak fsefin,275_first_cousin_female_paternal_aunt
nambʊk,343_first_cousin_male_maternal_uncle
nambʊk fsefin,344_first_cousin_female_maternal_uncle
natuk,435_son
natuk fsefin,234_daughter
belak,260_father_in_law
namduk ,300_grandson_son
namduk fsefin,296_granddaughter_son
natuk,435_son
fsen sak,80_wife
natuk fisefin,234_daughter
nambuk,238_grandson_daughter
teuʷen,237_son_in_law
belak,237_son_in_law
natu tutusak,376_nephew_fraternal_older
natu tasik,501_nephew_fraternal_younger
natumam fisefin,375_niece_fraternal_older
natu fsefin afeta,500_niece_fraternal_younger
oloʷak,385_nephew_sororal_older
oloʷak fisefin,384_niece_sororal_older
oloʷak,506_nephew_sororal_younger
oloʷak fisefin,506_nephew_sororal_younger
tutu sak,373_brother_older
tasik awelwele,499_younger_brother
tesak,259_uncle_paternal
pesak,274_aunt_paternal
oloʷak,277_first_cousin_male_paternal_aunt
metəʷak,342_uncle_maternal
