Namakura (Sangava),English Translation
nælimanijo,48_hand
namo,17_left
namathi,16_right
na:toren,52_leg
ndalitaliu,140_walk
næhelemati,113_roadpath
korah,139_come
kovil,145_turn
loloh,147_swim
mæeth,129_dirty
natororom,94_dust
nækilin,55_skin
navoto,51_back
natina,444_stomach
nasɪu,54_bone
nætina,57_intestines
nanekam,59_liver
namumu,58_breast
nambæræon,49_shoulder
namindondoejan,458_to_think
namatakejan,175_fear
nanda,53_blood
nambwain,40_head
nanoan,50_neck
nævilin,41_hair
nakinəhin,43_nose
ŋgonalaŋ,177_breathe
ndoŋi,162_sniffsmell
koroŋon,45_mouth
nambatin,47_tooth
namenam,46_tongue
ijur,163_laugh
ejar,164_cry
ilu,178_vomit
mbuhura,154_spit
ŋginikan,151_eat
mama,464_to_chew
mbæɸanin,188_cook
munum,152_drink
iŋgat,212_to_bite
indom,448_suck
tiliŋan,44_ear
indoŋ,161_hear
namatan,42_eye
loʔo,469_to_see
mͻmͻ,153_yawn
matir,156_sleep
mbwele,144_liedown
mætirembor,155_dream
ærah,429_sit_down
næʔat,306_person
natamwaʔan,73_man
nafafin,74_woman
natete,75_child
kemæʔarik,79_husband
kevitærik,80_wife
keanu,77_mother
kɪjɪpͻp,78_father
næim,111_house
naki,76_name
natal,112_rope
kolikot,179_tieup
kotir,167_sew
ŋgolikol,173_hunt
kotim,189_shoot
kohiri,184_stab
mbiha,169_hit
mbanak,186_steal
mbijahmbini,159_kill
imat,158_die
ŋgeræh,183_scratch
indaʔ,170_cut
naka,107_wood
ndambaʔar,171_split
mbækal,121_sharp
imbum,122_bluntdull
mbosiwos,190_work
matandowa,465_to_choose
mbætof,302_to_grow
ndotom,181_swell
mbilok,180_squeeze
mbowos,180_squeeze
ko:la,174_hold
koŋgil,172_dig
mbeʔin,185_buy
leŋat,191_open
latum,143_fall
nakiri,60_dog
naman,61_bird
naʔatol,69_egg
navilin,72_feather
ijol,148_flyverb
nakahu,66_rat
navɪhɪk,336_meat
namut,258_fat
nakin,70_tail
namwat,63_snake
næhilat,74_woman
nakith,65_louse
nanam,68_mosquito
nakalum,67_spider
naik,62_fish
mandan,130_rotten
nawæhin,105_branch
narikith,106_leaf
nakihika,104_root
naviŋan,109_flower
naweʔetin,102_fruit
nakokoh,108_grass
natan,93_earthsoil
nafath,92_stone
naʔon,95_sand
naran,87_lake
nariŋihal,286_flow
nata,88_sea
nata,419_salt
namitiʔan,103_woodsforest
namaliŋ,97_cloud
narikitilaŋ,85_sky
nækimbati,83_moon
namau,340_fog
natowam,340_fog
namahe,84_star
naʔih,96_rain
natava,99_thunder
navil,100_lightning
nalaŋ,98_wind
wahu,165_blow
ndorotor,483_hot
milandin,134_cold
ŋaraŋar,135_dry
lolof,136_wet
marah,131_heavy
nakam,89_fire
benin,166_burn
naʔah,90_smoke
tororom,91_ash
maʔet,114_black
bilavil,115_white
lulu,116_red
mwilol,118_yellow
mælæke,117_green
sʊsʊm,120_small
ndakalam,119_big
ɪmbut,426_short
mbireref,328_long
mæniwini,457_thin
matol,456_thick
mæhal,359_narrow
mbolombolo,489_wide
mahak,392_sick
malijr,123_shyashamed
naʔomati,124_old
mboʔo,137_new
amboh,126_good
æhaʔ,127_bad
loʔowo,128_correcttrue
emboŋ,82_night
namboŋɪjan,82_night
nalɪjati,81_day
næhiko,15_year
humak,150_hide
mboloʔ,146_climb
likijɪm,39_ininside
namel,480_under
indo,35_this
oke,36_that
eso,132_far
ombe,32_where
keinoʔ,18_i
kaiŋ,23_thou
kenini,26_heshe
keiŋgitemaŋ,22_weallincl
kami,24_youboth
keiŋgem,19_weallexcl
kenijar,27_theyall
naheve,30_what
ake,31_who
takaka,138_other
ne,199_and
laŋor,311_if
ŋgaimbeja,34_how
e:e,29_nonot
ŋgʌwilik,176_count
sikitek,1_one
iru,2_two
itol,3_three
ivat,4_four
ilim,5_five
late,6_six
laru,7_seven
latol,8_eight
lovet,9_nine
nduwalim,10_ten
nduwalim sikitek ̚,257_eleven
nduwalim iru,477_twelve
nduwalim itol,459_thirteen
nduwalim ivat,288_fourteen
nduwalim ilim,284_fifteen
nduwalim late,430_sixteen
nduwalim laru,423_seventeen
nduwalim latol,255_eighteen
nduwalim lofet,367_nineteen
nduwalim iru,11_twenty
taŋgor iru,460_thirty
taŋgor itol,289_forty
taŋgor ivat,12_fifty
taŋgor ilim,431_sixty
taŋgor ilate,424_seventy
taŋgor laru,256_eighty
taŋgor lovet,368_ninety
ponoti sikitek ̚ ,13_onehundred
naman sikitek ̚,14_onethousand
kjɪphuphu,298_grandfather_maternal
kjɪta:t,299_grandmother_maternal
kjɪti:,268_grandfather_paternal
kjɪtu:,269_grandmother_paternal
lolo alam,346_uncle_maternal_older
lolo susum,354_uncle_maternal_younger
anu walam,347_aunt_maternal_older
anususum,355_aunt_maternal_younger
pop ̚ alam,262_uncle_paternal_older
pop ̚ susum,280_uncle_paternal_younger
mim alam,273_aunt_paternal_older
mim susum,281_aunt_paternal_younger
kenathin lolonathaman,343_first_cousin_male_maternal_uncle
kevaiŋ,344_first_cousin_female_maternal_uncle
kelolo,351_first_cousin_male_maternal_aunt
kesuwaŋ,350_first_cousin_female_maternal_aunt
kesuwaŋ takalam,381_sister_older
kesuwaŋ tasusum,498_younger_sister
keŋgoreŋ ,374_brother
keŋgoreŋ tasusum,499_younger_brother
keŋgoreŋ takalam,373_brother_older
kesuwaŋ takalam,381_sister_older
kesuwaŋ takalam,350_first_cousin_female_maternal_aunt
kesuwaŋ tasusum,498_younger_sister
kesuwaŋ tasusum,350_first_cousin_female_maternal_aunt
keŋgoreŋ,351_first_cousin_male_maternal_aunt
kevæiŋ,275_first_cousin_female_paternal_aunt
kehoaŋ,277_first_cousin_male_paternal_aunt
kehoaŋ,343_first_cousin_male_maternal_uncle
kesuwaŋ,263_first_cousin_female_paternal_uncle
keŋgoreŋ,264_first_cousin_male_paternal_uncle
kemaʔarik aŋino,79_husband
kevitarik aŋino,80_wife
kemim aŋino,310_mother_in_law_of_woman
kelolo aŋino,261_father_in_law_of_woman
kemim aŋino,341_mother_in_law
kenatin nafæfin,234_daughter
kenatin natamaʔan,435_son
kenatin natamaʔan,385_nephew_sororal_older
kenatin natamaʔan,506_nephew_sororal_younger
kematailo,237_son_in_law
keviŋonijo,235_daughter_in_law
ketahiŋ nataman,300_grandson_son
ketahiŋ nafæfin,296_granddaughter_son
ketahiŋ natamaʔan,238_grandson_daughter
kenaitn suwaŋ takalam natamaʔan,385_nephew_sororal_older
kenaitn suwaŋ takalam natamaʔan,506_nephew_sororal_younger
kenaitn suwaŋ takalam natamaʔan,363_nephew_sororal
keviŋo ŋjemaŋ,375_niece_fraternal_older
kenatiŋ emaŋ,376_nephew_fraternal_older
naʔomati tuwa,198_ancestor
