Tiraxbakru,English Translation
-haɣal,1_one
i-ru,2_two
i-til,3_three
i-vat,4_four
i-lin,5_five
i-ɣoɛn,6_six
i-ɣɛⁿdit,7_seven
i-ɣowɛl,8_eight
i-ɣesiɸ,9_nine
-hiŋavil,10_ten
i-ŋovil_i-ru,11_twenty
i-ŋo_sɪŋavil,13_onehundred
kaka_haɣal,15_year
matu,16_right
maiɾe,17_left
xono,18_i
knɛn,19_weallexcl
nekir_ⁿderu,20_webothincl
knɛn_iru,21_webothexcl
nekir,22_weallincl
nox,23_thou
kɛni,25_youall
xain,26_heshe
xair,27_theyall
haɣa,30_what
hena,31_who
xande,32_where
hɛvɛliŋ,33_when
-hɪⁿdlaxa,34_how
xori,35_this
huwe,36_that
-linha,37_above
-nɛlvɛn,38_below
-lalɛn,39_ininside
ᵐbati-k,40_head
fəlɛ-n_ᵐbati-k,41_hair
məta-k,42_eye
kuhu-k,43_nose
ⁿdʳɪlɪŋa-ŋ,44_ear
soŋo-ŋk,45_mouth
nɛ-nɛ-ŋk,46_tongue
lɪvo-k,47_tooth
fəra-k,48_hand
ᵐbeti-ⁿdʳalɛ-k,50_neck
taho-k,51_back
malɛ-k,52_leg
na-ⁿdʳe,53_blood
su-k,54_bone
flɛ-n_ɪtʰɪm,55_skin
tᵐbaɣi-k,56_belly
nɛ-rtɛx_sɪnɪ-ŋk,57_intestines
na-sus,58_breast
liⁿdax,60_dog
na-nix,61_bird
nas,62_fish
nə-mat,63_snake
vɪlɛslɛs,64_worm
na-ɣut,65_louse
na-xarip,66_rat
ne-la,67_spider
na-mux,68_mosquito
ⁿdʳuli-na,69_egg
balɣa-na,70_tail
naɣaⁿde,71_wing
fəle-na,72_feather
nɛrnɛr,73_man
vinaⁿdʳ,74_woman
tɛᵐbiʰ,75_child
nunu_hʊ-k,77_mother
tata_hʊ-k,78_father
leh_hʊ-k,79_husband
vinaⁿdʳ_hʊ-k,80_wife
laran,81_day
laᵐbuŋ,82_night
na-vʉɬ,83_moon
fivor,84_star
ⁿdakran,85_sky
nu-ã,86_water
na-lɛnd,87_lake
ⁿtah,88_sea
ies,90_smoke
ᵐbɪtɪɸ,91_ash
nə-vat,92_stone
ⁿtan,93_earthsoil
bɛtɪɸ,94_dust
na-wɛn,95_sand
na-uh,96_rain
n-laŋ,98_wind
ᵐbetᵐbetekuɾ,99_thunder
vlax,100_lightning
nɛ-vʊna,102_fruit
nɛ-nihtəra,103_woodsforest
lɪᵐba-na,104_root
ⁿdʳaŋ_na-xa,105_branch
roɣa,106_leaf
na-ɣa,107_wood
na-nix,108_grass
ni-at,110_thatchroof
na-in,111_house
na-rit,112_rope
na-hal,113_roadpath
i-vus,115_white
i-nial,116_red
i-ɣasan,117_green
i-məɣɛl,118_yellow
i-lalaⁿd,119_big
i-ᵐbiʰ,120_small
i-mʷon,121_sharp
i-ᵐbatot,122_bluntdull
i-trtəra,124_old
i-ros,125_painfulsick
i-nam,126_good
i-hat,127_bad
i-vratin,128_correcttrue
i-lalo,129_dirty
i-ⁿdʳoɸ,131_heavy
awe,132_far
-xeriɸ,133_near
-nalɣa,134_cold
i-waiɾ,136_wet
i-mɪlakɛl,137_new
-mɛ,139_come
-vial,140_walk
ni-tur,141_stand
ni-at,142_sit
i-soɸ,143_fall
-luⁿdʳori,145_turn
i-ɣaɣaⁿd,148_flyverb
-sɛrɛɣe,149_throw
-tohoɣi,150_hide
nu-wɛⁿdʳ,151_eat
-nin,152_drink
-məmaɸ,153_yawn
nɛ-tⁿti,154_spit
-netur_ᵐborobor,155_dream
-netur,156_sleep
i-nɛʰ,158_die
nu-ruᵐbi-nɛʰ,159_kill
nə-lehi,160_see
no-roŋoi,161_hear
-vtin,162_sniffsmell
-fogaur,163_laugh
nɪ-ŋar,164_cry
i-ɣan,166_burn
nu-ruᵐbruᵐbi,168_pound
nu-ruᵐbi,169_hit
n-tɛsi,170_cut
-mtaɣit,175_fear
sɪᵐbegi,176_count
nɪ-vɪn-laŋ,177_breathe
-lu,178_vomit
nɪ-miʃi,179_tieup
i-hol,181_swell
nɛ-vɛri,182_say
n-koskosizi,183_scratch
nɪ-vorli,185_buy
nɪ-vənaɣe,186_steal
-lap,187_plant
-titin,188_cook
ta-vini,189_shoot
-ⁿdah,190_work
nu-wale,191_open
navul_ilaⁿdlaⁿd,290_full_moon
navil_imbi,303_half_moon
navul_ivut,364_new_moon
navanu_inina,248_dry_season
navanu_inilik,411_rainy_season
lafxanta,243_deep_ocean
nami_imi,252_earthquake
laŋ_ɾumb_ɾumb,232_cyclone
nəmahiviʲal,325_sun_shower
laŋihiɾ,446_storm
mbəlon_navat,225_cave
niʲal_isin,450_sun
ⁿdak,208_banyan_tree
naut,291_garden
nani,229_coconut
nambomb,337_coconut_sprout_meat
teⁿd_nambomb,230_coconut_sprout
mbuʷak,485_taro_wet
mbet,249_taro_dry
kaka,496_yam
navis,207_banana
meɾev_mbet,453_taro_terrace
naut_nakaka,497_yam_garden
mbətaf,216_breadfruit
ⁿdat,224_casava
navirelrel,492_taro_wild
nambus,493_yam_wild
mboxo,401_pig_male
veɾeⁿd,398_pig_female
nau,421_sea_worm
nalul,389_owl
kəɾa,287_flying_fox
nemɾe,254_eel
ⁿdaxe,425_shark
iɾumb_ɾomɾoman,467_deaden_ones_thoughts
maɾte_lele,247_traditional_dreamer
maɾteɾoŋon_ronte_atat,405_man_who_makes_poison
nan,329_magic_for_love
roxa_te_ɾilef_saɾa_moɾtin,317_traditional_medicine
maɾ_te_ɾoŋon_roroxa,318_traditional_doctor_male
vinaɾ_te_ɾoŋon_roroxa,192_traditional_doctor_female
rəsan_tamat,395_peace_ceremony
məleun,227_chief
taɛm_te_ⁿdeme_təve_meleun,462_chief_ceremony
iɾumboxo_te_itəmat,400_pig_killing_ceremony
taɛm_na_ⁿdrove,226_ceremony_of_the_first_harvest
lexan,487_wedding
owol_vinandrə,217_bride_price
kelkel,428_sister_exchange
nəvana,324_woman_who_married_brother_of_dead_husband
maŋgo,406_polygamy
mbumbu_neŋe_tuʷe,198_ancestor
namum_atat,242_spirit
nemu,242_spirit
mbealo,194_afterlife
əxə_ɾivan_mbetli,475_direction_inland
xə_ɾivan_lalta,476_direction_sea
xə_ɾivan_eɾwa,370_north
xə_ɾivan_eɾeha,438_south
xə_ɾivan_eɾali,253_east
xə_ɾivan_əwe,488_west
arisandendaverndrumbo_xino,422_secret
lœt_hathat,413_restricted_place
ⁿdam_hathat,414_restriction_taboo
selevanham,304_heart
mbitim,478_umbilical_cord
nua_nandembimbi,197_amniotic_fluid
ⁿtaŋ_nantembimbi,403_placenta
lovomboxo,200_armband
ruⁿdrurkəhə,360_piercing_nose
xəruⁿdrurəŋanrelŋaɾ,250_ear_piercing
nəmbah,357_penis_sheath
naɾut,334_mask
nəmbah,319_leaves_for_clothes
nəpau,323_leaves_for_making_mats
niʲat,322_leaves_for_house
ninihə_nerner,332_gathering_house_for_men
xoɾonalehe_nasup,228_clearing_in_front_of_chiefs_house
nesar,440_space_for_dancing_ceremony
nuwak,223_canoe
əʲalalo,408_pregnant
xosanhelikervinandre,338_menstruation
iŋavil_rəmana_haxal,257_eleven
iŋavil_rəmana_iru,477_twelve
iŋavil_rəmana_itil,459_thirteen
iŋavil_rəmana_ivat,288_fourteen
iŋavil_rəmana_ilim,284_fifteen
iŋavil_rəmana_ixoen,430_sixteen
iŋavil_rəmana_ivendit,423_seventeen
iŋavil_rəmana_ixoʷel,255_eighteen
iŋavil_rəmana_ivesif,367_nineteen
iŋovil_til,460_thirty
iŋovil_vat,289_forty
iŋovil_xoen,431_sixty
