Tapemaraxusmae,English Translation
i-sink,1_one
i-ru,2_two
i-tl,3_three
i-ves,4_four
i-lɪm,5_five
i-lɪmʧis,6_six
i-ʧiru,7_seven
i-ʧitɪl,8_eight
i-ʧɛvɛt,9_nine
i-siŋɛl,10_ten
i-ŋɛl-ru,11_twenty
iŋɛlɪm,12_fifty
i-ŋɛl-siŋɛl,13_onehundred
kake,15_year
matʰu,16_right
mor,17_left
kənɛk,18_i
nakm,22_weallincl
kɛm_ruaŋi,24_youboth
kɛm,25_youall
ɛn,26_heshe
i-sɛɣa,29_nonot
stɛ,30_what
hɛs,31_who
epi,32_where
sivɛrɛn,33_when
ipuruvi,34_how
e-soɛs,37_above
-mɪlivin,38_below
-lelvɛno,39_ininside
pəti-k,40_head
nil_pəti-k,41_hair
mɪtə-k,42_eye
kəsə-k,43_nose
ⁿdɛliŋa-k,44_ear
pʷɪŋik,45_mouth
mimi-k,46_tongue
lu-k,47_tooth
lɪmɛ-k,48_hand
ᵐbɛtax_ⁿdeli-k,49_shoulder
ᵐbili-k,51_back
tili-k,52_leg
ⁿde,53_blood
ʧu-k,54_bone
nilpɛ-k,55_skin
səni-k,57_intestines
sus,58_breast
lipax,60_dog
nɪ-mɛn,61_bird
nɪ-mɛʧ,62_fish
nɪ-mʷot,63_snake
ni-lɛslɛs,64_worm
na-ɣʊtʰ,65_louse
laᵐbʊt,66_rat
ni-lo,67_spider
nɪ-xəmɔx,68_mosquito
ni-ⁿdɪlə,69_egg
nilɛ-n,70_tail
ni-bɪbo-n,72_feather
norman,73_man
topolɔx,74_woman
nɛ-titɛ,75_child
no-xsə-m,76_name
ⁿdui_asɛ-k,79_husband
tavolora_s-ɛk,80_wife
ni-tirɛn,81_day
liɣat,82_night
n-il,83_moon
mɪʧi,84_star
pɛkɾən,85_sky
nu-wɔ,86_water
tɛs,88_sea
n-imb,89_fire
nɪ-vɛtʰ,92_stone
ⁿdɛmbɛ,93_earthsoil
ᵐbɪtniɛ,94_dust
nu-nuwɪn,95_sand
nu-is,96_rain
lɪŋ,98_wind
belevar,99_thunder
no-von,102_fruit
lɛᵐbum-,103_woodsforest
na-rine,104_root
rɛŋaisɪ-n,105_branch
rone,106_leaf
ne,107_wood
ni-nes,108_grass
ne-vɪŋo-n,109_flower
ni-et,110_thatchroof
nɪ-max,111_house
na-wɔ,112_rope
sɛl,113_roadpath
i-vloŋmit,114_black
i-wiɸ,115_white
i-miɛl,116_red
i-ɣʧaxʧɛn,117_green
i-woʧ,118_yellow
i-lil,119_big
i-pus,120_small
ɪ-ᵐbeʧiʧ,122_bluntdull
i-mimin,123_shyashamed
i-tɛrɛβ,124_old
i-msit,125_painfulsick
i-piʧ,126_good
i-sɛt,127_bad
puvtax,129_dirty
-mumu,130_rotten
i-ⁿdiɸ,131_heavy
-saxlɛne,132_far
ɛʧi,133_near
-miles,134_cold
i-memes,135_dry
wor,136_wet
i-məⁿdax,137_new
po-mɔ,139_come
be-liŋliŋ,140_walk
bə-vtir,141_stand
ɛ-liɛk,142_sit
i-ⁿdum,143_fall
po-rutɛn,145_turn
po-sax,146_climb
po-suvsiɸ,147_swim
-tɪtiv,148_flyverb
pɔ-ʧɛrɛn,149_throw
po-tosusuɛn,150_hide
ba-ɣan,151_eat
bɛ-mɪn,152_drink
bɛ-tiᵐbus,154_spit
-lis_tɛŋi,155_dream
ɛ-mɛtr,156_sleep
pɔ-ɣaʧ-ipo-mɛs,159_kill
ɛ-lis,160_see
mɛ-tɛŋisɛt,162_sniffsmell
pu-tmos,163_laugh
ɛ-luax,164_cry
i-βiɸ,165_blow
i-vaŋ,166_burn
pɔ-ɣot͡sɣot͡s,168_pound
pɔ-ɣot͡s,169_hit
pɔ-ʧeʧ,170_cut
pɔ-ɣol-ɣol,172_dig
po-tut-ɛn,174_hold
ⁿdɪŋdəŋ,175_fear
-ʧpon,176_count
ɛluax,178_vomit
pɔ-məliʧ,179_tieup
pomriʧ,181_swell
pɔ-vʷiri,182_say
-poxar,183_scratch
pan-sara,184_stab
p-ul,185_buy
pɔ-vənax,186_steal
bɛ-ⁿdiŋe,188_cook
panluɔ,189_shoot
me-kar,190_work
pu-ri,191_open
