Ctlsungwadolagwaranuta,English Translation
tuwale,1_one
rua,2_two
tol,3_three
ɸat,4_four
teβelma,5_five
laɸtuwale,6_six
laβrua,7_seven
laɸtʰol,8_eight
liβat̪ʰ,9_nine
saŋaβul,10_ten
saŋawul,10_ten
saŋaβul,11_twenty
saŋaβul_teβelma,12_fifty
ŋʷeldol_tuwale,13_onehundred
weldol,13_onehundred
tarβʷa_tβʷale,14_onethousand
ⁿdam,15_year
matu-aᵑɡu,16_right
xalowa-ᵑɡu,17_left
nau,18_i
kimi_ɣasex,19_weallexcl
xiⁿda-rua,20_webothincl
kami-rua,21_webothexcl
xiⁿda_ⁿdol,22_weallincl
niko,23_thou
kam-rua,24_youboth
kam_βoⁿdol,25_youall
xia,26_heshe
xira_ⁿdol,27_theyall
rai-rua,28_theyboth
ra-rua,28_theyboth
xirai-rua,28_theyboth
bisa,29_nonot
asa,30_what
ise,31_who
ⁿdoi_jaᵐbe,32_where
saβa_taro,33_when
xosniax,34_how
ⁿdoɣaia,35_this
ⁿdoβano,36_that
tolamakʰex,37_above
tolaβaβax,38_below
tolababax,38_below
lalolox,39_ininside
ᵑɡʷatu-ᵑɡu,40_head
ulu-ᵑɡu,41_hair
mata-ᵑɡu,42_eye
rusu-ᵑɡu,43_nose
ᵑɡʷoro-ᵑɡu,44_ear
xʷaxʷa-ᵑɡu,45_mouth
luame-ᵑɡu,46_tongue
luxʷo-ᵑɡu,47_tooth
lima-ᵑɡu,48_hand
tʰiᵑɡʷa-ᵑɡu,49_shoulder
xawa-ᵑɡu,50_neck
taɣu-ᵑɡu,51_back
raŋoᵑɡo_ɡunux,52_leg
raŋoᵑgo_ɣunux,52_leg
ⁿdi-ᵑɡu,53_blood
suru-ᵑɡu,54_bone
ɸinu-ᵑɡu,55_skin
taᵑɡʷaŋi-ᵑɡu,56_belly
tʰinai-ᵑɡu,57_intestines
zu-ᵑɡu,58_breast
ɸara-ᵑɡu,59_liver
xiriu,60_dog
maslaraŋxai,61_bird
maslaraxai,61_bird
mas,62_fish
mʷaɣata,63_snake
sulate,64_worm
ŋʷaⁿdi,65_louse
xariɸ,66_rat
taɣaɣa,67_spider
nam,68_mosquito
tol_na_mas,69_egg
xolox,70_tail
ᵐbana,71_wing
ulna,72_feather
tatʰ,73_man
tatuata,73_man
ɸaβine,74_woman
ŋʷerŋʷera_riᵑɡi,75_child
sasax,76_name
raβe-ᵑɡu,77_mother
tamʷa-ᵑɡu,78_father
tuᵐbu-ᵑɡu,79_husband
reinatu-ᵑɡu,80_wife
ran,81_day
xarea,82_night
xʷula,83_moon
ɸula,83_moon
ɸitiu,84_star
maβindi,85_sky
ᵐbi,86_water
ᵐbulo,87_lake
tas,88_sea
eaɸ,89_fire
easu,90_smoke
eas,90_smoke
taniaβu,91_ash
ɸatu,92_stone
tano,93_earthsoil
taniaɸu̥,94_dust
one,95_sand
usa,96_rain
husa,96_rain
taelaŋ,97_cloud
laŋ,98_wind
manɸara,99_thunder
ɸila,100_lightning
ɸasxox,101_meatflesh
ɸʷia-na,102_fruit
uta_xʷono,103_woodsforest
xoro-na,104_root
raŋa-x,105_branch
ⁿdou-na,106_leaf
xai,107_wood
saŋora,108_grass
ɸara-na,109_flower
ⁿdo_taᵑɡora,110_thatchroof
ⁿdu_takra,110_thatchroof
iŋʷa-ᵑɡu,111_house
xau,112_rope
sala,113_roadpath
maeto,114_black
oβʷoβo,115_white
owoβo,115_white
memea,116_red
ᵐbʷarᵐbʷaroɣa,117_green
jaŋoxa,118_yellow
maŋas,119_big
rikrik,120_small
mamatan,121_sharp
ᵑɡʷatola,122_bluntdull
maman,123_shyashamed
monɣa,124_old
wawale,125_painfulsick
xarea,126_good
sat̪ʰ,127_bad
sat̻e,127_bad
lelet̪ʰ,128_correcttrue
saŋora,129_dirty
sasaŋora,129_dirty
ⁿdar,130_rotten
ⁿdem,131_heavy
ⁿdoijaᵐbe,132_far
ⁿdoβirtax,133_near
maⁿdiŋi,134_cold
raraᵑɡa,135_dry
samʷale,136_wet
xaraᵐbʷeɣa,137_new
tuaraβo,138_other
xuma,139_come
xau,140_walk
turβa_turu,141_stand
mambus,142_sit
soe,143_fall
weno,144_liedown
eno,144_liedown
ris,145_turn
kalo,146_climb
xaxaru,147_swim
xaβa,148_flyverb
wasxaɣia,149_throw
silβax,150_hide
xanɣan,151_eat
unu,152_drink
unux,152_drink
ŋʷoŋʷoβa,153_yawn
ɸura,154_spit
matur_ᵑɡʷorᵑɡʷore,155_dream
matur,156_sleep
ŋʷaso,157_live
mate,158_die
wasiat_mate,159_kill
nai_ete,160_see
roŋo,161_hear
na_roŋo_na_ᵐbunax,162_sniffsmell
mana,163_laugh
ŋara,164_cry
nos,166_burn
tuɣurua,167_sew
waswasia,168_pound
wasia,169_hit
teβia,170_cut
tiβia,170_cut
ⁿdarawai,171_split
xilia,172_dig
xaraβaɣia,173_hunt
toria,174_hold
nan_mataɣut,175_fear
ɸal,176_count
reβe_na_maᵐbusu-ᵑɡu,177_breathe
lulua,178_vomit
liβitia,179_tieup
ɸirisia,180_squeeze
riɣa,181_swell
na_ɸeβe,182_say
taᵑɡar,183_scratch
susuɣia,184_stab
xʷol,185_buy
ɸʷol,185_buy
ᵐbalua,186_steal
rixʷu,187_plant
raraŋai,188_cook
ɸinia,189_shoot
roᵐba,190_work
xrania,191_open
