Wunaruu,English Translation
taripoe βaɣa tea,14_onethousand
naβul raβerua,424_seventy
sanaβul wano lima,284_fifteen
naβul tolu,460_thirty
senaβul wano raβerua,423_seventeen
laviul vaɣa tea,13_onehundred
tea,1_one
sanaβul,10_ten
raepate,9_nine
naβul lima,12_fifty
rua,2_two
lima,5_five
senaβul wana tea,257_eleven
sanaβul wano limaraβe,430_sixteen
senaβul wano rajpati,367_nineteen
naβul raβtolu,256_eighty
naβul limaraβe,431_sixty
βaːti,4_four
tolu,3_three
naβul vaːti,289_forty
raβtol,8_eight
naβul rua,11_twenty
senaβul wana rua,477_twelve
sanaβul wano βaːti,288_fourteen
raverua,7_seven
naβul raepaːte,368_ninety
limarave,6_six
senaβul wana raptolu,255_eighteen
sanaβul wana tolu,459_thirteen
rot͡ʃo xapatia,478_umbilical_cord
taʔawas,290_full_moon
usa taʔa was pʷiripʷirin,446_storm
matui,229_coconut
usa mʷasomʷaso,325_sun_shower
viaila,492_taro_wild
sopʷena pasia,303_half_moon
ut͡ʃuna poe,402_pig_tusk
ran aβun,411_rainy_season
poroʔ,401_pig_male
marae mʷaso,410_rainbow
woramarua,413_restricted_place
paka,208_banyan_tree
nawita,371_octopus
ran koru,248_dry_season
ʔapatia aβun,364_new_moon
mʷaso irara,253_east
leβu,216_breadfruit
oβo,417_sail
umʷa,291_garden
lanlos,232_cyclone
rakue,246_dolphin
susturi,408_pregnant
hapan,314_kava
tana,483_hot
mʷaso,450_sun
xaːp,223_canoe
tiana,338_menstruation
t͡ʃure,398_pig_female
mʷalo,412_reef
t͡ʃam,496_yam
muj,252_earthquake
puto,494_womb
paɦeo,425_shark
tana,227_chief
tuβu,230_coconut_sprout
peta ina βura,485_taro_wet
moli,227_chief
poe,396_pig
naraβe,399_pig_hermaphrodite
tastup,461_tsunami
peta ulu,249_taro_dry
pʷapʷasule,225_cave
tasi et͡ʃa,243_deep_ocean
eli,474_wood_for_moving_stones
βetal,207_banana
tapeuka,333_manioc
alou,493_yam_wild
mʷaso pun,488_west
viːtu,84_star
βinej,189_shoot
tan,164_cry
βat͡ʃoβat͡ʃo,188_cook
raβpati,9_nine
sui,54_bone
aβun,137_new
ira βunβunu,195_all
ut͡ʃu,47_tooth
βaβaku,45_mouth
maːpe,59_liver
taːsi,88_sea
rarana,105_branch
mataku,42_eye
tan,199_and
βitiʔ,169_hit
taʔawas,489_wide
aβena,71_wing
taʔawas,119_big
taːno,93_earthsoil
xaβe,48_hand
nao,18_i
pasia,83_moon
tolina,69_egg
raβerua,7_seven
pon,82_night
aβano t͡ʃujt͡ʃun,132_far
sale,148_flyverb
loɣaloɣa,129_dirty
moae,85_sky
mano,61_bird
ratuara,138_other
xati tusia,212_to_bite
mamaʔano,123_shyashamed
karkaru,147_swim
ponponis,162_sniffsmell
puruna,131_heavy
lolona,39_ininside
maβunt͡ʃot͡ʃono,155_dream
waraj,465_to_choose
t͡ʃoβi,143_fall
irarua,28_theyboth
anisa,33_when
βitiβiti,168_pound
taon,15_year
liːβu,136_wet
mʷata,63_snake
βise leketen,179_tieup
nidel,362_needle
tolu,3_three
ʔariβi,66_rat
aβanunia,36_that
pospos,258_fat
cenia,35_this
ae,17_left
taripoe vaʔ ese,14_onethousand
aliali,140_walk
naβulurua,11_twenty
aβu,94_dust
tali,57_intestines
pilim,49_shoulder
βanua,111_house
pej,86_water
t͡ʃaru,130_rotten
pilaj,171_split
rua,2_two
aʔara,116_red
ʔani,121_sharp
kamiu,25_youall
t͡ʃot͡ʃora,97_cloud
saʔain,146_climb
tata,78_father
eko,52_leg
wuluna,72_feather
tutua,16_right
taːsi,419_salt
nia,26_heshe
mauri,157_live
virana,109_flower
βati,4_four
pʷeleβin,34_how
sena levine,80_wife
teβuj,133_near
wutina manamanaku,177_breathe
wulu,41_hair
ɣaneɣane,151_eat
asi,112_rope
taut͡ʃu,73_man
ɣise,76_name
nasaβa,30_what
it͡ʃarua,20_webothincl
raβtolu,8_eight
olas,64_worm
xutu,65_louse
taʔaciti,359_narrow
kamrua,24_youboth
warae,311_if
βaβana,38_below
kanamrua,21_webothexcl
waraj,182_say
lan,98_wind
pure,181_swell
ese,1_one
koko,152_drink
lamo,464_to_chew
suːlu,115_white
poruʔen,145_turn
man,180_squeeze
mata,175_fear
pal,87_lake
eli,184_stab
t͡ʃoaʔ,29_nonot
iβiβi,165_blow
aːβu,91_ash
tupuna,79_husband
eːt͡ʃa,117_green
ʔaw,107_wood
eperara,125_painfulsick
reku,40_head
amariri,134_cold
taraj,170_cut
mʷat͡ʃina,118_yellow
pinis,315_know_understand
maːt͡ʃi,62_fish
pinu,55_skin
lolohaw,103_woodsforest
uːsa,96_rain
isina,202_at
t͡ʃamaʔ,127_bad
pʷirin,99_thunder
moɣi,68_mosquito
taʔaciti,120_small
rauna,106_leaf
eːβi,176_count
kaːβu,340_fog
sapaxan,122_bluntdull
pʷiku,77_mother
sule,92_stone
lulua,178_vomit
wanana,102_fruit
wura,286_flow
naβullima,12_fifty
wusiwusi,95_sand
punua,456_thick
koru,135_dry
sului,166_burn
arovi,183_scratch
tataʔolo,128_correcttrue
t͡ʃaloku,50_neck
t͡ʃomt͡ʃom,457_thin
pulen,149_throw
isei,31_who
paniku,56_belly
siɣesiβo,142_sit
alaw,139_come
t͡ʃae,114_black
rone,161_hear
xan mamaoβi,153_yawn
mavundui,156_sleep
warese,124_old
aːsu,90_smoke
turui,167_sew
tiβeri,191_open
t͡ʃae,53_blood
mʷaʔo,126_good
ile,160_see
eli,172_dig
woli,185_buy
pes,60_dog
mate,158_die
βiti iβun,159_kill
vile,100_lightning
t͡ʃimi nasusu,448_suck
kaun,174_hold
pʷere,108_grass
laβoʔ,187_plant
memeku,46_tongue
loto,154_spit
uru,163_laugh
punen,150_hide
aβeʔaj,32_where
hoena,104_root
mʷamʷa,483_hot
paliʔe,186_steal
t͡ʃurpes,173_hunt
sanaβulu,10_ten
ira,27_theyall
levine,74_woman
aːpu,89_fire
laβiul βaʔ ese,13_onehundred
wut͡ʃina,70_tail
tuβŭ,302_to_grow
aloli,37_above
sala,416_road
ran,81_day
niko,23_thou
t͡ʃalinana,44_ear
pʷepʷete,426_short
susu,58_breast
maβmaβuntui,144_liedown
paraβu,328_long
t͡ʃomt͡ʃom,458_to_think
taɦuku,51_back
βisiona,336_meat
it͡ʃa,22_weallincl
ato,455_thatch
taut͡ʃu,306_person
paule,75_child
tulsa,141_stand
limaraβe,6_six
woce,190_work
malusuku,43_nose
lima,5_five
para,67_spider
