Sbiribiri,English Translation
tea,1_one
ru,2_two
tol,3_three
fæt,4_four
liɛm,5_five
on,6_six
ᵐbitu,7_seven
kʷalu,8_eight
siko,9_nine
saŋafulu,10_ten
ŋufulkero,11_twenty
ŋufulkeliəm,12_fifty
fuⁿdolo,13_onehundred
terɪ̥,14_onethousand
sukʷaʊ,15_year
matuo,16_right
makʷiri̥,17_left
nou,18_i
kɐmæ,19_weallexcl
kitorʊ̥,20_webothincl
kamarʊ̥,21_webothexcl
kiet̚,22_weallincl
niɔk̚,23_thou
kimiru,24_youboth
kimiu̥,25_youall
niɛ,26_heshe
niere,27_theyall
rakro,28_theyboth
hate,29_nonot
sanaõ,30_what
siã,31_who
lok,32_where
saβtarə̥,33_when
kɐsæk,34_how
niŋəl,35_this
niŋɛ,36_that
nɐmæk,37_above
lofɐfæk,38_below
lovevek,38_below
lolã,39_ininside
ᵑɡʷatu̥,40_head
mat̚,42_eye
ᵑɡʷærə̥,44_ear
limom,48_hand
tiᵑɡʷo,49_shoulder
ⁿdielə̥,50_neck
ᵑɡuru,51_back
ᵑɡaru,52_leg
ⁿdaɪ,53_blood
sui,54_bone
finu,55_skin
ᵐbʷoᵐbo,56_belly
taᵑɡʷaĩ,57_intestines
taᵑɡʷaĩŋ,57_intestines
sus,58_breast
æte,59_liver
kuriu,60_dog
manu,61_bird
ɛk,62_fish
ŋʷɑt,63_snake
nuof,64_worm
kut,65_louse
kariβ,66_rat
takak,67_spider
nam,68_mosquito
tol,69_egg
kɔl,70_tail
ᵐbanis,71_wing
fulu̥,72_feather
ŋʷear,73_man
fafĩẽ,74_woman
mares,75_child
æs,76_name
waɛ,77_mother
mam,78_father
ŋʷersiŋ,79_husband
raŋtuŋ,80_wife
ræŋ,81_day
ᵐbʷoŋ,82_night
fʷol,83_moon
fitiu,84_star
masaf,85_sky
kʷaɪ,86_water
manaro̥,87_lake
tæs,88_sea
æf,89_fire
kɐkɐsu̥,90_smoke
ᵑɡʷie,91_ash
fat̚,92_stone
tan,93_earthsoil
ᵑɡʷiɛ,94_dust
ɒn,95_sand
wos,96_rain
ⁿdoⁿdo̥,97_cloud
laɪŋ,98_wind
læŋ,98_wind
ᵑɡʷirtak̚,99_thunder
fiel,100_lightning
ᵐbik,101_meatflesh
kʷaik,102_fruit
wotfõ,103_woodsforest
kakʷære̥,104_root
raŋ,105_branch
rau,106_leaf
kæ,107_wood
ⁿduf,108_grass
fiɛre̥,109_flower
taᵑɡʷorʊ̥,110_thatchroof
fæl,111_house
karɔ,112_rope
sala,113_roadpath
majaβ,114_black
mafʷot,115_white
mɛmɛ,116_red
ᵑɡʷaruᵑɡʷarkæk̚,117_green
aŋak,118_yellow
lokʷo,119_big
ᵐbitᵐbit,120_small
sʷok̚,121_sharp
ᵑɡʷato,122_bluntdull
maɛmaœ,123_shyashamed
malɛ,124_old
kakⁿdiri,125_painfulsick
karɛ,126_good
soᵑɡok,127_bad
lituk,128_correcttrue
soᵑɡo,129_dirty
maᵐbom,130_rotten
mʷaf,131_heavy
fakfaʊ,132_far
ᵑɡaᵑɡə̥ren,133_near
kakⁿdiŋ,134_cold
mamas,135_dry
mimiɛk,136_wet
karaŋ,137_new
tueki̥,138_other
fanei,139_come
ⁿdiək,140_walk
tu:,141_stand
tak,142_sit
soβi,143_fall
soβ,143_fall
jã,144_liedown
ⁿdori,145_turn
ᵑɡalo̥,146_climb
kakarʊ,147_swim
rof,148_flyverb
tuli̥,149_throw
funik,150_hide
jũŋ,152_drink
iũ,152_drink
mamao,153_yawn
ᵐboᵐbʷære̥,155_dream
matur,156_sleep
ŋʷas,157_live
mæt,158_die
kʷəsfat_mæt,159_kill
leaõ,160_see
roŋ,161_hear
ᵐburoŋ,162_sniffsmell
uf,165_blow
kao,166_burn
turu̥,167_sew
fosfos,168_pound
kʷəs,169_hit
təɛ,170_cut
tæ:,170_cut
fisæ,171_split
kɛl,172_dig
ruk,173_hunt
kuruᵐbim,174_hold
matakʊ̥,175_fear
fʷal,176_count
kʷet,179_tieup
kʷiriki̥,180_squeeze
luluoŋ,181_swell
fit,182_say
tɐᵑɡær,183_scratch
tis:,184_stab
fol,185_buy
ᵐbalu,186_steal
rifu̥,187_plant
tutun,188_cook
fẽ,189_shoot
ᵑɡeæk,190_work
roaɛ,191_open
