Ctlnalembanarovorovo,English Translation
tea,1_one
rua,2_two
tol,3_three
ɸat,4_four
teβelma,5_five
letpʷale,6_six
lefrua,7_seven
leptol,8_eight
leβtol,8_eight
liβat,9_nine
saŋaful,10_ten
saŋaful_rua,11_twenty
saŋaβul_teβelma,12_fifty
mʷelⁿdol,13_onehundred
tar_tʷale,14_onethousand
ⁿdam,15_year
matua,16_right
haloa,17_left
nu,18_i
xiⁿdaruak,20_webothincl
ᵑɡamruak,21_webothexcl
xɪⁿda,22_weallincl
niᵑɡo,23_thou
ᵑɡimiruak,24_youboth
ᵑɡimi,25_youall
xia,26_heshe
hira,27_theyall
raβua,28_theyboth
tiɣi,29_nonot
saβa,30_what
si:,31_who
jaᵐbe,32_where
saβataro,33_when
hasnak,34_how
toɣaja,35_this
tovano,36_that
jalna,37_above
ɸaɸak,38_below
faβak,38_below
lolok,39_ininside
ᵐbʷatɪk,40_head
ulɪk,41_hair
matak,42_eye
mata,42_eye
hansɪk,43_nose
ᵐbʷorok,44_ear
ɸʷaɸʷak,45_mouth
luamek,46_tongue
liβʷok,47_tooth
lɪmɐx,48_hand
lɪmax,48_hand
tuᵐbʷak,49_shoulder
hoak,50_neck
tahɪk,51_back
tahək,51_back
ᵑɡarɪk̚,52_leg
ᵑgarɪk,52_leg
ⁿdik,53_blood
sik,54_bone
finik,55_skin
taŋak,56_belly
tnaɛ,57_intestines
susu,58_breast
fara,59_liver
hiriu,60_dog
man,61_bird
mas,62_fish
mʷaxata,63_snake
mʷaɣata,63_snake
slate,64_worm
mʷan,65_louse
xariβ,66_rat
taxa,67_spider
taɣa,67_spider
nam,68_mosquito
toltoa,69_egg
holok,70_tail
ᵐbanɪk,71_wing
ulɪk,72_feather
mʷereta,73_man
ɸaɸne,74_woman
mʷera,75_child
sasak,76_name
ᵐbotai,77_mother
tata,78_father
tamarasᵑɡu,79_husband
tamarasaŋ,79_husband
rainatɪk,80_wife
rainatiŋ,80_wife
ran,81_day
ᵐbʷoŋ,82_night
ɸula,83_moon
ɸitiu,84_star
taelaŋ,85_sky
wi,86_water
rɪk,87_lake
rik,87_lake
tas,88_sea
jaβ,89_fire
jas,90_smoke
taniaβ,91_ash
ɸat,92_stone
tano,93_earthsoil
taniaβ,94_dust
une,95_sand
usɛ,96_rain
taetae,97_cloud
laŋ,98_wind
manfara,99_thunder
ɸla,100_lightning
ɸasxok,101_meatflesh
ɸʷiak,102_fruit
tamatua,103_woodsforest
hoarɪk,104_root
raŋak,105_branch
ⁿduk,106_leaf
xai,107_wood
ɸalis,108_grass
frak,109_flower
imʷa_ⁿdol,110_thatchroof
imʷa,111_house
xao,112_rope
hao,112_rope
sala,113_roadpath
maito,114_black
ɸʷas,115_white
memea,116_red
ᵐbʷaroxa,117_green
ᵐbʷaroha,117_green
janoxa,118_yellow
xaifua,119_big
riŋriŋ,120_small
mataɣan,121_sharp
ᵐbʷatola,122_bluntdull
maxmaxan,123_shyashamed
monxa,124_old
xaxaⁿdɪr,125_painfulsick
xare,126_good
sat,127_bad
ɸiak,128_correcttrue
saŋora,129_dirty
ⁿdar,130_rotten
ⁿdem,131_heavy
salasui,132_far
kaᵑɡaran,133_near
hamʷaⁿdin,134_cold
raraᵑɡa,135_dry
samʷale,136_wet
xaraᵐbʷe,137_new
tuara,138_other
fani,139_come
laxo,140_walk
mʷam,142_sit
mʷalua,143_fall
weno,144_liedown
risikᵑɡo,145_turn
ᵑɡalo,146_climb
haxar,147_swim
xaxar,147_swim
xafa,148_flyverb
ᵐbʷalek,149_throw
silfa,150_hide
silvak,150_hide
hanhan,151_eat
min,152_drink
mamaoβa,153_yawn
fra,154_spit
matir_ᵐbʷorᵐbʷore,155_dream
matir,156_sleep
mʷaso,157_live
mate,158_die
wasfa_mate,159_kill
le,160_see
roŋo,161_hear
ᵐbun,162_sniffsmell
mana,163_laugh
ŋara,164_cry
sɛrɛ,165_blow
mʷap,166_burn
mʷaβ,166_burn
tɪɣɪr,167_sew
tiɣɪr,167_sew
waswas,168_pound
was,169_hit
teβe,170_cut
ⁿdara,171_split
xil,172_dig
horo,173_hunt
tor,174_hold
matak,175_fear
ɸuliŋ,176_count
reve_mʷamsmʷa,177_breathe
lulua,178_vomit
ɸiⁿiik,179_tieup
ɸiris,180_squeeze
riɣa,181_swell
ɸeβe,182_say
taᵑɡar,183_scratch
sɪs,184_stab
ɸʷol,185_buy
ɸol,185_buy
ᵐbal,186_steal
rɪβ,187_plant
riβ,187_plant
tɪtɪn,188_cook
ɸene,189_shoot
roᵐba,190_work
ta:la,191_open
