Sabunlap,English Translation
su,1_one
mbeɾu,2_two
mbetil,3_three
mbeɪt,4_four
mbelim,5_five
mbelicia,6_six
mbeleuɾu,7_seven
mbelɪtil,8_eight
beliapat,9_nine
saŋul,10_ten
dam,15_year
ŋantu,16_right
ŋanɪmwiɾɪ,17_left
ni,18_i
kema,19_weallexcl
kaku,20_webothincl
naku,21_webothexcl
kit,22_weallincl
ɪk,23_thou
ŋimi,25_youall
ik,26_heshe
eɾpat,27_theyall
ɾaku,28_theyboth
ɛhɛ,29_nonot
ompesa,30_what
sɛ,31_who
oteavi,32_where
naŋis,33_when
pan,38_below
lon,39_ininside
mbutuk,40_head
walum,41_hair
kɪlɪntak,42_eye
ŋɡusum,43_nose
ɡalŋik,44_ear
bwalanmbaŋom,45_mouth
mim,46_tongue
lu:m,47_tooth
aɾam,48_hand
bwan,49_shoulder
mɪtnak,50_neck
ahaluk,51_back
lim,52_leg
danak,53_blood
barsun,54_bone
bwəlam,55_skin
tewam,56_belly
ɪtnɪn,57_intestines
melak,59_liver
kuli,60_dog
mbwisil,61_bird
mahalɔ,62_fish
taltil,63_snake
u:t,65_louse
tema,66_rat
tamla,67_spider
baŋkin,68_mosquito
asuin,69_egg
ŋeɾen,70_tail
alwin,71_wing
arman,73_man
isin,74_woman
watleci,75_child
sim,76_name
asi,77_mother
ciak,78_father
ŋaranŋa,81_day
lopas,82_night
ʊl,83_moon
cuwuwuɾ,84_star
lomtaɾan,85_sky
wa,86_water
tas,88_sea
ap,89_fire
səwap,90_smoke
tasip,91_ash
a:t,92_stone
tan,93_earthsoil
u:s,96_rain
laŋ,98_wind
bwaɾuɾut,99_thunder
bɪlbɪl,100_lightning
isnak,101_meatflesh
ba:tɪ,102_fruit
barsun,103_woodsforest
omsɪuli,104_root
ɛrsebutua,105_branch
seɡa,106_leaf
aɾatʃulus,108_grass
uariŋisos,109_flower
im,111_house
aula,112_rope
sal,113_roadpath
mɪamlik,114_black
pwalpwal,115_white
imɾɛ,116_red
min,117_green
mlitmlit,118_yellow
mbetlap,119_big
kaŋkan,120_small
mwaŋkan,121_sharp
imtawi,125_painfulsick
mbetu,126_good
mokonon,128_correcttrue
mɛamdat,130_rotten
mɛɪa,131_heavy
tiriaut,132_far
ŋawɪlan,133_near
pse,133_near
melas,134_cold
mwarkol,135_dry
mɛames,136_wet
ʊɾma,139_come
omlae,140_walk
imut,143_fall
oɾpat,144_liedown
tɛpwala,146_climb
mlos,147_swim
utu:ni,149_throw
mwapulu,150_hide
anian,151_eat
imini,152_drink
imparmwele,155_dream
temcuɾ,156_sleep
miɾan,157_live
mɪat,158_die
otelsi,160_see
mwaɾoŋo,161_hear
bon,162_sniffsmell
mɛɪan,163_laugh
maui,165_blow
mahalohlo,167_sew
oteusi,169_hit
oɾici,169_hit
maɾi,170_cut
maxli,172_dig
taŋɡete,174_hold
ɪmɪamta,175_fear
wɪlɪn,175_fear
oɾwɪlɪ,176_count
mɡlu,178_vomit
mbote,179_tieup
puhunɪ,180_squeeze
mwəkolo,181_swell
ompe,182_say
teku,183_scratch
omum,190_work
otesea,191_open
cjæt,259_uncle_paternal
cjæt,262_uncle_paternal_older
cjæt,280_uncle_paternal_younger
itnik,274_aunt_paternal
itnik,273_aunt_paternal_older
itnik,281_aunt_paternal_younger
cɪjk,342_uncle_maternal
cɪjk,342_uncle_maternal
cɪjk,342_uncle_maternal
æsi,348_aunt_maternal
æsi,347_aunt_maternal_older
æsi,355_aunt_maternal_younger
tselæk,374_brother
wæinik,381_sister_older
wæinik,498_younger_sister
wancuk,264_first_cousin_male_paternal_uncle
wancuk,263_first_cousin_female_paternal_uncle
mæbik,278_first_cousin_paternal_aunt
alak,343_first_cousin_male_maternal_uncle
biɸi,344_first_cousin_female_maternal_uncle
selæk,351_first_cousin_male_maternal_aunt
selæk,350_first_cousin_female_maternal_aunt
nakisin,80_wife
asi,235_daughter_in_law
wancuk,79_husband
ciɸik,300_grandson_son
ciɸik,296_granddaughter_son
wancuk,75_child
taɾit,237_son_in_law
mæbik,239_grandchild_daughter
wancuk,221_nibling_fraternal
alak,363_nephew_sororal
wæinik,365_niece_sororal
naxatutunkon,260_father_in_law
naxatuntunkon,341_mother_in_law
wancun,261_father_in_law_of_woman
su:,1_one
beɾu,2_two
betɪl,3_three
be:ɪt,4_four
belim,5_five
belicʲa,6_six
beliuɾu,7_seven
beli:til,8_eight
beliʲapat,9_nine
nu:lsu,10_ten
nu:lsu_æsu,257_eleven
nu:lsu_æmbeɾu,477_twelve
nu:lsu_æmbetɪl,459_thirteen
nu:lsu_æmbe:ɪt,288_fourteen
nu:lsu__æmbelim,284_fifteen
nu:lsu_æmbelicʲa,430_sixteen
nu:lsu_æmbeleuɾu,423_seventeen
nu:lsu_æmbele:tɪl,255_eighteen
nu:lsu_æmbeliʲapat,367_nineteen
nu:lɸeɾu,11_twenty
nu:lɸeɾu_æsu,460_thirty
nu:lɸeɾu_æɸeɾu_moenɾan,289_forty
