Tiraxolamb,English Translation
-haɣal,1_one
i-ru,2_two
i-til,3_three
i-vat,4_four
i-lin,5_five
i-ɣoɛn,6_six
i-ɣɛⁿdit,7_seven
i-ɣowɛl,8_eight
i-ɣesif,9_nine
i-hiŋavil,10_ten
ŋovil-ru,11_twenty
ŋov_i-lin,12_fifty
ŋo_hɪŋavil,13_onehundred
kaka,15_year
matu,16_right
mair,17_left
xono,18_i
nekir__ⁿderu,20_webothincl
nekir,22_weallincl
nox,23_thou
kɛni,25_youall
xain,26_heshe
xair,27_theyall
i-hiŋe,29_nonot
hena,31_who
xande,32_where
xori,35_this
xuwe,36_that
-linha,37_above
-nɛlvɛnan,38_below
-lalɛn,39_ininside
ᵐbati-m,40_head
vlɛ-n_ᵐbati-m,41_hair
məta-m,42_eye
kuhu-m,43_nose
ⁿdʳɪlɪŋa-m,44_ear
soŋo-m,45_mouth
nɛ-nɛ-m,46_tongue
lɪvo-m,47_tooth
vra-k,48_hand
salɣa-m,50_neck
staɣu-m,51_back
malɛ-m,52_leg
na-ⁿdʳe,53_blood
su-na-n,54_bone
vlɛ-n,55_skin
tᵐbaɣi-m,56_belly
sɪnɛ-ne-a,57_intestines
ne-sus_ha-n,58_breast
na-ⁿdre_lalɛ-n,59_liver
liⁿdax,60_dog
na-niəx,61_bird
nas,62_fish
nə-mat,63_snake
vɪlɛslɛs,64_worm
nɛ-ɣot-na-n,65_louse
na-xarip,66_rat
ne-la,67_spider
na-mux,68_mosquito
ⁿdʳul-na-n,69_egg
balɣa-na-n,70_tail
vəle-na-n,72_feather
nɛrnɛr,73_man
vinaⁿdʳ,74_woman
tɛᵐbiᵐbiʰ,75_child
naxa-m,76_name
nunu,77_mother
tata,78_father
lɛɣ_ha-m,79_husband
vinaⁿdʳ_ha-m,80_wife
no-trɛn,81_day
laᵐbuŋ,82_night
na-vil,83_moon
vivor,84_star
ⁿdakⁿdran,85_sky
nu-ã,86_water
ma-lɛn,87_lake
ⁿtah,88_sea
tijɛ,90_smoke
ᵐbɪtɪɸ,91_ash
nə-vat,92_stone
ⁿtan,93_earthsoil
ᵐbɛtkuhʰ,94_dust
na-wɛn,95_sand
na-uh,96_rain
n-laŋ,98_wind
ᵐbetekur,99_thunder
nɪvɪlax,100_lightning
nɪ-hoɣovɛ-na-n,101_meatflesh
na-vəŋa-na-n,102_fruit
ⁿdʳoxtəra,103_woodsforest
lɪᵐba-na-n,104_root
raŋ-na-n,105_branch
roxa-na-n,106_leaf
na-ɣa,107_wood
na-nih,108_grass
ni-at,110_thatchroof
na-in,111_house
na-rit,112_rope
na-hal,113_roadpath
i-nɛt,114_black
i-vus,115_white
i-nial,116_red
i-rasraɣsan,117_green
i-məɣɛl,118_yellow
i-lalandʳ,119_big
i-ᵐbiʰ,120_small
i-mon,121_sharp
i-patot,122_bluntdull
i-təra,124_old
-ros,125_painfulsick
i-nam,126_good
i-hat,127_bad
-vratin,128_correcttrue
-ⁿdʳɪvⁿdʳɪv,130_rotten
-ⁿdʳov,131_heavy
xawɛ,132_far
-xariv,133_near
-nalɣa,134_cold
i-ninah,135_dry
i-wɛr,136_wet
-mɪlakɛl,137_new
-mɛ,139_come
xa-vial,140_walk
-tur,141_stand
-at,142_sit
i-soɸ,143_fall
-netur_tuɣun,144_liedown
-rori,145_turn
ᵐba-kar,147_swim
i-ɣaɣaⁿd,148_flyverb
-sɛɣɛɣi,149_throw
-tovuvoɣi,150_hide
xə-wɛⁿdʳ,151_eat
-nini,152_drink
xɪ-tⁿdi,154_spit
nɛtur_ᵐborᵐbor,155_dream
ⁿda-netur,156_sleep
i-seliv,157_live
i-nɛʰ,158_die
-ruᵐdi-ni,159_kill
xo-roŋoi,161_hear
-vtin,162_sniffsmell
xɛ-vɣaur,163_laugh
xə-ŋar,164_cry
i-hɛr,165_blow
i-ɣan,166_burn
-ⁿdʳur,167_sew
-ruᵐbruᵐbi,168_pound
-ruᵐbi,169_hit
-tɛsi,170_cut
-ⁿdʳɛri,171_split
-xeli,172_dig
-ⁿdʳɛlⁿdʳɛl,173_hunt
xu-tuɣoni,174_hold
xu-mtaɣit,175_fear
sɪᵐbeɣi,176_count
xe-vɪn-laŋ,177_breathe
xo-lulu,178_vomit
-misi,179_tieup
-ᵐbusi,180_squeeze
-vɛri,182_say
-koskosi,183_scratch
-hɛri,184_stab
-voliv,185_buy
-vənaɣe,186_steal
-lavi,187_plant
-titin,188_cook
-vini,189_shoot
-ⁿdah,190_work
-wale,191_open
navis,290_full_moon
navil_te_imʷɜ_po_imul_xin,303_half_moon
navil_ivut,364_new_moon
nevanu_mɜɾaŋ,248_dry_season
naus_us,411_rainy_season
laxwantas,243_deep_ocean
ⁿdas_imʷelxin_calin,461_tsunami
namʷi,252_earthquake
laŋɾup,232_cyclone
naus_iusiveponewec,325_sun_shower
bwetekuɾ,446_storm
neviʲal_sew,410_rainbow
mbaɾaŋ,225_cave
nijal,450_sun
mbetin_nimbak,208_banyan_tree
naut,291_garden
nani,229_coconut
nawop,337_coconut_sprout_meat
mbʷeɾen_nawop,230_coconut_sprout
mbuʷak,485_taro_wet
nambʷet,249_taro_dry
ŋgaka,496_yam
navic,207_banana
neut_naŋgaka,497_yam_garden
mbətap,216_breadfruit
lapʷenaxa,224_casava
kumala,316_sweet_potato
navi,492_taro_wild
nambuc,493_yam_wild
veɾep,398_pig_female
mboxos,401_pig_male
nemeɾmeɾ_vaven,399_pig_hermaphrodite
naul,64_worm
nait,371_octopus
nalul,389_owl
ŋgɛɾa,287_flying_fox
meɾe,254_eel
mbaxe,425_shark
əmaloxɾok,213_magic
ⁿcal,247_traditional_dreamer
ɾevesu,329_magic_for_love
ɾoxo,317_traditional_medicine
maɾ_na_xari_na_xislef_ɾoxo_xin_moɾotin,318_traditional_doctor_male
nevnaɾ_te_ilef_ilef_ɾoxo_xini,192_traditional_doctor_female
cevan_cetox_nalol_tamat,395_peace_ceremony
temate_lalen,395_peace_ceremony
mleun,227_chief
istitin_ran,462_chief_ceremony
cip_i_wu:ɾax_əmaki,400_pig_killing_ceremony
noran_ren_nasup,226_ceremony_of_the_first_harvest
cixil_rove_mʷe_calin,372_offerings_to_ancestors
nelexan,487_wedding
ɸwol_nevnar,217_bride_price
ɾekelkel,428_sister_exchange
van_ɾixin_citesin_itamtam,324_woman_who_married_brother_of_dead_husband
ɾejat_lelesmar_run_nefnaɾ,406_polygamy
namum,442_spirit_human
ⁿdemas,242_spirit
mbʷealo,194_afterlife
mbʷetli,475_direction_inland
cecenalixen_te_ivaneŋeⁿdas,476_direction_sea
aɾsax,438_south
laxwanaut,253_east
cecenalixen_fan_aɾwa,488_west
owoɾsuswo,422_secret
nəut_sesat,413_restricted_place
velvelna,409_prepare_taboo
meɾuwan,304_heart
mbitim,478_umbilical_cord
noʷa_na_lele_ciblek,197_amniotic_fluid
ⁿdaŋ_na_lele_ciblek,403_placenta
lowomboxos,200_armband
sururkeɾes_ŋgusun,360_piercing_nose
keɾes_mboɾon,250_ear_piercing
nəmbas,357_penis_sheath
naxo_naɾut,334_mask
polrax,319_leaves_for_clothes
nijat,322_leaves_for_house
nem_se_nasup,332_gathering_house_for_men
naxo_naim,228_clearing_in_front_of_chiefs_house
nuwak,223_canoe
mbaxo,312_initiation_male
isijan,408_pregnant
itotox,338_menstruation
saŋavil_rəmana_saxal,257_eleven
saŋavil_rəmana_iɾu,477_twelve
saŋavil_rəmana_itil,459_thirteen
saŋavil_rəmana_ifat,288_fourteen
saŋavil_rəmana_ilim,284_fifteen
saŋavil_rəmana_xon,430_sixteen
saŋavil_rəmana_xembit,423_seventeen
