Avavakhatbol,English Translation
-saˑpm,1_one
i-rui,2_two
i-tl,3_three
i-vat,4_four
i-lim,5_five
-sout,6_six
-souru,7_seven
-setl,8_eight
i-savat,9_nine
i-laŋaˑl,10_ten
i-laŋaˑl_i-rui,11_twenty
i-laŋaˑl_i-lim,12_fifty
ŋat_sapm,13_onehundred
sia,15_year
bərin,16_right
mʷir,17_left
naj,18_i
kopm,19_weallexcl
ᵑgit-ᵐburuaru,20_webothincl
ᵑgit,22_weallincl
oŋ,23_thou
kam,25_youall
ei,26_heshe
ier,27_theyall
ivek,30_what
asi,31_who
ᵐbaŋ,32_where
kisan,33_when
tamak,34_how
ɛnaŋ,35_this
tekʰi,36_that
-ⁿdʳakʰai,37_above
-lapan,38_below
-ᵐʙut,39_ininside
ᵐbat-n,40_head
sivlɛ-n,41_hair
mata-n,42_eye
onos-n,43_nose
ⁿdeliŋa-n,44_ear
ᵐboŋɔ-n,45_mouth
lɛmɛ-n,46_tongue
ᵐboroh,47_tooth
fara-n,48_hand
ᵐbata_vara-n,49_shoulder
ᵐbalawan,50_neck
ⁿdruː-n,51_back
bolokɔ-n,52_leg
ɛⁿdʳe,53_blood
boloŋ,54_bone
ipmi-n,55_skin
væt-n,56_belly
ᵐʙurtan,57_intestines
a-si,58_breast
ɛlɛmɛt,59_liver
ᵑgaᵐbʷɛr,60_dog
a-man,61_bird
fɪniɛg,62_fish
a-mat,63_snake
oⁿdala,64_worm
a-ot,65_louse
ᵐbʷisiᵐbok,66_rat
lalai,67_spider
a-nam,68_mosquito
ɔpm,69_egg
ᵐʙus-n,70_tail
loᵐbʷɔ-n,72_feather
muːt,73_man
mɔmɔkʰ,74_woman
atniⁿdai,75_child
aki,76_name
isa-n,76_name
ᵑgalu-i,77_mother
mʷom,78_father
iʔ-tanai,79_husband
mʷomʷo-tana-i,80_wife
banderan,81_day
lupat,82_night
aᵐbasi,83_moon
finməse,84_star
masap˺,85_sky
ɛ-we,86_water
tusue,88_sea
aːmʙ,89_fire
teltel,90_smoke
filaon,91_ash
a-vat,92_stone
a-tan,93_earthsoil
ᵐbisnaf,94_dust
fɪlɪsela,95_sand
auʰ,96_rain
alaŋ_na-nao,97_cloud
malah,98_wind
urur,99_thunder
ɪlaŋak,100_lightning
misal,101_meatflesh
fanan,102_fruit
itoroi,103_woodsforest
ᵑgeruwe-n,104_root
ᵐʙut-n,105_branch
a-run,106_leaf
a-ᵑgai,107_wood
sokosoŋ,108_grass
vaŋan,109_flower
iat,110_thatchroof
iːm,111_house
a-tal,112_rope
a-sal,113_roadpath
i-mɛt,114_black
i-ofiof,115_white
i-mial,116_red
i-melmele,117_green
i-lilið,118_yellow
i-lɛvelef,119_big
i-lele,120_small
-maŋal,121_sharp
ɪ-ᵐʙuk,122_bluntdull
i-ᵐbor,123_shyashamed
-tartarai,124_old
i-sal,125_painfulsick
i-rivix,126_good
i-se,127_bad
i-mɛt,129_dirty
i-maːp˺,131_heavy
-saman,132_far
-lile,133_near
aot-melekit-ian,134_cold
i-masamah,135_dry
-mindai,136_wet
i-mererex,137_new
telenan,138_other
kɛ-vɛl,139_come
-solsol,140_walk
-tur,141_stand
-sum,142_sit
i-wam,143_fall
kɪⁿdiŋ,144_liedown
-ⁿdʳi,145_turn
ka-sak,146_climb
-lumlum,147_swim
fi-laŋ,148_flyverb
kɪ-pʷeli,149_throw
ku-lukun,150_hide
a-ʔkaːn,151_eat
mɪn,152_drink
-maŋulal,153_yawn
-mɪleᵐʙə,154_spit
-ᵐbari,155_dream
-matur,156_sleep
-maor,157_live
-mæt,158_die
kɪ-rit-ᵐʙemæt,159_kill
-laᵐbit,160_see
-roᵐbit,161_hear
-suŋəsuŋ,162_sniffsmell
-waŋ,163_laugh
k-ul,164_cry
-uvup˺,165_blow
i-loŋ,166_burn
kɪ-rivrit,168_pound
kɪ-rit,169_hit
kɛ-ter,170_cut
ki-il,172_dig
-iorior,173_hunt
ko-voro,174_hold
-mɪtuta,175_fear
-ᵐbwɪliai,176_count
-ŋarŋar,177_breathe
-iok-ian,178_vomit
ko-ᵐʙuti_ⁿdatai,179_tieup
ku-ᴘəh,180_squeeze
ɪ-ᵐʙur,181_swell
ki-tir,182_say
-iorior,183_scratch
kɛ-lɛh,185_buy
kɪ-pinɔke,186_steal
ka-lap,187_plant
-tntn,188_cook
ku-lui,189_shoot
-pɛr,190_work
ka-savan,191_open
