Ranotwalung,English Translation
ɛtɛs,1_one
ɔ-ru,2_two
ɛ-tɪl,3_three
a-vʊt͡s,4_four
ɛ-lim,5_five
o-wɔn,6_six
ɛ-pʉt,7_seven
o-wil,8_eight
ɛ-siu,9_nine
asɪŋavʊl,10_ten
oŋol_oru,11_twenty
oŋol_ɛ-lɪm,12_fifty
oŋo_sɪŋavʊl,13_onehundred
sia,15_year
nɪ-matu,16_right
nɪ-majr,17_left
niɔ,18_i
kir,22_weallincl
nik,23_thou
kiami,25_youall
ni,26_heshe
nir,27_theyall
mi-t͡sige,29_nonot
ⁿt͡sɛɸ,30_what
si,31_who
sʉeliŋ,33_when
sɛrɛnt͡sɛv,34_how
ŋɛl,35_this
ŋoko,36_that
-mare,37_above
-olon,39_ininside
ᵐbatu-n,40_head
ron,41_hair
ron_ᵐbatu-n,41_hair
na-mɛt,42_eye
ᵑgunsi-n,43_nose
na-mbor,44_ear
ʧoŋo-n,45_mouth
nɛ-mɛ-n,46_tongue
na-liu,47_tooth
navɛr,48_hand
ᵐbot͡sɛla-n,50_neck
ⁿdotrɛ-n,51_back
ᵐbəla-k,52_leg
hra,53_blood
ʧi-n,54_bone
nɛ-vɛlɛvʉlʉ-n,55_skin
ⁿdəpai-n,56_belly
ʧinɛ-n,57_intestines
na-sus,58_breast
nɛ-rɛ-n,59_liver
ᵑgli,60_dog
nɪ-mɪn,61_bird
na-msal,62_fish
nɪ-mɛt,63_snake
ⁿdoto,64_worm
na-ut,65_louse
na-riβ,66_rat
ne-la,67_spider
nʊm,68_mosquito
rlu-n,69_egg
no-βoloβolɛ-n,70_tail
na-ᵐbɛ-n,71_wing
mowɛ-n,72_feather
norman,73_man
nɪ-vsevin,74_woman
bɪperiŋ,75_child
nɪ-sɛ-n,76_name
mɛrɛ-n,77_mother
tɛtɛ,78_father
duwɛn_sɛ-n,79_husband
lɪktɛr_sɛ-n,80_wife
na-trin,81_day
na-tpuŋ,82_night
na-vʉl,83_moon
nɪ-mʧʉ,84_star
bakrɛn,85_sky
i-nan,86_water
lɛp,87_lake
ⁿdes,88_sea
na-mb,89_fire
mʷos,90_smoke
mʷɪsjʉ,91_ash
nɪ-βɪt,92_stone
ⁿdan,93_earthsoil
ᵐbɛtimau,94_dust
no-wanan,95_sand
na-us,96_rain
no-ᵐbor,97_cloud
lɪŋ,98_wind
ᵐbɛlvɛr,99_thunder
na-vʉl_mivil,100_lightning
nɪ-viso-n,101_meatflesh
no-wain,102_fruit
nɛ-tɘra,103_woodsforest
lapɛ-n,104_root
rɛŋsi-n,105_branch
ro͡in,106_leaf
na-i,107_wood
na-mus,108_grass
loklok,109_flower
ni-at,110_thatchroof
na-im,111_house
ⁿdɪl,112_rope
sɛl,113_roadpath
-motmot,114_black
mu-wis,115_white
-vɛŋ,116_red
-namus,117_green
mi-at͡sat͡sɛn,118_yellow
-lɛp,119_big
-wɛlele,120_small
mu-so,121_sharp
po-tloŋ,122_bluntdull
-manun,123_shyashamed
mʷi-taɾa,124_old
mi-msɛ,125_painfulsick
mʷɪ-rɛs,126_good
mʷi-siʧ,127_bad
levorutun,128_correcttrue
mu-poroporo,129_dirty
-mʊtmʊt,130_rotten
-roʷ,131_heavy
-aso,132_far
-mori,133_near
-namlas,134_cold
-mimɛs,135_dry
-mimim,136_wet
-mɛr,137_new
ku-mɛ,139_come
-mɛl,140_walk
mɪ-tur,141_stand
mɪ-lɪk,142_sit
-ʧʉ,143_fall
ku-rori,145_turn
m-sa,146_climb
kue-loŋ,147_swim
mu-ro,148_flyverb
mo-wɪt͡s,149_throw
-silvani,150_hide
na-in-ɛn,151_eat
-minɛma,153_yawn
nɛ-lto-n,154_spit
-ᵐburi,155_dream
-matur,156_sleep
ni-maur-ɛn,157_live
nɪ-mɪt͡s-ɛn,158_die
mɛ-rɛt͡s-bini,159_kill
mɛ-tɛn,162_sniffsmell
nə-mɛn-ɛn,163_laugh
ⁿdɪŋ-ɛn,164_cry
m-in,166_burn
-rɛʧarɛʧi,168_pound
-tai,170_cut
-taurai,171_split
mu-tortotoni,174_hold
nɪ-mto,175_fear
nɪ-mtoɛn,175_fear
-βɛ,176_count
nu-lu-ɛn,178_vomit
-mʷɛlʧi,179_tieup
mɪ-vʉsi,180_squeeze
mu-sol,181_swell
ku-βorai,182_say
mo-rsi,183_scratch
-ʧuʧi,184_stab
mo-wuli,185_buy
na-vɛnai-ɛn,186_steal
po-ruwi,187_plant
na-tapu-ɛn,188_cook
ho-lue,189_shoot
mat͡siŋ-ɛn,190_work
