Tiraxbethel,English Translation
-ru,2_two
ⁿdœ-ru,2_two
-til,3_three
ⁿde-til,3_three
-vat,4_four
ⁿde-vat,4_four
-lin,5_five
ⁿde-lin,5_five
-ɣoɛn,6_six
ⁿdɪ-ɣoɛn,6_six
-ɡɛⁿdit,7_seven
ⁿdɪ-ɡɛⁿdit,7_seven
-ɡewel,8_eight
ⁿdɪ-ɡewel,8_eight
-ɡesiɸ,9_nine
ⁿde-ɡesiɸ,9_nine
-hiŋavil,10_ten
ⁿde-hiŋavil,10_ten
-ŋovil-iru,11_twenty
ⁿdɪ-ŋovil-iru,11_twenty
i-ŋov_i-lin,12_fifty
ⁿde-ŋosiŋavil,13_onehundred
matu,16_right
mairɛ,17_left
xono,18_i
nox,23_thou
xain,26_heshe
xairᵐbʷɔ,27_theyall
xairᵐbwɔ_ruru,28_theyboth
haɣa,30_what
hena,31_who
hande,32_where
i-ⁿdəlahaɣa,34_how
-linha,37_above
ᵐbɪt-,40_head
fɪlɛ-n,41_hair
fɪlɛ-n_ᵐbatir,41_hair
məta-r,42_eye
kuhu-r,43_nose
ⁿdʳɪlɪŋa-r,44_ear
soŋo-r,45_mouth
nɛ-nɛr,46_tongue
lɪvo-,47_tooth
fra-,48_hand
ᵐbɪtix_ᵐboho-vrar,49_shoulder
ᵐbitir-ⁿdʳal,50_neck
tox,51_back
malɛ-r,52_leg
na-ⁿdʳe,53_blood
su-,54_bone
fəle-,55_skin
tᵐbax,56_belly
nɛ-ltɛx_hɛnɛr,57_intestines
na-suš,58_breast
liⁿdax,60_dog
na-nix,61_bird
nas,62_fish
nə-mat,63_snake
na-ɣut,65_louse
na-ɣariv,66_rat
ne-la,67_spider
na-mux,68_mosquito
ⁿdʳul,69_egg
ᵐbalɣa-,70_tail
naɣaⁿde,71_wing
naɣaⁿde_na-nix,71_wing
fəle,72_feather
fəle_na-nix,72_feather
finaⁿdʳ,74_woman
ⁿtɛᵐbiᵐbih,75_child
naɣe,76_name
ⁿdɪⁿde,77_mother
tate,78_father
finaⁿdʳa-n,80_wife
laran,81_day
laᵐbuŋ,82_night
na-vil,83_moon
vivoro,84_star
nu-a,86_water
ⁿtah,88_sea
na-ⁿdə,89_fire
na-ⁿdə_ɣan,89_fire
nə-vat,92_stone
ⁿtan,93_earthsoil
ᵐbɛtɪɸ,94_dust
na-wɛn,95_sand
na-u͂h,96_rain
ⁿdakran,97_cloud
nɛ-laŋ,98_wind
ᵐbɪtᵐbɪtekuru,99_thunder
vlax,100_lightning
na-vuŋa,102_fruit
na-vuŋa_na-ɣa,102_fruit
nɛ-nihɪtɛra,103_woodsforest
lɪᵐba,104_root
a-raŋə,105_branch
roxa,106_leaf
na-ɣa,107_wood
na-nih,108_grass
ni-at,110_thatchroof
na-in,111_house
na-rit,112_rope
na-hal,113_roadpath
i-nɛt,114_black
i-vuʃ,115_white
i-nial,116_red
i-məɣɛl,118_yellow
i-laⁿdlaⁿdə,119_big
i-ᵐbih,120_small
i-mon,121_sharp
i-ᵐbatot,122_bluntdull
i-nɣanə,123_shyashamed
i-trtəra,124_old
i-ros,125_painfulsick
i-nam,126_good
i-hat,127_bad
i-vratin,128_correcttrue
i-ⁿdʳoɸ,131_heavy
-nalɣa,134_cold
i-nɪnah,135_dry
i-wair,136_wet
i-məⁿdʳax,137_new
-mɛ,139_come
fɪal-an,140_walk
-turu,141_stand
-turu_mavʷɔ,141_stand
h-at,142_sit
h-at_litan,142_sit
i-soɸ,143_fall
i-soɸ,144_liedown
-ⁿdʳori,145_turn
ᵐba-heɣe,146_climb
huv-an,147_swim
i-ɣaɣaⁿd,148_flyverb
-sɛrɛɣe,149_throw
ᵐba-tahuwɛgi,150_hide
-wɛⁿdʳ,151_eat
ᵐba-ninin,152_drink
tⁿdi-han,154_spit
ᵐborbor,155_dream
netur-an_ᵐborbor,155_dream
i-neturu,156_sleep
i-sɛlip,157_live
i-nɛʰ,158_die
ᵐba-ruᵐbi-ni,159_kill
vɣaur-an,163_laugh
ŋar-an,164_cry
i-hir,165_blow
i-hul,166_burn
ᵐba-ruᵐbruᵐbi,168_pound
-ruᵐbi,169_hit
-tɛsi,170_cut
-tɛvɣahi,171_split
hu-tuwoni,174_hold
matahit-an,175_fear
ᵐba-sɪᵐbegi,176_count
e-vɪna-laŋ,177_breathe
-lu,178_vomit
-miši,179_tieup
ᵐba-vɛri,182_say
ko-koʃkoši,183_scratch
folvol-an,185_buy
-vnaɣe,186_steal
-lalaɸ,187_plant
-titin,188_cook
-ⁿdʳur,189_shoot
ⁿdah-an,190_work
-təɣahi,191_open
navil,290_full_moon
natɪmeraŋ,248_dry_season
nahɪu,411_rainy_season
lafxanta,243_deep_ocean
nami,252_earthquake
laŋirup,232_cyclone
nahɪu,446_storm
mbəlon_vat,225_cave
nijal,450_sun
ⁿdak,208_banyan_tree
naut,291_garden
nani,229_coconut
nambomb,337_coconut_sprout_meat
nambombsu,230_coconut_sprout
mbuʷak,485_taro_wet
mbet,249_taro_dry
kaka,496_yam
navis,207_banana
naut,453_taro_terrace
nəut_nakaka,497_yam_garden
mbətap,216_breadfruit
ⁿdat,224_casava
kumala,316_sweet_potato
navi,492_taro_wild
nambus,493_yam_wild
mboxo,396_pig
mboxo_ⁿdrom,401_pig_male
vereⁿd,398_pig_female
nauʷel,421_sea_worm
nawita,371_octopus
imbu,389_owl
