Larevatlarevat,English Translation
saɣaŋk,1_one
ru,2_two
tl,3_three
vɪs,4_four
lɪm,5_five
ⁿʒos,6_six
ⁿʒoru,7_seven
ⁿʒotl,8_eight
ⁿʒovɪs,9_nine
saŋavʊl,10_ten
n-sɔɣɔ,15_year
ⁿdʳɪlɪmɛt,16_right
xomʷɛr,17_left
ᵑgn,18_i
ᵑgomom,19_weallexcl
ᵑgaⁿdʳ,22_weallincl
ᵑgum,23_thou
ᵑɡam,24_youboth
ᵑgam,25_youall
ai,26_heshe
ⁿʧaɣan,30_what
taɣan,31_who
aimbɛn,32_where
vɪsax,34_how
ivisox,35_this
ivɛɾ,36_that
-aɣus,37_above
-avɛn,38_below
ᵐboɣʊt,39_ininside
ᵐbatɛr,40_head
ⁿʧamɪrɪ-n,41_hair
ᵑgʊnsʊ-n,43_nose
nɪ-var,48_hand
ᵐbarᵐbar-n,49_shoulder
ⁿʧɪlɛ-n,50_neck
ᵐbɪlɛr,51_back
ⁿdaldr,52_leg
nɪ-ⁿdʳ,53_blood
ⁿʧir,54_bone
nɪ-vr-xar,55_skin
ⁿdaᵐbaɣar,56_belly
nɪ-sɪnɛ-n,57_intestines
nɪ-sɪs,58_breast
nɪ-moᵐbu-n,59_liver
notrɛn,81_day
iᵐbuŋ,82_night
nɪvl,83_moon
mnʧe,84_star
na-rɛn,85_sky
na-ɣamp,89_fire
tl,90_smoke
na-vn,91_ash
naf,94_dust
no-os,96_rain
ⁿdoŋⁿdoŋ,97_cloud
n-laŋ,98_wind
ᵐbelevar,99_thunder
nɪ-vlvl,100_lightning
nɪ-sɛl,113_roadpath
-mœt͡s,114_black
-uvaɣe,115_white
-waⁿʧ,118_yellow
-tlɛmp,119_big
-noɣonsɪt,123_shyashamed
-terɛmp,124_old
-ⁿdʳɪs,126_good
-sœt,127_bad
-vaⁿdʳk,128_correcttrue
-mɪʧə,129_dirty
-ⁿdʳak,131_heavy
-asɔ,132_far
-vaχᵐbɔx,133_near
-melɣas,134_cold
-mɪmɪs,135_dry
-wɛr,136_wet
-mɛⁿdʳ,137_new
-ᵐbɛl,139_come
-loŋloŋ,140_walk
rɛ-vɪlɪs,145_turn
-sax,146_climb
-sɪlaɣn,150_hide
-mevɪn,162_sniffsmell
-smʙ,165_blow
-vaŋ,166_burn
-mɪtotox,175_fear
re-vɪɣʊn,176_count
ra-ᵑgʊs,177_breathe
