Morju,English Translation
limana,48_hand
limana pa mwɛl,17_left
limana marua,16_right
naŋna,52_leg
mijali,140_walk
ᵐbrava,113_roadpath
ojmi,139_come
ovae pa marua,145_turn
kulesi,147_swim
kororaki,129_dirty
ɛjaʷi,94_dust
kuliepena,55_skin
masna,51_back
mapena,444_stomach
puriju,54_bone
ɛsnena,57_intestines
puriare,59_liver
ᵐbraːjuna,58_breast
purkaonena,49_shoulder
nakiliaena,315_know_understand
stumena,458_to_think
maraʰu,175_fear
kuruta,53_blood
parna,40_head
kunɛkina,50_neck
ʷiluna,41_hair
kununa,43_nose
preːjalua,177_breathe
ponosia,434_sniff
mona,45_mouth
ᵐbraluena,47_tooth
purumɛnena,46_tongue
pĭtale,163_laugh
taŋgi,164_cry
amulua,178_vomit
plaːsirⁱ,154_spit
akĭnana,151_eat
karamuⁿmuja,464_to_chew
ᵐbraŋkape,188_cook
muña,152_drink
okanpuruʷe,212_to_bite
muña,448_suck
kiliŋgana,44_ear
ⁿdoŋge,161_hear
kⁿanɛrena,42_eye
psuja,160_see
maloːwo,153_yawn
momaljo,156_sleep
mono,144_liedown
amʷeninija,155_dream
tetano,142_sit
ɔsmalu,141_stand
jaːru,306_person
jaːrta,73_man
sira,74_woman
sisi,75_child
ɔʰu,79_husband
ɔʰu,80_wife
ataː,77_mother
aʰuːja,78_father
juma,111_house
juma majro,455_thatch
senaki,76_name
ɔʃa,182_say
 kilika,112_rope
ojaria,179_tieup
olijuʰaria,167_sew
suluʰaria,362_needle
aŋga dɔkul,173_hunt
apinija,189_shoot
mija:ea,184_stab
weʰa,169_hit
pⁿaʰu,186_steal
wemaria,159_kill
mererui,158_die
mal,157_live
kupar,183_scratch
oteʰa,170_cut
naki,107_wood
teʋaja,171_split
maːlna,121_sharp
pemaːlripo,122_bluntdull
mjumaʰe,190_work
omaːpla,187_plant
ⁿdataʰe,465_to_choose
kapuru,302_to_grow
sirɔp,181_swell
wiña,180_squeeze
owararia,174_hold
oʋisja,172_dig
aulja,185_buy
oklapuja,191_open
weʰa,168_pound
kwaːña,149_throw
mĭloru,143_fall
lokul,60_dog
manu,61_bird
kututusja,69_egg
wilumɛn,72_feather
akupena,71_wing
kaka,148_flyverb
kawe,66_rat
tata,336_meat
mĭlapa,258_fat
kesina,70_tail
lɔmara,63_snake
kuːlar,64_worm
kuːru,65_louse
naːmu,68_mosquito
kurumalil,67_spider
ika,62_fish
kona,130_rotten
kuruwasia,105_branch
masia,106_leaf
paŋgasia,104_root
aʷinasia,109_flower
ᵐbrasia,102_fruit
mamʷini,108_grass
purutano,93_earthsoil
klaʷɛr,92_stone
noːne,95_sand
wiː,86_water
ᵐlele,286_flow
esʷe,88_sea
kurusi,419_salt
napa,87_lake
jemarua,103_woodsforest
metaʷa,85_sky
kupariɔ,83_moon
ʷeruʷe,84_star
luːl,97_cloud
maʰo,340_fog
juwa,96_rain
pɔlul,99_thunder
jepina,100_lightning
naŋgi,98_wind
mjuwi,165_blow
jɛpsere,483_hot
mijaʷa,134_cold
mema,135_dry
metu,136_wet
urmi,131_heavy
kaːpi,89_fire
kaːpijanunu,166_burn
kaːpu meju,90_smoke
ejaʰə,91_ash
malolo,114_black
niwowo,115_white
mɛne,116_red
mĭleru,118_yellow
memena,117_green
tekɑːk,120_small
keviju,119_big
plas,426_short
pijaʷi,328_long
maʰula,457_thin
merorɔl,456_thick
ᵐbrapa tekak,359_narrow
ᵐbrapa keviju,489_wide
maʰeja,125_painfulsick
memawa,123_shyashamed
urumerua,124_old
uruʰiːju,137_new
poŋg̊a,126_good
piuaŋga/kaŋga,127_bad
mɛsmesɛŋg̊a,128_correcttrue
ejɛjlolo,82_night
lɛgena,81_day
kasa:j,15_year
lɛŋgenaja,33_when
anawaña,150_hide
apuju,146_climb
loʰima,39_ininside
metaʷa,37_above
ʷatano,38_below
naːnini,35_this
nane ngarne,36_that
laʷisi,133_near
pɛrna,132_far
pe,32_where
inu,18_i
ko,23_thou
naŋga,26_heshe
ita,22_weallincl
mim,19_weallexcl
italua,20_webothincl
aᵐlua,21_webothexcl
aᵐju,25_youall
aᵐjulua,24_youboth
laːna,27_theyall
nalua,28_theyboth
jaːne,30_what
ane,31_who
atapona,138_other
saone,195_all
saoluane,199_and
ʷisae,311_if
senave,34_how
perɛŋga,29_nonot
ɔloja,176_count
taŋga,1_one
lua,2_two
telu,3_three
ʷari,4_four
lima,5_five
orɐːj,6_six
olua,7_seven
orɛl,8_eight
oʰari,9_nine
lualima,10_ten
lualima lua,11_twenty
lualima lima,12_fifty
a ponotia,13_onehundred
manu,14_onethousand
