Sivitinjavtanmililib,English Translation
-soɣal,1_one
i-ru,2_two
i-til,3_three
i-vat,4_four
i-lim,5_five
-ɣɔn,6_six
-ɣɛᵐbit,7_seven
-xoɛl,8_eight
i-wɛsiv,9_nine
-zɛŋavil,10_ten
ŋovil_i-ɾu,11_twenty
ŋov_saŋavil,13_onehundred
ᵑgaka,15_year
matu,16_right
maiɾe,17_left
nɛ,18_i
kemam,19_weallexcl
nekir_iru,20_webothincl
nekir,22_weallincl
noχ,23_thou
kemi_iru,24_youboth
kemi,25_youall
xain,26_heshe
xair,27_theyall
xair_iru,28_theyboth
ɪ-saɣe,29_nonot
ⁿzaβ,30_what
sena,31_who
hambe,32_where
sɪveliŋ,33_when
i-plakɛnzaβ,34_how
xaɾi,35_this
-limsaχ,37_above
-mɛləvɛna,38_below
-lalɪn,39_ininside
ᵐbatu-k,40_head
vɪlɛn_ᵐbatu-k,41_hair
mɛta-gk,42_eye
ᵑgusu-k,43_nose
ᵐboɾo-k,44_ear
ⁿzoŋo-k,45_mouth
mimɛ-k,46_tongue
lɪvʷo-k,47_tooth
məɾa-k,48_hand
ⁿdahu-k,51_back
malɛ-k,52_leg
na-ɾɛ-na-k,53_blood
lawa-k,56_belly
na-zus,58_breast
nu-wuli,60_dog
manuh,61_bird
nɪ-mat͡s,62_fish
nɪ-mat,63_snake
na-ɣut,65_louse
na-xariv,66_rat
na-mux,68_mosquito
rulu-n_manuh,69_egg
wɪlɣau-n,70_tail
na-ɣpi-m,71_wing
vɪlɛ-n,72_feather
nɪ-miɾmɛɾɛ,73_man
nɛ-vɛnar,74_woman
liliʧiplɛx,75_child
lileɣ_zo-k,79_husband
nɛ-vɛnar_zo-k,80_wife
laran,81_day
labum,82_night
na-vilde,83_moon
wuworɔ,84_star
nɛ-ran,85_sky
nu͂-ah,86_water
malɛn,87_lake
ⁿdas,88_sea
na-ɣamb,89_fire
iɛs,90_smoke
holuvias,91_ash
nɪ-vat,92_stone
ⁿdan,93_earthsoil
na-on,95_sand
na-us,96_rain
laŋ,98_wind
ᵐbʷɛtekuɾ,99_thunder
nɪ-vɪlax,100_lightning
mɪsɣovina,101_meatflesh
no-vorɣa,103_woodsforest
na-ɣa,107_wood
na-muš,108_grass
ni-at,110_thatchroof
na-im,111_house
marit,112_rope
ⁿzal,113_roadpath
i-mɛɾmɛɾ,114_black
i-pɪsax,115_white
i-mial,116_red
i-ɣɪʧan,117_green
i-məɣɛl,118_yellow
i-lalamb,119_big
i-wɪlwɪle,120_small
tei-mʷon,121_sharp
i-pavʷot,122_bluntdull
nu-muwonɣɛn,123_shyashamed
-ⁿtɛɾtɛɾa,124_old
i-roʧ,125_painfulsick
i-nam,126_good
hi-sap,127_bad
i-lalo,129_dirty
i-roɸ,131_heavy
-luhuse,132_far
-xɛriv,133_near
-malaɣas,134_cold
hi-rom,136_wet
i-maraχə,137_new
-meh,139_come
nɪ-vial,140_walk
nɪ-tuɾ,141_stand
ne-at,142_sit
-ʧoβ_litan,143_fall
nɪ-metuɾ_litamb,144_liedown
nɪ-saχ,146_climb
nɪ-kaɾə,147_swim
nu-wɛrɪn,149_throw
ⁿtoruruŋini,150_hide
ŋor,151_eat
ni-min_nu-a,152_drink
nu-mumaɸ,153_yawn
nɛ-tipis,154_spit
nɪ-metur_worboro,155_dream
ni-metuɾ,156_sleep
i-meru,157_live
i-mɛs,158_die
nu-rup-i-mɛs,159_kill
nɪ-lis,160_see
no-roŋoi,161_hear
nɪ-ŋiɾɪ,163_laugh
nə-ŋaɾə,164_cry
i-sɛɾɛ,165_blow
i-ɣan,166_burn
no-rur,167_sew
no-rup,168_pound
nu-rup,169_hit
ne-te,170_cut
-ⁿtituaɣe,171_split
nu-ustuwun,174_hold
nɪ-mɪtaut,175_fear
ne-lulu,178_vomit
nɪ-mʷit͡s,179_tieup
nu-wis,180_squeeze
i-wuwun,181_swell
nə-wiɾe,182_say
nɪ-siɾɪ,184_stab
nu-wʊl,185_buy
nɪ-vɪnaɣe,186_steal
nu-ruɸ,187_plant
n-titin,188_cook
nɪ-soɾo,189_shoot
nɪ-pas,190_work
nɪ-teɾe,191_open
