Sivitinjavgonwar,English Translation
-soɣal,1_one
i-ɾu,2_two
i-til,3_three
i-vat,4_four
i-lim,5_five
-ɣɔn,6_six
-ɣɛᵐbut,7_seven
-xoɛl,8_eight
-ɣɛsiv,9_nine
-sɪŋavul,10_ten
ŋovil_i-ɾu,11_twenty
ŋov_sɪŋavul,13_onehundred
ᵑgaka_sohal,15_year
mʷɛtu,16_right
mʷiɾe,17_left
nɛ,18_i
nekir,22_weallincl
nox,23_thou
kemi_pʷɔ,24_youboth
kemi,25_youall
xaim,26_heshe
xair_pʷɔ,27_theyall
xair_pʷɔz_iru,28_theyboth
ⁿzaβ,30_what
sena,31_who
hambe,32_where
sɪveliŋ,33_when
-pəlakɪnzal,34_how
xaɾi,35_this
-limsax,37_above
-mɛləvɛna,38_below
-laɪm,39_ininside
ᵐbatu-k,40_head
roon_ᵐbatu-k,41_hair
mɪta-k,42_eye
ᵑgusu-k,43_nose
ᵐboɾo-k,44_ear
ⁿzoŋo-k,45_mouth
mimɛ-k,46_tongue
lɪvo-k,47_tooth
wəɾa-k,48_hand
ᵐbʷili-k,49_shoulder
ⁿzakɣa-k,50_neck
ⁿdahu-k,51_back
malɛ-k,52_leg
naɾɛnak,53_blood
ⁿʒi-k,54_bone
vɪlɛ_wəra-k,55_skin
lavoɣa-k,56_belly
ne-zus_so-k,58_breast
na-re_lalok,59_liver
guli,60_dog
manux,61_bird
nɪ-mat͡s,62_fish
nu-mat,63_snake
na-ɣut,65_louse
na-xariv,66_rat
ne-la,67_spider
na-mux,68_mosquito
rulu-n,69_egg
walɣona,70_tail
na-ɣɪpa-n,71_wing
vɪlɛ-n_na-to,72_feather
nɪ-vɛnar,74_woman
lɪlɪʧiplɛx,75_child
ni-iŋso-k,76_name
pɪpɪʰ,77_mother
tate_so-k,78_father
lileɣ_so-k,79_husband
nɪ-vɛnar_so-k,80_wife
laɾan,81_day
lapuŋ,82_night
na-vil,83_moon
wuwɛɾ,84_star
nɛ-ran,85_sky
nu͂-ah,86_water
malɛn,87_lake
ⁿdas,88_sea
na-ɣamb,89_fire
iɛs,90_smoke
woluvias,91_ash
nɪ-væt,92_stone
ⁿdan,93_earthsoil
ᵐbʷɪtnaɣaβ,94_dust
na-onʰ,95_sand
ne-ran,97_cloud
laŋ,98_wind
weɣe,102_fruit
no-woɣoɣa,103_woodsforest
raŋ_na-ɣa,105_branch
roɣo,106_leaf
na-ɣa,107_wood
na-miš,108_grass
ni-at,110_thatchroof
marit,112_rope
ⁿzal,113_roadpath
i-mɛɾə,114_black
i-pɪsax,115_white
i-mial,116_red
i-ɣɪʧan,117_green
i-məɣɛl,118_yellow
i-lalamb,119_big
i-wɪlwɪle,120_small
tu-mʷon,121_sharp
i-papot,122_bluntdull
numuwonɣɛn,123_shyashamed
i-tɪɾa,124_old
iroʧ,125_painfulsick
i-namə,126_good
i-sat,127_bad
ho-wuratin,128_correcttrue
i-lalo,129_dirty
i-pɔw,130_rotten
i-rov,131_heavy
-luvse,132_far
rirgərivʷə,133_near
-malaɣas,134_cold
i-mimas,135_dry
i-rom,136_wet
mʷɪlakɛl,137_new
-mʷɛ,139_come
nɪ-vial,140_walk
nɪtuɾ,141_stand
neat,142_sit
-t͡soɸ,143_fall
nɪ-metuɾ_vanlitamb,144_liedown
-ror,145_turn
na-kaɾə,147_swim
hi-ɣiɣamp,148_flyverb
-wɛrɪn_lue,149_throw
-tosusuwun,150_hide
n-or,151_eat
nɪ-min,152_drink
nu-mumaβ,153_yawn
nɪ-tɪpis,154_spit
nɪ-metuɾ_porpoɾo,155_dream
nɪ-mɛtuɾ,156_sleep
i-meruɸ,157_live
pɪ-mɛs,158_die
-rupin_ⁿpɪ-mɛs,159_kill
nɪ-lɪs,160_see
no-roŋɔ,161_hear
nɛ-tuvin,162_sniffsmell
nɪ-ŋiɾɪ,163_laugh
nə-ŋaɾə,164_cry
i-sɛɾɛ,165_blow
s-ɣɛn,166_burn
noruprup,168_pound
-rup,169_hit
-te,170_cut
-tɪtuaɣe,171_split
nuustuwun,174_hold
nɪ-mɪtahut,175_fear
-ʧɪpʷɪn,176_count
nɪ-vɪ-laŋ,177_breathe
nu-lulu,178_vomit
-mʷit͡s,179_tieup
-wus,180_squeeze
i-ləɣin,181_swell
nə-wiɾe,182_say
-kot͡s,183_scratch
-wɔlɔ,185_buy
xa-vɪnax,186_steal
ɣɪ-suvʷake,187_plant
nɪ-titin,188_cook
-soɾo,189_shoot
-pas,190_work
-wale,191_open
