Safyangtus,English Translation
suf,1_one
mbeiju,2_two
mbecil,3_three
mbefit,4_four
mbelim,5_five
mbelefsuf,6_six
mbelefru,7_seven
mbelifcil,8_eight
beliapat,9_nine
lufulsuf,10_ten
ram,15_year
ŋanto,16_right
mbeminmi,17_left
ni,18_i
ɡema,19_weallexcl
kaku,20_webothincl
mejako,21_webothexcl
kik,22_weallincl
ik,23_thou
miaxo,24_youboth
kimi,25_youall
i,26_heshe
ei,27_theyall
eijako,28_theyboth
ehe,29_nonot
sa,30_what
se:,31_who
mbe,32_where
nanis,33_when
eme,37_above
pan,38_below
lon,39_ininside
butum,40_head
fulum,41_hair
fantam,42_eye
ɡusun,43_nose
ɡainim,44_ear
pa:ntun,45_mouth
min,46_tongue
lufun,47_tooth
fejam,48_hand
fesen,49_shoulder
bitnan,50_neck
ahalum,51_back
silim,52_leg
ranam,53_blood
baisun,54_bone
mbelan,55_skin
tep̚wam,56_belly
cinin,57_intestines
sun,58_breast
melantun,59_liver
sal,60_dog
mbisil,61_bird
mahalo,62_fish
taicel,63_snake
u:t,65_louse
tema,66_rat
tamla,67_spider
paŋkin,68_mosquito
asɸun,69_egg
metafice,70_tail
alɸun,71_wing
antunsuf,73_man
isuwin,74_woman
mulute,75_child
sim,76_name
cucu,77_mother
tetat,78_father
urmejan,81_day
buŋ,81_day
uɾpas,82_night
ful,83_moon
cuɸuɾɸuɾ,84_star
lomtaijan,85_sky
wa,86_water
tas,88_sea
ap,89_fire
suap,90_smoke
fafna,91_ash
fat,92_stone
tan,93_earthsoil
on,95_sand
os,96_rain
laŋ,98_wind
uɾɸwil,100_lightning
fin,101_meatflesh
fafice,102_fruit
lobubu:t,103_woodsforest
fujece,104_root
lofeace,105_branch
jabutua,106_leaf
suflis,108_grass
fiŋibutua,109_flower
im,111_house
aula,112_rope
imamlimlik,114_black
impalpal,115_white
imapipi,116_red
imaɣsan,117_green
mlitlit,118_yellow
imbetlap,119_big
watiti,120_small
imaŋkankan,121_sharp
imberfo,126_good
imsaŋa,127_bad
imaknon,128_correcttrue
soksokmamnumnu,129_dirty
imamrat,130_rotten
imahamaf,131_heavy
oɾioɯt,132_far
ŋawilan,133_near
miɾit,134_cold
meŋas,135_dry
imames,136_wet
imaŋɡal,137_new
can,138_other
imbama,139_come
sasan,140_walk
imbi,142_sit
impes,143_fall
imapla,146_climb
imlos,147_swim
pahane,149_throw
anjan,151_eat
imin,152_drink
kusɸe,154_spit
iŋwele,155_dream
mamci,156_sleep
mwijan,157_live
imat,158_die
maisi,160_see
imaeŋo,161_hear
bon,162_sniffsmell
manan,163_laugh
omafi,165_blow
paŋse,166_burn
mahalohlo,167_sew
imici,169_hit
imaɾe,170_cut
maɣli,172_dig
itaŋɡete,174_hold
imamta,175_fear
imbili,176_count
lowan,178_vomit
masɸwe,179_tieup
impuhune,180_squeeze
imaklo,181_swell
impe,182_say
imake,183_scratch
imaifi,187_plant
oman,190_work
masfane,191_open
