Sesake (Emae),English Translation
naŋmwelɛæ:ɾu,48_hand
mau,17_left
matuwa,16_right
natuwa,52_leg
kusurata,140_walk
nambuwa,113_roadpath
k͡pafe,139_come
k͡pətowa,145_turn
loloso,147_swim
emere,129_dirty
ejasuwasuwa,94_dust
nawili,55_skin
naŋ͡mwamaduma,51_back
naŋbwele,444_stomach
naɸ ̚atu,54_bone
ŋamuŋamu,57_intestines
nandankapu,59_liver
næsus,58_breast
naŋ͡bauma,49_shoulder
kuminondoa,458_to_think
kumataku,175_fear
nanda,53_blood
naŋ͡bauma,40_head
nakandanɪjo,50_neck
nalulu,41_hair
naŋisuma,43_nose
waɸuwanalaŋi,177_breathe
kuisɯindoŋoa,162_sniffsmell
naŋolɪmwa,45_mouth
nambatima,47_tooth
namenama,46_tongue
kumuɾu,163_laugh
kumkai,164_cry
kuluwa,178_vomit
kupupuræi,154_spit
kumgankani,151_eat
kualisaŋma,464_to_chew
kupeni,188_cook
kumunu,152_drink
kuŋkatija,212_to_bite
kususu,448_suck
nandaliŋa,44_ear
kundoŋo,161_hear
namatama,42_eye
kupunɯs,469_to_see
kuŋ͡momoa,153_yawn
kumatur,156_sleep
kuk͡pwereja,155_dream
kusawa,429_sit_down
nataŋ͡moli,73_man
naŋgoroi,74_woman
tejakik,75_child
kanau anejana,79_husband
naŋgoroi anejan,80_wife
tete,77_mother
popo,78_father
ekupu,111_house
naŋisa,76_name
natali,112_rope
k͡pasili,179_tieup
k͡pwaturi,167_sew
laŋa,173_hunt
k͡pwasui,189_shoot
ək͡papuɸuri,184_stab
wokat,169_hit
pənako,186_steal
k͡pawokapunue,159_kill
emate,158_die
ŋgaruiti,183_scratch
k͡patae,170_cut
nakau,107_wood
tak͡pwarae,171_split
emakali,121_sharp
ek͡polu,122_bluntdull
kukpusuwus,190_work
andapui,465_to_choose
episou,302_to_grow
epuka,181_swell
k͡pawowosaŋa,180_squeeze
k͡palikoa,174_hold
k͡pwakili,172_dig
ɸaŋkotoi,185_buy
walaŋati,191_open
wəwokath,168_pound
endowo,143_fall
korija,60_dog
manu,61_bird
atolu,69_egg
naŋ͡mauna,72_feather
nafaruna,71_wing
entiɾi,148_flyverb
kusuwe,66_rat
naŋ͡bokasɪ,336_meat
waŋko,396_pig
naŋ͡beletija,258_fat
