Ctltawetnarovorovo,English Translation
tuale,1_one
rua,2_two
tol,3_three
fat,4_four
tevelma,5_five
leftuale,6_six
lafrua,7_seven
laftol,8_eight
livat,9_nine
saŋaβul,10_ten
saŋaβul_rua,11_twenty
saŋaβul_tevelma,12_fifty
mʷelⁿdol,13_onehundred
mʷotartʋʷale,14_onethousand
ⁿdam,15_year
matua,16_right
haloa,17_left
kamirua,21_webothexcl
kamrua,24_youboth
kamar,25_youall
hira,27_theyall
rafrua,28_theyboth
tei,29_nonot
sa,30_what
ise,31_who
saβa_taro,33_when
forsah,34_how
ulna,37_above
fafah,38_below
loloh,39_ininside
ᵐbʷatuh,40_head
uluh,41_hair
matah,42_eye
lisuh,43_nose
ᵐboroh,44_ear
ɸʷaɸʷah,45_mouth
luameh,46_tongue
liɸʷox,47_tooth
limah,48_hand
tuᵐbʷah,49_shoulder
xoah,50_neck
tahuh,51_back
karuh,52_leg
ⁿdi,53_blood
suruh,54_bone
finuh,55_skin
taŋah,56_belly
tnaɪ,57_intestines
susu,58_breast
fara,59_liver
hiriu,60_dog
man,61_bird
mas,62_fish
mʷahata,63_snake
slate,64_worm
mʷaⁿdi,65_louse
hariβ,66_rat
taha,67_spider
nam,68_mosquito
toltoa,69_egg
holoh,70_tail
ᵐbaniʰ,71_wing
uluʰ,72_feather
mʷereta,73_man
ɸaβine,74_woman
mʷera,75_child
sasah,76_name
ᵐbʷau,77_mother
tata,78_father
tamarasuk̚,79_husband
rainatuk̚,80_wife
uta_ran,81_day
uta_ᵐboŋ,82_night
fula,83_moon
fitiu,84_star
taelaŋ,85_sky
wi,86_water
ᵐbulo,87_lake
tas,88_sea
jaβ,89_fire
jas,90_smoke
taniaβ,91_ash
fat,92_stone
tano,93_earthsoil
taniaβ,94_dust
une,95_sand
usa,96_rain
taetae,97_cloud
laŋ,98_wind
manfara,99_thunder
fla,100_lightning
ᵐbix,101_meatflesh
ɸʷiaʰ,102_fruit
utamatua,103_woodsforest
xoar,104_root
raŋah,105_branch
ⁿdux,106_leaf
hai,107_wood
ᵐbalis,108_grass
frax,109_flower
imʷa_ⁿdu,110_thatchroof
imʷa,111_house
xaʊ,112_rope
sala,113_roadpath
maɪto,114_black
oβʷoβo,115_white
memea,116_red
malahesa,117_green
jaŋoha,118_yellow
mʷaŋas,119_big
rikrik,120_small
mamatan,121_sharp
ᵐbʷatola,122_bluntdull
maman,123_shyashamed
monha,124_old
wawale,125_painfulsick
harea,126_good
sat̚,127_bad
fʷiah,128_correcttrue
saŋora,129_dirty
ⁿdar,130_rotten
ⁿdem,131_heavy
hamʷaⁿdi,134_cold
raraka,135_dry
samʷale,136_wet
haraᵐbʷe,137_new
tuara,138_other
fanma,139_come
haʊ,140_walk
tul,141_stand
mʷam,142_sit
soe,143_fall
weno,144_liedown
weteris,145_turn
kalo,146_climb
hahar,147_swim
haɸa,148_flyverb
ᵐbʷaleh,149_throw
silβah,150_hide
hanhan,151_eat
min,152_drink
mʷamaoβa,153_yawn
fra,154_spit
matur_ᵐboʷrᵐbʷore,155_dream
matur,156_sleep
mʷasoa,157_live
mate,158_die
wasɸamate,159_kill
weteʰ,160_see
roŋota,161_hear
reβesae,162_sniffsmell
mɐna,163_laugh
ŋara,164_cry
sere,165_blow
mʷaβ,166_burn
tuɣur,167_sew
waswasia,168_pound
was,169_hit
ti,170_cut
ⁿdara,171_split
hil,172_dig
xaoxao,173_hunt
tor,174_hold
matah,175_fear
falfal,176_count
maᵐbus,177_breathe
lulua,178_vomit
wet̚,179_tieup
fɪris,180_squeeze
riha,181_swell
ɸeβe,182_say
takar,183_scratch
sus,184_stab
fʷol,185_buy
ᵐbalᵐbal,186_steal
riβ,187_plant
tutun,188_cook
ɸene,189_shoot
roᵐba,190_work
roa,191_open
