Nsungwadiatasmaor,English Translation
tewa,1_one
rua,2_two
tolu,3_three
ɸati,4_four
taβalima,5_five
laβatea,6_six
laβarua,7_seven
laβatolu,8_eight
laɸat,9_nine
saŋɡulu,10_ten
sawul_rua,11_twenty
sawul_taβalima,12_fifty
ŋʷeⁿdolu_tewa,13_onehundred
tari_ɸatewa,14_onethousand
ⁿdam,15_year
matoa,16_right
xalawa,17_left
nau,18_i
kaimi,19_weallexcl
xiⁿdarua,20_webothincl
kaimirua,21_webothexcl
xinda,22_weallincl
niko,23_thou
kamuruaŋa,24_youboth
kamurua,24_youboth
kamu_wurwuri,25_youall
ia,26_heshe
iraŋ_rasera,27_theyall
ira_ruaŋa,28_theyboth
diɣai,29_nonot
saβa,30_what
sei,31_who
ᵐbei,32_where
saβa_taro,33_when
kikaka,35_this
iakivanu,36_that
le_woŋana,37_above
le_faina,38_below
le_lolona,39_ininside
ᵐbʷatui,40_head
kʷatui,40_head
ului,41_hair
matai,42_eye
lisu-ku,43_nose
ᵏpʷoroi,44_ear
lolβalai,45_mouth
lueɪmei,46_tongue
liwoi,47_tooth
limai,48_hand
tikʷaŋi,49_shoulder
ⁿdaloi,50_neck
taɰʷi,51_back
roŋoi,52_leg
ⁿdai,53_blood
suri,54_bone
ɸinui,55_skin
takʷaŋi,56_belly
tinei,57_intestines
susui,58_breast
farai,59_liver
wiriu,60_dog
manu,61_bird
masi,62_fish
mʷaɣata,63_snake
sulate,64_worm
wutu,65_louse
xariβi,66_rat
taɣaɣa,67_spider
namu,68_mosquito
toli,69_egg
xoloi,70_tail
ᵐbani,71_wing
ului,72_feather
wului,72_feather
tatua,73_man
taiŋʷa,74_woman
mʷerariki,75_child
sasai,76_name
ɸeβe,77_mother
βeβe,77_mother
tata,78_father
tama-ku,78_father
tuᵐbu-ku,79_husband
nok_taiŋʷa,80_wife
namarani,81_day
ᵑɡʷõŋi,82_night
wula,83_moon
ɸitiu,84_star
taetae,85_sky
ᵐbei,86_water
ᵐbʷaka,87_lake
tasi,88_sea
aβi,89_fire
asu,90_smoke
ⁿdiɣevu,91_ash
ɸatu,92_stone
tano,93_earthsoil
tak_waswasu,94_dust
tak_wasuwasu,94_dust
one,95_sand
usa,96_rain
taetae,97_cloud
laŋi,98_wind
manfara,99_thunder
manvara,99_thunder
ɰʷaŋa,100_lightning
fisiɣo,101_meatflesh
fisiɰo,101_meatflesh
oina,102_fruit
lolwono,103_woodsforest
xoari,104_root
raiɣi,105_branch
ⁿdou-na,106_leaf
xaiɣa,107_wood
ɸalisi,108_grass
mamtasina,109_flower
ⁿdofale,110_thatchroof
fale,111_house
xæi,112_rope
sala,113_roadpath
ososo,114_black
siŋara,115_white
memea,116_red
maleɣesaɣa,117_green
ãwõŋaxa,118_yellow
menasi,119_big
lata,119_big
ɸaɸai_riki,120_small
xaxani,121_sharp
ᵏpʷatᵏpʷato,122_bluntdull
roroŋo,123_shyashamed
tamaraɣayi,124_old
xaⁿdiri,125_painfulsick
wia,126_good
seseta,127_bad
taniɣa,128_correcttrue
oro,129_dirty
ⁿdaru,130_rotten
weⁿda,131_heavy
lakfanuraⁿdu,132_far
lakfandraⁿdu,132_far
firtaxi,133_near
firtaɣi,133_near
maⁿdiŋi,134_cold
mamasa,135_dry
ᵏpʷoᵏpʷoɣa,136_wet
xaraᵏpʷa,137_new
tuaraŋa,138_other
sumai,139_come
rasu,140_walk
tura,141_stand
tosuɰʷo,142_sit
ŋʷaⁿdaŋe,143_fall
eβasuɰʷo,144_liedown
sorsiko,145_turn
fenaɣa,146_climb
xaxaru,147_swim
xaɣa,148_flyverb
xaxa,148_flyverb
wasaɣi_sonia,149_throw
tau_niɣia,150_hide
xanxani,151_eat
ima,152_drink
taraŋava,153_yawn
ɰʷura,154_spit
ɡʷore,155_dream
maturu,156_sleep
awe,157_live
mate,158_die
kʷisia_na_mate,159_kill
ete,160_see
roŋo,161_hear
mana,163_laugh
ŋara,164_cry
uβi,165_blow
aᵏpʷa,166_burn
firo,167_sew
kʷisia,169_hit
taiʲa,170_cut
titia,171_split
xilia,172_dig
xʷilia,172_dig
mata,173_hunt
tori,174_hold
ruwaɣa,175_fear
ɸalua,176_count
reβe_namaᵐbusi-ŋa,177_breathe
lulua,178_vomit
lixo_tortoroɡia,179_tieup
ᵏpʷoŋoa,180_squeeze
loloᵐbu,181_swell
feti,182_say
takara,183_scratch
susua,184_stab
wolia,185_buy
ᵐbalu-a,186_steal
riwu,187_plant
raŋai,188_cook
fene,189_shoot
ⁿdamasiŋa,190_work
saŋaβia,191_open
