Petawata,English Translation
tarpoe vaha tewa,14_onethousand
laβul pitu,424_seventy
sena raβ lima,284_fifteen
naβul tol,460_thirty
sena raβ pitu,423_seventeen
lavil vaha tewa,13_onehundred
tewa,1_one
senaβul,10_ten
t͡ʃiwa,9_nine
laβulima,12_fifty
rua,2_two
lima,5_five
sena raβ tewa,257_eleven
sena raβ ono,430_sixteen
sena raβ t͡ʃiwa,367_nineteen
laβul al,256_eighty
laβul ono,431_sixty
vati,4_four
tolu,3_three
naβul vat,289_forty
halu,8_eight
naβulu rua,11_twenty
sena raβ rua,477_twelve
sena raβːat,288_fourteen
pitu,7_seven
laβul t͡ʃiwa,368_ninety
hono,6_six
sena raβ al,255_eighteen
sena raβ tol,459_thirteen
rot͡ʃo harahae,478_umbilical_cord
hapatia βari haβsa,290_full_moon
tarainin,446_storm
maːtuj,229_coconut
mʷaso talahia mena usa,325_sun_shower
βia hana panlaj,492_taro_wild
pontar,372_offerings_to_ancestors
hapatia simana luhana,303_half_moon
poe patina,402_pig_tusk
ran hina usa,411_rainy_season
wotwot tuhua,401_pig_male
merena maraj,410_rainbow
taw marua,413_restricted_place
paʔa,208_banyan_tree
hwita,371_octopus
ran hina mʷaso,248_dry_season
hapatia laho,364_new_moon
tas hae,253_east
peho,216_breadfruit
oβo,417_sail
umʷa,291_garden
laŋ los,232_cyclone
ue,246_dolphin
haʔae mʷala,408_pregnant
pʷetuna tas hae,370_north
tana,483_hot
mʷaso,450_sun
hapu,223_canoe
uʔuh,338_menstruation
ure,398_pig_female
olot͡ʃuro,438_south
mʷalo,412_reef
am,496_yam
muj,252_earthquake
taβu,494_womb
paheo,425_shark
tana hina paule,227_chief
sula puhut,230_coconut_sprout
pʷeta,485_taro_wet
mol,227_chief
poe,396_pig
rawe,399_pig_hermaphrodite
tas tup,461_tsunami
βia,249_taro_dry
pʷanamʷalo,225_cave
tas mʷalhet͡ʃa,243_deep_ocean
sari,474_wood_for_moving_stones
βatal,207_banana
tapeoku,333_manioc
halo,493_yam_wild
tas lamane,488_west
mat͡ʃoe,84_star
s̠ulia,189_shoot
taŋ,164_cry
vicevice,188_cook
t͡ʃiwa,9_nine
suiʔu,54_bone
taβari,137_new
roβroβuh,195_all
patiku,47_tooth
wawaw,45_mouth
mapʷeʔu,59_liver
tas,88_sea
raːrana,105_branch
pʷaja,42_eye
nire,199_and
losia,169_hit
matat͡ʃia,489_wide
haβena,71_wing
tapuret,119_big
taːno,93_earthsoil
limaku,48_hand
nao,18_i
hapatia,83_moon
otolŭ,69_egg
pitu,7_seven
nᵈɻoːnᵈɻo,82_night
βanotoho,132_far
sale,148_flyverb
ʔawʔawea,129_dirty
telan,85_sky
mano,61_bird
sinia,138_other
t͡ʃamah kaura,212_to_bite
mamahano,123_shyashamed
loloso,147_swim
ponpon,162_sniffsmell
puhet,131_heavy
lolona,39_ininside
maturpore,155_dream
plako,465_to_choose
t͡ʃoβ,143_fall
rarua,28_theyboth
pʷanesa,33_when
loslosia,168_pound
taun,15_year
erisa,136_wet
pahɪ,63_snake
t͡ʃaŋ kaura,179_tieup
nanetel,362_needle
tolŭ,3_three
hariβ,66_rat
nia ʔaβano,36_that
sosohon,258_fat
tiɦej,35_this
maraw,17_left
tarpoe βaha tewa,14_onethousand
sesere,140_walk
naβulurua,11_twenty
pakaβ,94_dust
tineʔu,57_intestines
ʔalu,49_shoulder
ima,111_house
pej,86_water
awe,130_rotten
wot͡ʃakalae,171_split
rua,2_two
kakara,116_red
kakan,121_sharp
amto,25_youall
koko,97_cloud
kakatu,146_climb
tamaku,78_father
sariko,52_leg
βulŭ,72_feather
matua,16_right
tas wuso,419_salt
nia,26_heshe
maur,157_live
virana,109_flower
vat,4_four
warae,34_how
noʔ mawa,80_wife
tatawora,133_near
manoso,177_breathe
wulu,41_hair
han,151_eat
aːs,112_rope
lamane,73_man
hise,76_name
saβa,30_what
arua,20_webothincl
halo,8_eight
maleo,64_worm
hutŭ,65_louse
mataβiltewa,359_narrow
amrua,24_youboth
pa,311_if
βaβana,38_below
siamanrua,21_webothexcl
βetia,182_say
laŋ,98_wind
sohon,181_swell
tewa,1_one
ʔo,152_drink
t͡ʃama,464_to_chew
woce,115_white
perehaj,145_turn
hit͡ʃerereja,180_squeeze
wotoa,175_fear
nopu,87_lake
hurae,184_stab
lelto,29_nonot
roβo,165_blow
paʔaβu,91_ash
tupuku,79_husband
mʷat͡ʃina pʷel na raun haw,117_green
haw,107_wood
hat͡ʃhat͡ʃ,125_painfulsick
pʷatuʔu,40_head
hamarirɪ̆,134_cold
pahia,170_cut
mʷat͡ʃina,118_yellow
loloran,315_know_understand
iha,62_fish
pʷalanaku,55_skin
lorahaw,103_woodsforest
usa,96_rain
la,202_at
sapʷwelele,127_bad
ruŋia,99_thunder
mohɪ,68_mosquito
tahariʔi,120_small
rauna,106_leaf
haria,176_count
haʔaβu,340_fog
sapakakan,122_bluntdull
tinaku,77_mother
sule,92_stone
lua,178_vomit
tauna,102_fruit
pej roβo kaura,286_flow
naβulima,12_fifty
hone,95_sand
solpuruna,456_thick
oɾu,135_dry
wose,166_burn
haroβia,183_scratch
tatahol,128_correcttrue
ʔalo,50_neck
maβʷinβʷin,457_thin
wulewuleja,149_throw
sej,31_who
tiaʔo,56_belly
sohsiβu,142_sit
somae,139_come
maeto,114_black
roŋoe,161_hear
hanmauɸ,153_yawn
t͡ʃiŋaɦo,156_sleep
wares,124_old
hasu,90_smoke
turtatania,167_sew
laŋae,191_open
mahaβi,53_blood
lele,126_good
pʷaja,160_see
uria,172_dig
wolia,185_buy
pes,60_dog
maːte,158_die
losmeteja,159_kill
let͡ʃmare,100_lightning
sus kaura,448_suck
tartohŭ,174_hold
pʷwerepʷere,108_grass
lawoe,187_plant
memeʔu,46_tongue
loto,154_spit
mana,163_laugh
punia,150_hide
melae,32_where
hwarina,104_root
tu̹tu̹n,483_hot
palihoe,186_steal
t͡ʃurpes,173_hunt
senaβul,10_ten
ratolŭ,27_theyall
haʔae,74_woman
hapu,89_fire
lel βaha tewa,13_onehundred
lapʷena,70_tail
mauri,302_to_grow
masea,37_above
rio,416_road
ran,81_day
niho,23_thou
anlaʔu,44_ear
warːihi,426_short
susu,58_breast
t͡ʃiŋaɦo siβu,144_liedown
paraβ,328_long
lilimahi,458_to_think
litiku,51_back
taraβ,336_meat
atolŭ,22_weallincl
talawa,455_thatch
taʔua,306_person
paule,75_child
tuβsah,141_stand
uono,6_six
waraw,190_work
nonoʔŭ,43_nose
lima,5_five
pʷara,67_spider
