Safponof,English Translation
suf,1_one
beiju,2_two
butua,3_three
mbefit,4_four
mbelim,5_five
mbelefsuf,6_six
mbelefɾu,7_seven
mbelifcil,8_eight
mbelijapat,9_nine
lufulsuf,10_ten
ndam,15_year
mbim,16_right
mbiɾimenmi,17_left
ɪk,18_i
nɪ,18_i
ɡema,19_weallexcl
kako,20_webothincl
mejako,21_webothexcl
kɪt,22_weallincl
ɪk,23_thou
nɪ,23_thou
kecixin,27_theyall
ejako,28_theyboth
ehe,29_nonot
sa,30_what
se,31_who
ofafe,32_where
nanis,33_when
pan,38_below
lon,39_ininside
mbutum,40_head
fulum,41_hair
fantan,42_eye
ɡusun,43_nose
ŋɡainim,44_ear
pam,45_mouth
min,46_tongue
lufon,47_tooth
feam,48_hand
fesen,49_shoulder
mitnan,50_neck
ahalum,51_back
sinlem,52_leg
danan,53_blood
baɾsun,54_bone
mbelam,55_skin
tepan,56_belly
cinim,57_intestines
melan,59_liver
kuli,60_dog
sal,60_dog
mbɪsɪl,61_bird
mahalo,62_fish
talcil,63_snake
u:t,65_louse
tema,66_rat
tamla,67_spider
mbaŋkin,68_mosquito
aspun,69_egg
ɡe:n,70_tail
alpun,71_wing
aɾman,73_man
isfin,74_woman
molote,75_child
sen,76_name
cucu,77_mother
tetat,78_father
lonfiŋian,81_day
uɾmamlik,82_night
lopas,82_night
fʊl,83_moon
cubuibui,84_star
tenlaŋ,85_sky
wa,86_water
tas,88_sea
ap,89_fire
suwap,90_smoke
fat,92_stone
tan,93_earthsoil
on,95_sand
us,96_rain
laŋ,98_wind
baɾuɾui,99_thunder
oɾbil,100_lightning
fiskon,101_meatflesh
fafice,102_fruit
bubu:t,103_woodsforest
foijəci,104_root
feabutua,105_branch
sexa,106_leaf
suflis,108_grass
fiŋebutua,109_flower
im,111_house
aula,112_rope
sal,113_roadpath
mamlimlik,114_black
palpal,115_white
mapipi,116_red
maxsaxsan,117_green
lɪtlɪt,118_yellow
bedlap,119_big
kenken,120_small
maŋkan,121_sharp
kavian,125_painfulsick
mbeɾfun,126_good
imsaŋa,127_bad
maknon,128_correcttrue
imbo,130_rotten
mahamaf,131_heavy
oriot,132_far
bilan,133_near
miɾit,134_cold
maiŋas,135_dry
mames,136_wet
oɾma,139_come
sasan,140_walk
ombi,142_sit
ompɪs,143_fall
epat,144_liedown
tepla,146_climb
mloholos,147_swim
pahane,149_throw
ɪmbaeme,150_hide
anjan,151_eat
omin,152_drink
kusve,154_spit
paɾmele,155_dream
mamcuwi,156_sleep
mwijan,157_live
matan,158_die
omaise,160_see
maeŋo,161_hear
mbon,162_sniffsmell
man,163_laugh
mafi,165_blow
mahalopelaul,167_sew
oɾici,169_hit
teri,170_cut
ekil,172_dig
taŋɡete,174_hold
mamta,175_fear
oɾbili,176_count
mlo,178_vomit
masβe,179_tieup
puhune,180_squeeze
maklo,181_swell
ompe,182_say
oŋkike,183_scratch
oman,190_work
