Portsandwichmerivar,English Translation
-ʧika,1_one
e-ʉ,2_two
ɛ-roi,3_three
ɛ-vaʧ,4_four
ɛ-rim,5_five
ɛ-mo-ʧukai,6_six
ɛ-mo-ɣʉ,7_seven
ɛ-moɣu-roi,8_eight
ɛ-moɣu-paʧ,9_nine
e-sɪŋeap˺,10_ten
baleʉ,11_twenty
belerim,12_fifty
balesɪŋeap˺,13_onehundred
siɣɔ,15_year
ta-ɣavoi,16_right
ta-maɛr,17_left
inao,18_i
namite,19_weallexcl
ⁿdʳaʉ,20_webothincl
namʉ,21_webothexcl
ⁿdʳate,22_weallincl
xaiŋ,23_thou
xamʉ,24_youboth
xamite,25_youall
nai,26_heshe
xate,27_theyall
ɣaʉ,28_theyboth
ʉ-rimʷe,29_nonot
nisava,30_what
xase,31_who
ambi,32_where
ŋais,33_when
ᵑgɛᵐbe,34_how
-poɣɛr,37_above
-pɛvaɣer,38_below
-leim,39_ininside
ᵐbarʉ-n,40_head
mara-n,42_eye
xonusu-n,43_nose
ⁿdariŋan,44_ear
ᵐbaŋo-n,45_mouth
-mɛmɛ-n,46_tongue
rivʷo-n,47_tooth
vea-n,48_hand
ᵐbarvʷosa-n,49_shoulder
honuha-n,50_neck
maⁿdʳu-n,51_back
riɛ-m,52_leg
na-ⁿdʳe,53_blood
ᵐbulɛᵐbul,54_bone
nu-roɣɛr,55_skin
ᵐbəɣavu-n,56_belly
ʧinɛ-n,57_intestines
susu-n,58_breast
na-mam,59_liver
lipax,60_dog
na-man,61_bird
na-jiɣ,62_fish
na-mar,63_snake
na-ɣor,65_louse
ɣasuβ,66_rat
na-nam,68_mosquito
mʷɛⁿdʳe,69_egg
ᵑgiɣɛr,70_tail
kobea-n,71_wing
vuɣɛr,72_feather
simbeu,73_man
arbaix,74_woman
ruware,75_child
na-ɣis,76_name
ina,77_mother
rama-,78_father
sʉa-n,79_husband
sʉa-n,80_wife
na-ᵐboŋ,81_day
lʉmariŋ,82_night
ᵐbaʧi,83_moon
maʧoi,84_star
na-maβ,85_sky
no-ai,86_water
no-ai_moⁿdar,87_lake
na-ɣamb,89_fire
ᵐbasuɣamb,90_smoke
masiaβ,91_ash
na-var,92_stone
na-ran,93_earthsoil
masiap˺,94_dust
na-on,95_sand
na-us,96_rain
ᵐbanuᵐban,97_cloud
ne-an,98_wind
ɣuvɛ,99_thunder
na-vi,100_lightning
visox,101_meatflesh
vaɣɛr,102_fruit
liɣaiɣai,103_woodsforest
ʧiriɣɛr,104_root
paʧuɣɛr,105_branch
nu-kai,106_leaf
na-ɣai,107_wood
mɛⁿdʳəβ,108_grass
pusaɣɛr,109_flower
ni-ar,110_thatchroof
na-im,111_house
na-ɣʉ,112_rope
puse,113_roadpath
-brəmər,114_black
-pəɣapuɣ,115_white
-psiᵐbis,116_red
-kɪnat͡ʃ,117_green
-ŋoaŋ,118_yellow
-ᵐbao,119_big
-keke,120_small
e-kan,121_sharp
-ʙut,122_bluntdull
-ɣivor,124_old
-masax,125_painfulsick
e-ᵐboi,126_good
-samb,127_bad
-suɣavoi,128_correcttrue
e-mom,130_rotten
-meat͡ʃ,131_heavy
-aʧʉⁿdʳ,132_far
-pariʧaŋ,133_near
-mɛɣas,134_cold
-mamas,135_dry
-mim,136_wet
-vɛveo,137_new
-vanim,139_come
-van,140_walk
-tul,141_stand
gi-taⁿdʳ,142_sit
-tex,143_fall
-titimaⁿdʳ,144_liedown
-laɣeni,145_turn
-sax,146_climb
-ŋioŋ,147_swim
-kuᵐbax,148_flyverb
-pʷirt͡ʃini,149_throw
-sasanʉ,150_hide
-xan,151_eat
-mʉn,152_drink
-puwe,154_spit
-marnuᵐbʷe,155_dream
-paʧ,156_sleep
-maur,157_live
-mæt͡ʃ,158_die
-tam-ᵐʙuni,159_kill
-risi,160_see
naᵐbon,162_sniffsmell
-man,163_laugh
-es,164_cry
-sɛ,165_blow
-paŋ,166_burn
-saⁿdʳʉ,167_sew
-vavⁿdari,168_pound
-ᵑgitⁿdari,169_hit
-t͡ʃavi,170_cut
-tepai,171_split
-xiri,172_dig
-kao,173_hunt
-taŋean,174_hold
-marax,175_fear
-pɛpe,176_count
-ᵑgaᵐbos,177_breathe
-lʉ,178_vomit
-pisi,179_tieup
e-pus,180_squeeze
-tumb,181_swell
-kai,182_say
-kalumʷi,183_scratch
-ʧiᵐbʷe,184_stab
-wuri,185_buy
-vɪnaɣʉ,186_steal
-lumʷi,187_plant
-ᵑgas,190_work
-vuɣe,191_open
