Batarxopugonwar,English Translation
-saɣal,1_one
i-ru,2_two
i-til,3_three
i-vat,4_four
i-lim,5_five
-xon,6_six
-ɣɛᵐbit,7_seven
-xoɛl,8_eight
-ɣesiv,9_nine
-sɪŋavil,10_ten
movil_i-ɾu,11_twenty
mov_i-lim,12_fifty
mov_siŋavil,13_onehundred
ᵑgaka,15_year
mʷɪtu,16_right
mʷiɾ,17_left
nu͂,18_i
nekir,22_weallincl
nox,23_thou
kemi,25_youall
xain,26_heshe
xair,27_theyall
xair_iru,28_theyboth
ᵐburoŋote,29_nonot
ⁿzaɣa,30_what
sɪna,31_who
ambe,32_where
i-plakɛnzɛɣa,34_how
limsax,37_above
mɛlvɛna,38_below
-lalɛn,39_ininside
ᵐbatu-m,40_head
vɪlɛ-n_ᵐbatu-m,41_hair
mata-m,42_eye
ᵑgusu-m,43_nose
ᵐboro-m,44_ear
ⁿzoŋo-m,45_mouth
mimɛ-m,46_tongue
luwo-m,47_tooth
wəra-m,48_hand
ᵐbəli-k,49_shoulder
ⁿzalɣa-m,50_neck
ⁿdaɣo-m,51_back
malɛ-m,52_leg
riɛ-m,53_blood
ⁿʒi-m,54_bone
vɪlɛ-n_ᵐbɛ-k,55_skin
laɣoa-m,56_belly
ⁿʒɪnɛ-m,57_intestines
ne-sus,58_breast
na-re,59_liver
nu-ɣoli,60_dog
manɔx,61_bird
nə-maʧ,62_fish
nə-mat,63_snake
wɪlɪt͡slɪt͡s,64_worm
naɣit,65_louse
na-xariv_ᵐbʷɪlt͡son,66_rat
ne-la,67_spider
na-mux,68_mosquito
rulu-n,69_egg
walɣe-na,70_tail
na-ɣpa-n,71_wing
vɪlɛ-n,72_feather
nɪ-miɾmiɾ,73_man
ni-vɛnar,74_woman
ⁿzarɛmɛɾe,75_child
ni-ŋsa-m,76_name
pɪpi,77_mother
tate,78_father
liliɣ_sa-m,79_husband
ni-vɛnar_sa-n,80_wife
laran,81_day
lapuŋ,82_night
na-vil,83_moon
nu-wuwoɾ,84_star
ᵐbakran,85_sky
nu-ã,86_water
nalɛp,87_lake
ⁿdas,88_sea
na-ɣamb,89_fire
ni-sna,90_smoke
ᵐbʷɪtnaɣaɸ,91_ash
nɪ-vat,92_stone
ⁿdan,93_earthsoil
ᵐbetkus,94_dust
nu-wuwon,95_sand
na-ror,97_cloud
laŋ,98_wind
ᵐbʷɛtekuɾ,99_thunder
nɪvɪlax,100_lightning
nɪ-mbix,101_meatflesh
wɛnɣe,102_fruit
nɪ-vorɣa,103_woodsforest
lapʷɛna,104_root
nɪ-raŋ-na,105_branch
roxo,106_leaf
na-ɣa,107_wood
na-mis,108_grass
ni-at,110_thatchroof
na-im,111_house
marit,112_rope
ⁿzal,113_roadpath
i-mɛɾ,114_black
i-pɪsax,115_white
i-ɣɪt͡san,117_green
i-məɣɛl,118_yellow
i-lalamb,119_big
i-teᵐbis,120_small
i-mɣʊnɣʊn,123_shyashamed
i-tɛɾa,124_old
i-nam,126_good
i-sat,127_bad
woretin-an,128_correcttrue
-lalo,129_dirty
i-mərɪvrɪv,130_rotten
i-roɸ,131_heavy
-luɣsi,132_far
-xɘriɸ,133_near
-malɣas,134_cold
i-mimas,135_dry
i-rom,136_wet
-mã,139_come
vial-an,140_walk
-tuɾ,141_stand
-at,142_sit
i-ʧoɸ,143_fall
-pɛrpiɾ,144_liedown
-rur,145_turn
-sax,146_climb
-kaɾ,147_swim
-xiɣamb,148_flyverb
-wɛrɛn_lue,149_throw
-tososoɣun,150_hide
-or,151_eat
-min,152_drink
nu-mumaɸ,153_yawn
-tɪpis,154_spit
mɪtur_porpoɾ,155_dream
-mɪtuɾ,156_sleep
i-meruɸ,157_live
i-mis,158_die
-rupin,159_kill
mɛ-lɪs,160_see
no-roŋɔ͂,161_hear
nɪ-vtin,162_sniffsmell
-ŋiɾ,163_laugh
-ŋaɾ,164_cry
i-sɛɾ,165_blow
i-ɣan,166_burn
-rur,167_sew
-te,170_cut
-piɾ,171_split
-ɣil,172_dig
-xorxor,173_hunt
-us,174_hold
mtaɣut-an,175_fear
-ʧɪpʷɪn,176_count
e-vɪ-laŋ,177_breathe
-lue,178_vomit
-mʷit͡s,179_tieup
i-puɾ,181_swell
-wiɾ,182_say
-kʊt͡skʊt͡s,183_scratch
-siɾ,184_stab
-wʊl,185_buy
-vɪnaɣe,186_steal
-ruɸ,187_plant
-titin,188_cook
-vin,189_shoot
-pas,190_work
-walɛ,191_open
