Navwienmbonvor,English Translation
isaɣal,1_one
iⁿdʳu,2_two
iⁿdil,3_three
iᵐbas,4_four
ilim,5_five
iⁿdʳaxasaɣal,6_six
iⁿdʳaxaru,7_seven
iⁿdʳaɣatil,8_eight
iⁿdʳaxavas,9_nine
ilaŋavul,10_ten
ilaŋavul_aⁿdʳu,11_twenty
nɪtao,15_year
tiᵐbʷariŋin,16_right
tɪⁿdalmʷir,17_left
inaŋk,18_i
ⁿdaru,20_webothincl
ⁿdaru,21_webothexcl
ⁿdætʉl,22_weallincl
aiuŋ,23_thou
næmut,24_youboth
namur,25_youall
arat,27_theyall
arar,28_theyboth
awa,29_nonot
nawiɛn,30_what
azɪmax,31_who
ⁿdeɣan,32_where
nɪsav_mɪtanial,33_when
i-ⁿdəman,34_how
avoɣan,35_this
asao,36_that
livɣan_mesap,37_above
sælvun,38_below
i-musun,39_ininside
nɪsɛvul,41_hair
nɪmɪtæn,42_eye
ᵑɡarsun,43_nose
nɪⁿdaliŋan,44_ear
nɪᵐboɣon,45_mouth
nɪmæᵐʙulɛn,46_tongue
niluvon,47_tooth
nɛvɛraŋk,48_hand
ᵐbataɣavan,49_shoulder
nɪⁿdɛlʊn,50_neck
nɪtaɣon,51_back
nɪᵐbulɛn,52_leg
nɪⁿdʳe,53_blood
nuᵐʙulᵐʙul,54_bone
noɣolɣol,55_skin
nɪᵐbaɣavun,56_belly
nɪsɪne,57_intestines
nusus,58_breast
nɪmamb,59_liver
nikiliu,60_dog
nɪmæn,61_bird
nɪmɪsal,62_fish
nɪmʷat,63_snake
nɪᵐbuᵐbarao,64_worm
noxut,65_louse
naɣasu,66_rat
nɪŋuŋao,67_spider
nɪteoɣas,68_mosquito
nɪmaⁿdɛlʊn,69_egg
niᵐʙusin,70_tail
naxaᵐbæn,71_wing
nɪvulɛn,72_feather
nɪmaɣiᵐbʷariŋin,73_man
nɪmilevut,74_woman
nitite,75_child
naɣasæn,76_name
æsnan,77_mother
atɪmæn,78_father
asanɣaiut,79_husband
minevut_eɣai,80_wife
lɛrɛŋ,81_day
livaɣat,82_night
naɣanbasi,83_moon
numʷosi,84_star
nɪmav,85_sky
nile,86_water
nɪᵐbulɪs_ⁿduⁿdun,87_lake
nɛtas,88_sea
naxamʙ,89_fire
iⁿduŋk,90_smoke
masuanɣamb,91_ash
nɪvat,92_stone
nɪtan,93_earthsoil
niap,94_dust
nɪᵐbinon,95_sand
nous,96_rain
nɪmæliŋk,97_cloud
nivil,99_thunder
ikaᵐbil,100_lightning
nɪvusox,101_meatflesh
nɪvʷan,102_fruit
nɪᵐʙɪɣai_iⁿdu,103_woodsforest
naxaran,104_root
nɪpʷisɛran,105_branch
nɛraxun,106_leaf
naxai,107_wood
nɪmune,108_grass
nɪtavsɛn,109_flower
nereat,110_thatchroof
nium,111_house
naɣao,112_rope
nɪsal,113_roadpath
imɛtmɪt,114_black
imævus,115_white
ipaŋpaŋ,116_red
ɡʊksan,117_green
ilutlut,118_yellow
ilamb,119_big
imɪlaalax,120_small
ikan,121_sharp
isɪkanval,122_bluntdull
imɛmɣan,123_shyashamed
iᵐbiɣaiwut,124_old
imisiɛx,125_painfulsick
isat,127_bad
ᵐbariŋin,128_correcttrue
iᵐboŋol,129_dirty
imom,130_rotten
iⁿdoɸ,131_heavy
silɛʰ,132_far
mʷosaŋ,133_near
imælɣos,134_cold
imemas,135_dry
iⁿdoᵐbⁿdoᵐb,136_wet
ᵐbɪvao,137_new
usəᵐbʷɛl,139_come
sɪᵐbulau,140_walk
asɪⁿditreŋk,141_stand
suᵐbəsuᵐb,142_sit
polɣai,143_fall
pas_ⁿdau,144_liedown
atᵐbeɣɪs,145_turn
sɪsax,146_climb
susux,147_swim
nivemp,148_flyverb
ⁿdɪtu,149_throw
usuax,150_hide
asumun,152_drink
momoial,153_yawn
nɪᵐbʷɛre,155_dream
pas,156_sleep
imauor,157_live
imæs,158_die
asɪᵐbur_isisamas,159_kill
nɪsɪlæs,160_see
asɪⁿdʳoŋ,161_hear
nɪmbon,162_sniffsmell
nɪvɪŋar,163_laugh
sɪŋanɣan,164_cry
iuvuv,165_blow
ipaŋ,166_burn
asɪⁿdur,167_sew
ⁿdiɣtɪx,168_pound
asɪⁿdi,170_cut
atnaⁿdarpor,171_split
ᵑɡil,172_dig
atɪkao,173_hunt
isɪᵐʙurvur,174_hold
mɪtaxajɛn,175_fear
atmaᵐbuliŋk,176_count
niŋar,177_breathe
silu,178_vomit
asɪŋaun,179_tieup
sɪsi,180_squeeze
iⁿditimb,181_swell
ususuɣun,182_say
asɪᵑɡaras,183_scratch
orᵐʙun,184_stab
ʙul,185_buy
atɪᵐbɪnɛx,186_steal
kor,187_plant
atnɛᵐʙusoŋk,188_cook
asɪⁿdur,189_shoot
ɛrax,190_work
sɪsɪvæn,191_open
