Laman Bay,English Translation
limɛna,48_hand
mʷɛl,17_left
merua,16_right
laːna,52_leg
mijal,140_walk
meraːpa,113_roadpath
ʷirim,139_come
ɔjlona,145_turn
mile,147_swim
minaminɛm,129_dirty
supulujaə,94_dust
kulujepena,55_skin
maⁿduna,51_back
mapona,444_stomach
purĭjuna,54_bone
snena,57_intestines
puriara,59_liver
juːna,58_breast
kupena,49_shoulder
kilĭja,315_know_understand
sᵈomiana,458_to_think
merao,175_fear
saːna,53_blood
paːrna,40_head
komesunuana,50_neck
wiluna,41_hair
kununa,43_nose
maːamaŋga,177_breathe
lipona,434_sniff
ŋgona,45_mouth
merɛluʷena,47_tooth
minana,46_tongue
pisale,163_laugh
mĭloka,164_cry
milulua,178_vomit
siʷiloro,154_spit
kinana,151_eat
silima,464_to_chew
paraːkap,188_cook
muna,152_drink
karo,212_to_bite
munaʰuʷana,448_suck
kiliŋgana,44_ear
milɔ̃ŋ,161_hear
kĭnamɛrana,42_eye
pisu,160_see
mamɛljo,153_yawn
mimɛljo,156_sleep
mono,144_liedown
mʷembʷue,155_dream
sosano,142_sit
sumaːlŭ,141_stand
iɔrina,306_person
jorumene,73_man
sira,74_woman
sisi,75_child
oʰu,79_husband
oʰu,80_wife
aʷija,77_mother
aːta,78_father
juma,111_house
lumaːjaro,455_thatch
saːki,76_name
pere,182_say
kilĭka,112_rope
jɛⁿdar,179_tieup
sulu,167_sew
mĭlamɛn,173_hunt
naŋga bini,189_shoot
naŋga mijal,184_stab
mʷe,169_hit
naŋga pino,186_steal
mʷe mar,159_kill
mʷɛri,158_die
mal,157_live
kopar,183_scratch
naŋga seː,170_cut
lak,107_wood
sepa,171_split
mal,121_sharp
putuːptu,122_bluntdull
mjuma,190_work
məpla,187_plant
oloʰyliyli,465_to_choose
kaːpur,302_to_grow
sĭrɞpⁱ,181_swell
pununuar,180_squeeze
para,174_hold
naŋga kil,172_dig
naŋga pul,185_buy
naŋga miːsaʷə,191_open
naŋga mʷe,168_pound
kwaʋe,149_throw
milor,143_fall
kuli,60_dog
mɛnu,61_bird
kuⁿdu,69_egg
wilumɛn ,72_feather
wilokupena,71_wing
kaː,148_flyverb
kawelepao,66_rat
miⁿdaᶰda,336_meat
milapʰa,258_fat
ena,70_tail
mara,63_snake
kular,64_worm
kurŭ,65_louse
na:m,68_mosquito
lɔrka,67_spider
ika,62_fish
minun,130_rotten
palaːs,105_branch
lumak,106_leaf
pʷilĭŋgas,104_root
ʍinapa,109_flower
meraːs,102_fruit
ʍilumene,108_grass
koⁿdosaːno,93_earthsoil
klaʷer,92_stone
no:on,95_sand
wiː,86_water
wiː mĭlele,286_flow
siː,88_sea
siː,419_salt
lokona,103_woodsforest
sĭⁿdopɛn,85_sky
kupɛrio,83_moon
verue,84_star
melɔ,97_cloud
simara,340_fog
juwa,96_rain
polul,99_thunder
jepla,100_lightning
laŋĭ,98_wind
ɔju,165_blow
pisusun,483_hot
miaʍe,134_cold
tu:a,135_dry
mɛⁿdu,136_wet
urum,131_heavy
kap,89_fire
kapkeka,166_burn
juᵐbɥɨ,90_smoke
mɛre snokap,91_ash
maleːlo,114_black
mĭjuʷe,115_white
piaŋga,116_red
peroro,118_yellow
memaena,117_green
tekakŋa,120_small
puwi,119_big
plasŋa,426_short
urupiaə,328_long
minineə,457_thin
merorol,456_thick
tekakŋa,359_narrow
keviju,489_wide
mɛⁿka,125_painfulsick
memawa,123_shyashamed
urmerua,124_old
urviju,137_new
po,126_good
puaŋg̊a,127_bad
 moːmal,128_correcttrue
lemelo,82_night
lɛŋgiana,81_day
mloŋ,15_year
ʍɛlŋg̊e,33_when
saːplu,150_hide
piːju,146_climb
ʍɛ,202_at
lɔŭma,39_ininside
maʷɛ,37_above
moʷasano,38_below
naŋga na,35_this
naŋga na rɛn,36_that
lawis,133_near
laːnaran ruwi,132_far
pe,32_where
onŭ,18_i
ko,23_thou
naŋga,26_heshe
iːsa,22_weallincl
oːmɛm,19_weallexcl
isalua,20_webothincl
omɛm lua,21_webothexcl
amju,25_youall
amju lua,24_youboth
laːla,27_theyall
laːle lua,28_theyboth
ia:n,30_what
aːn,31_who
ⁿdapona,138_other
punuŋg̊a,195_all
samene,199_and
vere,311_if
sape,34_how
mare,29_nonot
naŋga pulu,176_count
sa:,1_one
lua,2_two
selu,3_three
ʷɛr,4_four
limaː,5_five
ara,6_six
olua,7_seven
orol,8_eight
aʷɛr,9_nine
lualĭmɐ,10_ten
lualĭmɐ ʷa lua,11_twenty
lualĭmɐ ʷa lima,12_fifty
ponotia,13_onehundred
mɛnu,14_onethousand
