Jarailan,English Translation
tau mat͡se,14_onethousand
navravrua,424_seventy
mosanavul molima,284_fifteen
monavulðolu,460_thirty
mosanavul moravrua,423_seventeen
lavul maːt͡se,13_onehundred
moat͡se,1_one
mosanavulu,10_ten
morapaθi,9_nine
navlima,12_fifty
morua,2_two
molima,5_five
mosanavul moat͡se,257_eleven
mosanavul molmarave,430_sixteen
mosanavul moraᵐbaθi,367_nineteen
navravtolu,256_eighty
navlimrave,431_sixty
mofati,4_four
motoːlu,3_three
navulvaθi,289_forty
moraftolu,8_eight
monavulrua,11_twenty
mosanavul morua,477_twelve
mosanavul movati,288_fourteen
moravrua,7_seven
navrampaθ,368_ninety
molmarave,6_six
mosanavul moravθolu,255_eighteen
mosanavul motolu,459_thirteen
aje,82_night
moanen topona,478_umbilical_cord
fitu muβuβut pont͡sea,290_full_moon
usa pura,446_storm
niu,229_coconut
mousausa variri,325_sun_shower
peθa t͡sala,492_taro_wild
sli ololo,372_offerings_to_ancestors
sopen vitu,303_half_moon
at͡ʃila,402_pig_tusk
laun usa,411_rainy_season
poa tamlos,401_pig_male
tramit͡sa,410_rainbow
t͡ʃara tapu,413_restricted_place
paka,208_banyan_tree
wita,371_octopus
t͡ʃara momomasa,248_dry_season
fit paroparo,364_new_moon
fulea,216_breadfruit
aka,417_sail
loβaj,291_garden
molan,232_cyclone
mosusua,408_pregnant
opae,370_north
t͡ʃamana,314_kava
tana,483_hot
alo,450_sun
fuaj,223_canoe
mopaːne,338_menstruation
poa piθa,398_pig_female
marinu,438_south
parisi,412_reef
ⁿᵈram,496_yam
momi,252_earthquake
rateve putona,494_womb
paeo,425_shark
tana na turi,227_chief
tuβun niu,230_coconut_sprout
peθa ini emu,485_taro_wet
mol bura,227_chief
poa,396_pig
rave,399_pig_hermaphrodite
tas mosate,461_tsunami
peθa naparisi,249_taro_dry
pat rasefsef,225_cave
tas masava,243_deep_ocean
soru,474_wood_for_moving_stones
foθal,207_banana
tapeuka,333_manioc
asaplia,493_yam_wild
sarasara,84_star
soroa,189_shoot
taːni,164_cry
tutun,188_cook
morapaːði,9_nine
fakariɣu,54_bone
parparona,137_new
nira vuvuti,195_all
uⁿᵈroku,47_tooth
t͡sinoku,45_mouth
mapeku,59_liver
taːsi,88_sea
masanana,105_branch
maθaːku,42_eye
momel,199_and
filia,169_hit
farepetaj,489_wide
apapana,71_wing
porana,119_big
lepa,93_earthsoil
limaːku,48_hand
nao,18_i
fiːθu,83_moon
eslena,69_egg
moravrua,7_seven
loloᵐbon,82_night
t͡ʃurvano,132_far
moali,148_flyverb
t͡sat͡sao,129_dirty
aⁿᵈrua,85_sky
maːt͡ʃi,61_bird
t͡ʃaroj,138_other
koat tusia,212_to_bite
sacelⁿᵈroⁿᵈro,123_shyashamed
loloso,147_swim
ponana,162_sniffsmell
mopuen,131_heavy
lolona,39_ininside
malamala popore,155_dream
koθovonia,465_to_choose
mot͡ʃoβi,143_fall
nirarua,28_theyboth
nanisa,33_when
kofilia,168_pound
taun,15_year
aⁿᵈrira,136_wet
maːta,63_snake
pes lakataeja,179_tieup
eβiro,362_needle
moθoːlu,3_three
arivi,66_rat
t͡ʃurvano,36_that
mopura,258_fat
akaːri,35_this
maraw,17_left
tao moat͡se,14_onethousand
fanvano,140_walk
monavulrua,11_twenty
tandano,94_dust
tineɣu,57_intestines
piliku,49_shoulder
ima,111_house
aːj,86_water
momomo,130_rotten
t͡ʃonea,171_split
morua,2_two
moⁿᵈrae,116_red
aːθi,121_sharp
kamim,25_youall
araf,97_cloud
kokramu,146_climb
mama,78_father
karuku,52_leg
taona,72_feather
maθua,16_right
taːsi,419_salt
nia,26_heshe
mauri,157_live
fusrana,109_flower
mofaːt,4_four
sur sava,34_how
nok pita,80_wife
taftavuj,133_near
reve marmaroku,177_breathe
fuluku,41_hair
anian,151_eat
asiaj,112_rope
tamlos,73_man
eːt͡ʃe,76_name
saːva,30_what
niⁿᵈrarua,20_webothincl
moravtolu,8_eight
ruma,64_worm
uːθu,65_louse
roropej,359_narrow
kamimrua,24_youboth
koⁿᵈromia,311_if
malavavana,38_below
kamamrua,21_webothexcl
ferea,182_say
lan,98_wind
mososoj,181_swell
moat͡se,1_one
t͡ʃim,152_drink
kulkul,464_to_chew
molulu,115_white
ferea,145_turn
kolumia,180_squeeze
matataw,175_fear
tunu,87_lake
t͡ʃulea,184_stab
mores,29_nonot
ivif,165_blow
faraniapu,91_ash
narouku,79_husband
moet͡ʃa,117_green
fuaj,107_wood
nanas,125_painfulsick
patuku,40_head
mariri,134_cold
spaja,170_cut
momet͡ʃine,118_yellow
matamatafsaj,315_know_understand
maːt͡si,62_fish
urina,55_skin
lolomot nunu,103_woodsforest
usa,96_rain
na,202_at
ⁿᵈruina,127_bad
pirin,99_thunder
moj,68_mosquito
faleβina,120_small
rauna,106_leaf
koejvia,176_count
eu ⁿᵈran,340_fog
mosamati,122_bluntdull
ele,77_mother
faːθu,92_stone
lua,178_vomit
namana,102_fruit
mororo,286_flow
monavlima,12_fifty
falevlevu,95_sand
moputunia,456_thick
mamasa,135_dry
mokoru,166_burn
karumia,183_scratch
satina,128_correcttrue
ⁿᵈraloku,50_neck
motavinvin,457_thin
koplaja,149_throw
iːθa,31_who
paneɣu,56_belly
sacele,142_sit
maj,139_come
mometo,114_black
ronea,161_hear
lanlan vava,153_yawn
t͡ʃuruvi,156_sleep
funama,124_old
asuasu,90_smoke
turia,167_sew
koulia,191_open
ⁿᵈrae,53_blood
moⁿᵈrui,126_good
iθea,160_see
koelia,172_dig
koβolia,185_buy
firiu,60_dog
maːθi,158_die
kofilia i mati,159_kill
filavila,100_lightning
reve susu,448_suck
katonia,174_hold
falesi,108_grass
ⁿᵈrivaia,187_plant
memeku,46_tongue
nusu,154_spit
mana,163_laugh
talanaja,150_hide
epi,32_where
arina,104_root
lasi,186_steal
θcelia,173_hunt
sanaβul,10_ten
nira,27_theyall
piːta,74_woman
aːpu,89_fire
molavul,13_onehundred
fiⁿᵈrina,70_tail
moulua,302_to_grow
at͡ʃua,37_above
saːla,416_road
moran,81_day
nio,23_thou
poroku,44_ear
favet͡ʃuna,426_short
susuku,58_breast
t͡ʃuruv,144_liedown
paravuna,328_long
ⁿᵈromⁿᵈromi,458_to_think
aⁿᵈruku,51_back
fisonina,336_meat
niⁿᵈra,22_weallincl
aːto,455_thatch
naθur,75_child
koːturi,141_stand
molimarave,6_six
fauma,190_work
nalsuku,43_nose
molima,5_five
para,67_spider
