Ranochinambong,English Translation
-sa,1_one
ɔ-ru,2_two
e-tɪl,3_three
a-viʧ,4_four
ɛ-lim,5_five
o-wɔn,6_six
ɛ-βʉt,7_seven
e-wɪl,8_eight
ɛ-siu,9_nine
asɪŋavʊl,10_ten
oŋol_oru,11_twenty
oŋol_e-lim,12_fifty
oŋo_sɪŋavʊl,13_onehundred
sia,15_year
ne-mʷatu,16_right
ne-mʷaiɾi,17_left
niɔ,18_i
kiɛm,19_weallexcl
kiɛm_oru,21_webothexcl
kier,22_weallincl
nik,23_thou
kiami_ɔru,24_youboth
kiami,25_youall
ni,26_heshe
niɾi,27_theyall
nir_oru,28_theyboth
mi-t͡sige,29_nonot
ɛrpɛse,34_how
ŋok,35_this
ŋukwan,36_that
-mɛlvɛn,38_below
-loloim,39_ininside
ᵐbatu-n,40_head
ron,41_hair
ron_ᵐbatu-n,41_hair
nɛ-mtɛ-m,42_eye
ᵑgunsi-n,43_nose
ᵐboro-n,44_ear
ʧoŋo-n,45_mouth
nɛ-mɛ-n,46_tongue
nɛ-luwo-n,47_tooth
navɛɾ,48_hand
bɛrfari-n,49_shoulder
ⁿdotrɛ-n,51_back
ᵐbɘla-n,52_leg
hra,53_blood
ʧi-n,54_bone
nɛ-vɛlɛvʉlʉ-n,55_skin
ⁿdupai-n,56_belly
ʧinɛ-n,57_intestines
ne-su-n,58_breast
nɛ-rɛ-n,59_liver
ᵑgəli,60_dog
nɪ-mɪn,61_bird
na-msal,62_fish
nə-mʷɛt,63_snake
ⁿdoto,64_worm
na-ut,65_louse
na-rive,66_rat
ne-la,67_spider
nom,68_mosquito
rulu-n,69_egg
no-lolaɛ-n,70_tail
na-ᵐbɛ-n,71_wing
mowɛ-n,72_feather
norman,73_man
nɪ-vsevin,74_woman
ᵐbʷɛpɛriŋ,75_child
nɪ-sɛ-m,76_name
mɪrɛ-n,77_mother
tɛte,78_father
ⁿdewan_sɛ-n,79_husband
nɪvsɛn_so-k,80_wife
mʷirɪn,81_day
muɸoŋ,82_night
na-vʉl,83_moon
nə-mʧu,84_star
ᵐbakrin,85_sky
nuɔ,86_water
lalɛp,87_lake
ⁿdes,88_sea
na-mbə,89_fire
nosnin,90_smoke
mɛsjʉ,91_ash
nɪ-βɪt,92_stone
ⁿdan,93_earthsoil
ᵐbʷetimau,94_dust
ⁿdɪpʷenan,95_sand
na-us,96_rain
na-ᵐboro,97_cloud
lɪŋ,98_wind
ᵐbɛlvɛɾe,99_thunder
na-βili,100_lightning
ni-viso-n,101_meatflesh
no-wain,102_fruit
nɛ-tɘɾa,103_woodsforest
lapʷɛ-n,104_root
rɛŋsi-n,105_branch
roin,106_leaf
na-i,107_wood
na-mus,108_grass
ni-at,110_thatchroof
na-im,111_house
ⁿdɛl,112_rope
sɛlɛ,113_roadpath
mi-motmot,114_black
mu-wis,115_white
mi-veŋ,116_red
-lɛɸ,119_big
-wɛlele,120_small
mu-so,121_sharp
-muŋol,122_bluntdull
mu-manun,123_shyashamed
mʷi-taɾa,124_old
mi-mse,125_painfulsick
mʷi-rɛs,126_good
mʷi-siʧ,127_bad
mu-vorotun,128_correcttrue
mu-poroporo,129_dirty
mi-motmot,130_rotten
mu-roʷ,131_heavy
-aso,132_far
-mori,133_near
-namlas,134_cold
-mimɛs,135_dry
-mimim,136_wet
mi-mɛre,137_new
kuɪ-me,139_come
-mɛlɛ,140_walk
kuo-tuɾu,141_stand
ku-lek,142_sit
mi-t͡sʉ,143_fall
ku-rori,145_turn
hu-sa,146_climb
kue-loŋ,147_swim
mu-ro,148_flyverb
kuo-wɛʧeni,149_throw
kue-silβani,150_hide
ku-ain,151_eat
kuɛ-mini,152_drink
ku-mɛnɪma,153_yawn
kuɛ-ltʉ,154_spit
poɾpoɾo,155_dream
-matuɾ_poɾpoɾo,155_dream
ku-matuɾ,156_sleep
mi-mauɾu,157_live
mi-mɪt͡s,158_die
kuo-rɛʧ-bini,159_kill
ku-lesi,160_see
ku-ore,161_hear
mɛ-tɛn,162_sniffsmell
ko-mɛn,163_laugh
ku-tɪŋ,164_cry
mʷi-sɛɾe,165_blow
mʷ-ɪn,166_burn
kuo-reri,167_sew
kuo-rɛʧi,168_pound
kuo-rɛt͡si,169_hit
ku-tai,170_cut
ku-taukari,171_split
kui-βeʧi,172_dig
ku-tortotoni,174_hold
mɪ-mɪto,175_fear
-βe,176_count
kuo-lu,178_vomit
kuo-wisi,180_squeeze
mu-sol,181_swell
go-wurai,182_say
kuo-rsi,183_scratch
kuo-ʧuʧi,184_stab
kuo-wuli,185_buy
kuma-vanai,186_steal
kuo-luwi,187_plant
kuo-lue,189_shoot
kuɛ-βe,191_open
