Nivenuhe,English Translation
limana,48_hand
pa mwɛl,17_left
pa maroa,16_right
lana,52_leg
miʰal,140_walk
ᵐbrapa,113_roadpath
pimi,139_come
bloña,145_turn
kul,147_swim
koroaki,129_dirty
jaʰe,94_dust
kuliepena,55_skin
masŭna,51_back
mapøna,444_stomach
puriju,54_bone
sinesa,57_intestines
puriare,59_liver
ᵐbrajuna,58_breast
pulkaonena,49_shoulder
kilja,315_know_understand
stomɛna,458_to_think
marao,175_fear
kuruta,53_blood
pija parna,40_head
kɔmɛlkina,50_neck
wiluna,41_hair
kununa,43_nose
ᵐprelaŋ,177_breathe
ponosa,434_sniff
ŋgona,45_mouth
ᵐbraluena,47_tooth
purumenena,46_tongue
pitaːle,163_laugh
taŋ,164_cry
ᵐlilua,178_vomit
ᵐplaːsir,154_spit
kinana,151_eat
kul,464_to_chew
mwwarkap,188_cook
mun,152_drink
kaña,212_to_bite
pereʰa,448_suck
kiliŋgana,44_ear
miloŋge,161_hear
kilamɛrana,42_eye
maʷe,160_see
tekaʰoto,153_yawn
momalio,156_sleep
ᵐlormono,144_liedown
muninia,155_dream
totano,142_sit
sumal,141_stand
jaːr,306_person
jerumɛm,73_man
sira,74_woman
ninsisi,75_child
woʰu na pa jeruɛn,79_husband
woʰu na pa sira,80_wife
ana,77_mother
ata,78_father
juma,111_house
majro,455_thatch
senaki,76_name
osa,182_say
kilĭka,112_rope
ʋijarmarera,179_tieup
sulaːrja,167_sew
mileʰy,173_hunt
pinia,189_shoot
mjalja,184_stab
paneʰa,169_hit
pinaʰuña,186_steal
mʷe maria,159_kill
mʷare,158_die
mal,157_live
kuparia,183_scratch
teːa,170_cut
laki,107_wood
tepaja,171_split
mal,121_sharp
masŭna,122_bluntdull
mʲumaʰe,190_work
mapla,187_plant
paʷeʷe,465_to_choose
mapla,302_to_grow
sirøp,181_swell
piña,180_squeeze
karaja,174_hold
kilija,172_dig
pulja,185_buy
peietaʷa,191_open
mʷemʷeʰa,168_pound
koʰanua,149_throw
miloru,143_fall
lokuli,60_dog
manu,61_bird
kɔkulus,69_egg
wilulus,72_feather
kupena,71_wing
ka,148_flyverb
kawe,66_rat
taːta,336_meat
mĭlapa,258_fat
kesina,70_tail
lomara,63_snake
kular,64_worm
kuːr,65_louse
nam,68_mosquito
koromalil,67_spider
ika,62_fish
kona,130_rotten
korowas,105_branch
mak,106_leaf
pulɛŋgas,104_root
meme,109_flower
prasa,102_fruit
mamʷeni,108_grass
prorotano,93_earthsoil
klaʋɛr,92_stone
none,95_sand
wi,86_water
wi mĭlao,286_flow
siʷe,88_sea
ᵐlapa,87_lake
juːmaruwa,103_woodsforest
sinapa,85_sky
kupario,83_moon
ʷeruʷe,84_star
luːl,97_cloud
luːl,340_fog
juwa,96_rain
po:lil,99_thunder
laŋg,98_wind
juja,165_blow
pisun,483_hot
manin,134_cold
mema,135_dry
papa,136_wet
urumi,131_heavy
kaːp,89_fire
kekaña,166_burn
piju,90_smoke
sinokop,91_ash
malko,114_black
miwowo,115_white
meme,116_red
mĭlɛr,118_yellow
memeʰije,117_green
tokaːk,120_small
pawa,119_big
plaːs,426_short
piʰaə,328_long
menineə,457_thin
merorɔl,456_thick
tokɑk,359_narrow
keviju,489_wide
manika,125_painfulsick
mawa,123_shyashamed
urumerua,124_old
uruʋiju,137_new
po,126_good
pijɔwa,127_bad
mɛsmɛs,128_correcttrue
kolemalko,82_night
jɛmlaŋ,81_day
kas,15_year
auraja,33_when
milawaña,150_hide
puju,146_climb
to,202_at
lohohima,39_ininside
metaʷa,37_above
ʷatano,38_below
naːnini,35_this
naːnaŋgarne,36_that
laʷis,133_near
pe,32_where
inu,18_i
ko,23_thou
naŋga,26_heshe
ita,22_weallincl
mimi,19_weallexcl
iⁿdalua,20_webothincl
mimlua,21_webothexcl
la:la,27_theyall
la:lua,28_theyboth
janene,30_what
aji,31_who
tapena,138_other
surpuŋa,195_all
amjo,199_and
sanape,311_if
pera,34_how
mare,29_nonot
aʰunuja,176_count
taŋga,1_one
lua,2_two
telu,3_three
wari,4_four
lima,5_five
orɑj,6_six
orɛl,7_seven
oʋar,8_eight
olua,9_nine
lualima,10_ten
lualima jam lua,11_twenty
lualima jam lima,12_fifty
ponotia,13_onehundred
