Nokuku,English Translation
roβun teβ,14_onethousand
noβulpit,424_seventy
sonoβ raβ lim,284_fifteen
noβultol,460_thirty
sonoβ raβ pit,423_seventeen
lel vaɣa teβ,13_onehundred
tewa,1_one
sonoβul,10_ten
t͡ʃiβ,9_nine
noβullim,12_fifty
rua,2_two
lima,5_five
sonoβ raβ teβ,257_eleven
sonoβ raβ on,430_sixteen
sonoβ raβ t͡ʃiβ,367_nineteen
noβulɒl,256_eighty
noβulon,431_sixty
βat,4_four
tolu,3_three
noβulvat,289_forty
ɒl,8_eight
noβuluru,11_twenty
sonoβ raβ ru,477_twelve
sonoβ raβat,288_fourteen
pit,7_seven
noβult͡ʃiβ,368_ninety
on,6_six
sonoβ raβ ɒl,255_eighteen
sonoβ raβ tol,459_thirteen
osos wul,478_umbilical_cord
sa men namon,290_full_moon
us laβ,446_storm
niu,229_coconut
reprep,325_sun_shower
βiːkanpandla,492_taro_wild
petin poe,402_pig_tusk
rɒn us,411_rainy_season
polman,401_pig_male
meren mera,410_rainbow
paʔ,208_banyan_tree
kwit,371_octopus
altaβor,248_dry_season
wul wot,364_new_moon
alta rersak,253_east
pek,216_breadfruit
oβo,417_sail
lej,291_garden
lɒn los,232_cyclone
u,246_dolphin
sima cea,408_pregnant
oβ kopan,314_kava
tan,483_hot
al,450_sun
ɒβ,223_canoe
ʔuʔuk,338_menstruation
ur,398_pig_female
mal,412_reef
ɒm,496_yam
mu,252_earthquake
ɒs kin pʷiton,494_womb
pace,425_shark
tan kin t͡ʃur,227_chief
sulan,230_coconut_sprout
pʷet kin wura,485_taro_wet
moli,227_chief
poe,396_pig
raβ,399_pig_hermaphrodite
wɒkok,249_taro_dry
pʷapʷan mʷal,225_cave
tɒs malket͡ʃ,243_deep_ocean
suko,474_wood_for_moving_stones
βetɒl,207_banana
ɒmpi,333_manioc
kalo,493_yam_wild
alta pun,488_west
mat͡ʃo,84_star
suli,189_shoot
kɒkɒr,164_cry
βeβela,188_cook
t͡ʃiwa,9_nine
suiʔ,54_bone
aβo,137_new
roβroβok,195_all
petiʔ,47_tooth
wɒwɒʔ,45_mouth
mapʷen,59_liver
tɒs,88_sea
rɛran,105_branch
metɒʔ,42_eye
ro,199_and
losi,169_hit
matlaβ,489_wide
kaβen,71_wing
salaβ,119_big
lep,93_earthsoil
limaʔ,48_hand
nɒ,18_i
wul,83_moon
otolin,69_egg
pitu,7_seven
ʔoʔor,82_night
eβantoce,132_far
sal,148_flyverb
ʔutʔut,129_dirty
mase,85_sky
man,61_bird
tuae,138_other
kɒtmoti,212_to_bite
memekɔn,123_shyashamed
lolos,147_swim
ponpon,162_sniffsmell
pupucet,131_heavy
lolon,39_ininside
metopopor,155_dream
nenej,465_to_choose
wor,143_fall
ruru,28_theyboth
pʷanes,33_when
ʔenʔenil,168_pound
toun,15_year
eris,136_wet
mʷat,63_snake
kat͡ʃe,179_tieup
kɒ t͡ʃukt͡ʃukut,362_needle
tolu,3_three
keriβ,66_rat
eβan,36_that
sosokon,258_fat
ene,35_this
βakamerɒ,17_left
roβun teβ,14_onethousand
lelak,140_walk
noβuloru,11_twenty
kuβkuβ,94_dust
tineʔ,57_intestines
riri,49_shoulder
βenu,111_house
pej,86_water
aβ,130_rotten
taβʔale,171_split
rua,2_two
cekar,116_red
kɒkɒn,121_sharp
omto,25_youall
oʔ,97_cloud
cerak,146_climb
temaʔ,78_father
seri,52_leg
wulun,72_feather
βakametu,16_right
tɒs,419_salt
nicin,26_heshe
meur,157_live
βiran kɒ,109_flower
βati,4_four
worsa,34_how
morem,80_wife
tetaβor,133_near
manmanos,177_breathe
wul,41_hair
konkon,151_eat
ɒs,112_rope
leman,73_man
kisem,76_name
nesae,30_what
oru,20_webothincl
ɒlu,8_eight
mʷalʔe,64_worm
kut,65_louse
cicit,359_narrow
omru,24_youboth
pa,311_if
βeβan,38_below
oru touru,21_webothexcl
veti,182_say
lɒn,98_wind
sosol,181_swell
tewa,1_one
oʔ,152_drink
t͡ʃam,464_to_chew
wuʔ,115_white
ʔeʔek,145_turn
et͡ʃkoni,180_squeeze
woto,175_fear
nuk,87_lake
sukuti,184_stab
oa,29_nonot
seser,165_blow
