Alavasalavas,English Translation
-hual,1_one
-rue,2_two
-til,3_three
-ðat,4_four
-linɛ,5_five
-ɣon,6_six
-ɣondit,7_seven
-ɣoal,8_eight
-ɣɛhɛve,9_nine
-haŋaðil,10_ten
wovul_u-rue,11_twenty
woðilne,12_fifty
woðaŋaðil,13_onehundred
nu-huwað,15_year
na-matue,16_right
na-maiɾe,17_left
ɣina,18_i
kanan,19_weallexcl
kananrue,21_webothexcl
lekɛre,22_weallincl
wunox,23_thou
kanrue,24_youboth
kan,25_youall
ɣi,26_heshe
ɣar,27_theyall
tihiɣa,29_nonot
bihiɣa,29_nonot
naha,30_what
ihi,31_who
ɣande,32_where
taxaðe,33_when
ha-vahara,34_how
hiŋe,35_this
-maɾo,37_above
-laŋalgaðɛn,38_below
-lalalon,39_ininside
na-ᵐbatu-k,40_head
nɪðil,41_hair
nɪðil_batu-k,41_hair
na-nata-k,42_eye
nu-kunuhu-k,43_nose
no-ᵐbororo-k,44_ear
nu-suŋo-k,45_mouth
nɛ-nɛnɛ-,46_tongue
nu-luvo-k,47_tooth
na-ðara-k,48_hand
nɪ-ᵐbili-k,49_shoulder
nɛ-ᵐbɪtralo-k,50_neck
nɪ-suᵐbuna-k,51_back
naᵐbalako-k,52_leg
ni-si-k,54_bone
nɪ-ðil,55_skin
nɪ-ðil_dilik,55_skin
ni-hinɪ-k,56_belly
nɛltɛgna-sə-ne,57_intestines
no-huhu-k,58_breast
na-ᵐbɛ-m,59_liver
ni-viɾi,60_dog
na-nanɣɔ,61_bird
na-nas,62_fish
na-ɣut,65_louse
na-rið,66_rat
ne-la,67_spider
na-mɣɔ,68_mosquito
nu-rul-to,69_egg
na-valau-ne,70_tail
na-ⁿdɛ-n,71_wing
ni-ðil-muan,72_feather
nɛ-mɛrɛte,73_man
na-ðaðɛn,74_woman
ni-ʧiᵐblax,75_child
na-haɣe,76_name
ʃuʒu,77_mother
tɛte,78_father
oroŋɔ,79_husband
lɛgtɛr_ha-k,80_wife
tiran,81_day
tuᵐbuŋ,82_night
na-βule,83_moon
no-vovoɾ,84_star
nɛ-ⁿdegnaran,85_sky
no-a,86_water
na-lɛnd,87_lake
na-tah,88_sea
na-and,89_fire
nɪ-hɪ,90_smoke
nɪ-hɪ_na-nd,90_smoke
nɪ-ᵐbɪtmaɸ,91_ash
na-ðat,92_stone
na-tan,93_earthsoil
nɪ-ᵐbɪtmaɸ,94_dust
na-hue,96_rain
na-laŋ,98_wind
na-kuɾu,99_thunder
nɪ-ðilax,100_lightning
no-vohowʊθ,101_meatflesh
no-voroa,103_woodsforest
na-laᵐbai-ne,104_root
na-raŋa-n,105_branch
na-raune,106_leaf
na-i,107_wood
na-nuh,108_grass
nɛ-ɾeat,110_thatchroof
ne͡-ime,111_house
na-narte,112_rope
na-hal,113_roadpath
tu-loŋ,114_black
tɪ-ᵐbiahavo,115_white
tɪ-nial,116_red
ti-ɣasan,117_green
tɪ-mɛlɛɣ,118_yellow
ti-vɛlvɛle,120_small
tu-mʷon,121_sharp
tɪ-ᵐbazis,122_bluntdull
nu-noɣonɣan,123_shyashamed
nɛ-mɛrsean,124_old
tu-ros,125_painfulsick
ti-naki,126_good
ti-hat,127_bad
tu-momo,130_rotten
tu-roɸ,131_heavy
-luhuɣa,132_far
woruð,133_near
-nanalah,134_cold
ti-nanah,135_dry
ti-hinin,136_wet
ti-ᵐbara,137_new
nu-tutoro,141_stand
niti-at,142_sit
tu-soð,143_fall
nu-ror,145_turn
wa-hax,146_climb
ni-tial,147_swim
ti-tahix,148_flyverb
u-vis,149_throw
wu-vtehuwun,150_hide
nutu-or,151_eat
nu-num,152_drink
ni-nanað,153_yawn
nu-luvtuθ,154_spit
poɾpoɾ,155_dream
nu-nutuɾ_poɾpoɾ,155_dream
nu-tuɾu-ɛl,156_sleep
ti-nɛvere,157_live
ti-na,158_die
u-ɾum-bana,159_kill
ni-lɛ,160_see
nu-roŋɔ,161_hear
nɛ-ðauru,163_laugh
niti-ŋara,164_cry
ti-hiɾi,165_blow
ti-gan,166_burn
wu-ruɾu,167_sew
u-ruᵐbuɾuᵐb,168_pound
u-ɾumbə,169_hit
wu-hinde,170_cut
wo-ɣil,172_dig
u-vuɾuʰ,174_hold
nu-tulɣɔ,175_fear
wɛ-hɛrtɪn,176_count
nu-nulue,178_vomit
wo-sal,179_tieup
o-vihiɣɪn,180_squeeze
tu-wuwun,181_swell
o-vaɾa,182_say
o-koskos,183_scratch
wo-haɾa,184_stab
wo-vol,185_buy
wu-ðanax,186_steal
u-ruɸ,187_plant
wu-ðin,189_shoot
wo-ðehax,190_work
