Uripivtautu,English Translation
sansan,1_one
o-ru,2_two
ɛ-tɛl,3_three
a-wet͡s,4_four
e-lim,5_five
asɪŋaol,10_ten
sia,15_year
nɪ-matuɾu,16_right
nɪ-mair,17_left
nɔ,18_i
kɛm_kabʷɔ,19_weallexcl
kɛru,20_webothincl
kɛmru_kopɔ,21_webothexcl
kɛr,22_weallincl
nik,23_thou
kamro_oru,24_youboth
kami_kopɔ,25_youall
nir,26_heshe
nir_kopɔ,27_theyall
ɛ-ʧige,29_nonot
ⁿʧe,30_what
se,31_who
ambɛ,32_where
sueliŋ,33_when
hɛrpese,34_how
ŋel,35_this
ŋokwan,36_that
-mare,37_above
-mɛluɛn,38_below
-loloim,39_ininside
ᵐbatu-n,40_head
ron,41_hair
ron_ᵐbatu-n,41_hair
nɛ-mtɛ-n,42_eye
ᵑgunsi-n,43_nose
ᵐboro-n,44_ear
ⁿʒiŋo-n,45_mouth
nɛ-mɛ-n,46_tongue
liwɛ-n,47_tooth
nɛwɛɾɛ-n,48_hand
ᵐbɛrpari-n,49_shoulder
nowɛ-n,50_neck
ⁿdao-n,51_back
ᵐbɪlan,52_leg
ⁿdʳa-n,53_blood
ⁿʧi-n,54_bone
ne-ulu-n,55_skin
ⁿdopai-n,56_belly
ⁿʒinɛ-n,57_intestines
na-sus,58_breast
ᵑguli,60_dog
nu-mɛn,61_bird
na-msal,62_fish
nu-mɛt,63_snake
ⁿdoto,64_worm
na-ut,65_louse
na-riu,66_rat
ne-la,67_spider
nom,68_mosquito
na-arlu-n,69_egg
no-lolai-n,70_tail
naᵐbɛ-n,71_wing
mownɛ-n,72_feather
norman,73_man
nɛ-sewin,74_woman
ᵐbɛpwariŋ,75_child
ni-sɛ-n,76_name
mɛrɛn,77_mother
tɛte,78_father
ⁿdɛwɛn_sɛ-n,79_husband
nɪ-sɛn-ʧɛ-n,80_wife
na-terɪn,81_day
na-taboŋ,82_night
na-ul,83_moon
muʧo,84_star
mesa,85_sky
nu-wɔ,86_water
ⁿdes,88_sea
na-mb,89_fire
os,90_smoke
ni-vɛt,92_stone
ⁿdan,93_earthsoil
ᵐbetimao,94_dust
ⁿdepɪnan,95_sand
na-us,96_rain
na-ᵐboro,97_cloud
lɛŋ,98_wind
ᵐbɛlwer,99_thunder
na-wil,100_lightning
wiso-n,101_meatflesh
nonɛn,102_fruit
lɛlmarul,103_woodsforest
tlapɛ-n,104_root
rɛŋsi-n,105_branch
roin,106_leaf
na-i,107_wood
na-mus,108_grass
ni-at,110_thatchroof
na-im,111_house
ⁿdɛl,112_rope
sɛl,113_roadpath
o-mɔtmɔt,114_black
o-wis,115_white
o-soŋsoŋ,116_red
ɛ-lɛp,119_big
ɛ-ᵐbit,120_small
ɔ-so,121_sharp
a-pat,122_bluntdull
ɛ-mtɔ,123_shyashamed
a-taɾa,124_old
ɛ-mse,125_painfulsick
ɛ-rɛs,126_good
ɛ-sɪʧ,127_bad
ɛ-wuretun,128_correcttrue
o-motmot,130_rotten
o-ro,131_heavy
oto-asu,132_far
oto-mʷori,133_near
na-mlas,134_cold
ɛ-mɛs,135_dry
ɛ-mim,136_wet
ɛ-mɛr,137_new
ɛ-mɛ,139_come
nɛ-wɛl,140_walk
nɛ-wɛlɛn,140_walk
o-turu,141_stand
ɛ-lɛk,142_sit
ɛ-ʧeu,143_fall
a-mʷɔsi,144_liedown
o-rori,145_turn
a-sa,146_climb
a-lalos,147_swim
o-ro,148_flyverb
ɛ-wɛʧi,149_throw
ɛ-silwani,150_hide
a-in,151_eat
ɛ-mɪni,152_drink
ɛ-nma,153_yawn
o-lto,154_spit
-ᵐbori,155_dream
a-maturu,156_sleep
ha-maoɾ,157_live
hɛ-mɛʧ,158_die
