Winsao,English Translation
auna moese,14_onethousand
naβul raβrua,424_seventy
naβul tolu,460_thirty
naβul va ese,13_onehundred
moese,1_one
sanaβulu,10_ten
raβaːte,9_nine
naβul lima,12_fifty
morua,2_two
mo lima,5_five
sanaβul moese,257_eleven
sanaβul moraβate,367_nineteen
naβul raptolu,256_eighty
naβul limaraβe,431_sixty
βaːti,4_four
motolu,3_three
naβul βaːte,289_forty
raptolu,8_eight
naβulrua,11_twenty
sanaβul morua,477_twelve
raβrua,7_seven
naβul raβaːte,368_ninety
limaraβe,6_six
sanaβul motolu,459_thirteen
tan reot͡ʃe βula,478_umbilical_cord
βula βatine,290_full_moon
usa lalampa,446_storm
matui,229_coconut
usa alo,325_sun_shower
e piaroa,492_taro_wild
βali wula,303_half_moon
akoe poe,402_pig_tusk
βula βun,411_rainy_season
poe tauku,401_pig_male
laplape marae,410_rainbow
te paka,208_banyan_tree
nawita,371_octopus
βula tatur lampa,248_dry_season
mate alo wuti,253_east
liβu,216_breadfruit
e oβo,417_sail
uma,291_garden
laːni,232_cyclone
tolpin,246_dolphin
taːna,483_hot
e alo,450_sun
wi aːmpu,223_canoe
tən teana,338_menstruation
kura,398_pig_female
matamase celi,438_south
parana,412_reef
kam,496_yam
muj,252_earthquake
ase putona,494_womb
sak,425_shark
tuβu,230_coconut_sprout
peta eβura,485_taro_wet
moli,227_chief
poe,396_pig
e raːβe,399_pig_hermaphrodite
peta e βorukoru,249_taro_dry
βaβae puria,225_cave
tas pua,243_deep_ocean
kalauti,474_wood_for_moving_stones
βatali,207_banana
paloa,333_manioc
kam wila,493_yam_wild
matamasa kolu,488_west
eβitu,84_star
kusuβi,189_shoot
taːni,164_cry
koaβamet͡ʃo,188_cook
taraβaːti,9_nine
esuiᵑka,54_bone
taːβuni,137_new
ire βuβuti,195_all
eakoka,47_tooth
et͡ʃinoᵑɡa,45_mouth
mapeᵑɡa,59_liver
taːsi,88_sea
taβana,105_branch
mataᵑɡa,42_eye
twen,199_and
kurupi,169_hit
sala laᵐpa,489_wide
papauna,71_wing
talaᵐpa,119_big
eone,93_earthsoil
limaᵑka,48_hand
nao,18_i
eβula,83_moon
tolina,69_egg
taraβrua,7_seven
taponi,82_night
sal paraβu,132_far
tejnsale,148_flyverb
et͡ʃao,129_dirty
emuae,85_sky
maːno,61_bird
tat͡ʃae,138_other
koatroto,212_to_bite
βaβaepe,123_shyashamed
kololoso,147_swim
ponana,162_sniffsmell
tapʷet,131_heavy
lalolo,39_ininside
porporo,155_dream
malej,465_to_choose
kat͡ʃoβi,143_fall
irerua,28_theyboth
anisa,33_when
kujlejla,168_pound
tauni,15_year
tamekmecin,136_wet
marita,63_snake
kuβisi,179_tieup
matae tulatula,362_needle
tatolu,3_three
ariβi,66_rat
liβane,36_that
teiᵑɡβasosonia,258_fat
lane,35_this
marauᵑka,17_left
tanaβul βa ese auna ta ese,14_onethousand
cealali,140_walk
tanaβulrua,11_twenty
tanporoso,94_dust
takliᵑɡa,57_intestines
pilika,49_shoulder
eima,111_house
epej,86_water
tat͡ʃirae,130_rotten
kusilakala,171_split
tarua,2_two
takara,116_red
