Wwalaha,English Translation
katukʷale,1_one
kairua,2_two
kaitolu,3_three
kaiβati,4_four
kailima,5_five
kaiʲono,6_six
kaiᵐbitu,7_seven
kaikʷalu,8_eight
kaihikʷa,9_nine
haŋaβulu,10_ten
nafkairua,11_twenty
nafkailima,12_fifty
findolua,13_onehundred
tari,14_onethousand
hukao,15_year
matua,16_right
ŋʷari,17_left
nau,18_i
kami,19_weallexcl
kitarua,20_webothincl
kamirua,21_webothexcl
kita,22_weallincl
niᵑɡo,23_thou
kamurua,24_youboth
kamu,25_youall
aia,26_heshe
ira,27_theyall
rarua,28_theyboth
hetea,29_nonot
havakɪna,30_what
ihe,31_who
aβe,32_where
havataro,33_when
kʷoroho,34_how
hɪka,35_this
hɪnea,36_that
aulu,37_above
taβtina,38_below
lolona,39_ininside
ᵑɡʷatu,40_head
ɸulu,41_hair
mata,42_eye
ᵑɡʷaŋo,43_nose
ᵑɡʷero,44_ear
kʷakʷa,45_mouth
mea,46_tongue
lifo,47_tooth
kaᵐba,48_hand
tiᵑɡʷa,49_shoulder
kusu,50_neck
ᵑɡula,51_back
ᵑɡaru,52_leg
ⁿdae,53_blood
hui,54_bone
finʊ,55_skin
taᵑɡʷaŋ,56_belly
huhu,58_breast
ate,59_liver
kʷiriu,60_dog
manu,61_bird
ɪka,62_fish
ŋʷata,63_snake
sulet̚,64_worm
kutu,65_louse
kariβi,66_rat
ᵑɡʷara,67_spider
namo,68_mosquito
tolu,69_egg
kolo,70_tail
kaᵐba,71_wing
fulu,72_feather
ŋʷera,73_man
fafinɛ,74_woman
favine,74_woman
natu,75_child
hina,76_name
retahiᵑɡu,77_mother
tamaᵑɡu,78_father
tuaᵑɡu_ŋʷarasea,79_husband
fafine_hiᵑɡu,80_wife
rani,81_day
ᵐboŋi,82_night
fula,83_moon
vitu,84_star
taɪtaɪ,85_sky
kʷai,86_water
kʷalnɐkʷai,87_lake
karata,88_sea
kaᵐbu,89_fire
ahu,90_smoke
falala,91_ash
fatu,92_stone
tano,93_earthsoil
ᵑɡʷia,94_dust
one,95_sand
uha,96_rain
taɪnalaŋ,97_cloud
laŋi,98_wind
ᵑɡʷatuhari,99_thunder
fila______vila,100_lightning
ᵐbiki,101_meatflesh
kʷæɪki,102_fruit
ᵐbuᵐbu,103_woodsforest
kaikʷari,104_root
raŋa,105_branch
rau,106_leaf
finaɪ,107_wood
ⁿdufu,108_grass
ⁿduβu,108_grass
vira,109_flower
ato,110_thatchroof
iŋʷa,111_house
karo,112_rope
hala,113_roadpath
maeto,114_black
lotu,115_white
kara,116_red
kesɐna,117_green
aŋora,118_yellow
lakua,119_big
kelekele,120_small
hoko,121_sharp
ᵑɡʷatoa,122_bluntdull
maimai,123_shyashamed
tuaɪ,124_old
kakaⁿdi,125_painfulsick
karea,126_good
hati,127_bad
kareaki,128_correcttrue
hoᵑɡo,129_dirty
mɐⁿdamɐⁿda,130_rotten
manmaⁿda,130_rotten
mava,131_heavy
fakahaʊ,132_far
ᵑɡaᵑɡarani,133_near
kaŋkaŋʷa,134_cold
mamaha,135_dry
meˀᵐbuka,136_wet
karaᵑɡʷa,137_new
karuaki,138_other
fanamaɛ,139_come
lakaɔ,140_walk
tu,141_stand
huᵑɡu,142_sit
sovi,143_fall
ŋʷalulu,144_liedown
ᵐbohi,145_turn
ᵑɡalo,146_climb
karʊ,147_swim
rovo,148_flyverb
fʷohokɪ,149_throw
tavunikɪ,150_hide
kankan,151_eat
ɪnu____inu,152_drink
mamao,153_yawn
lɪⁿdo,154_spit
liⁿdo,154_spit
ᵐboᵐbore,155_dream
maturu,156_sleep
ahi,157_live
mate,158_die
kʷohi_mate,159_kill
taᵑɡa,160_see
roŋo,161_hear
suruŋ,162_sniffsmell
mana,163_laugh
ŋara,164_cry
here,165_blow
kao,166_burn
harɪ,168_pound
kʷohi,169_hit
tai,170_cut
taikʷakɐ,171_split
keli,172_dig
viro,173_hunt
kʷiriᵐbiᵐbi,174_hold
mataku,175_fear
falu,176_count
revemaᵐbu,177_breathe
lua,178_vomit
kʷeti,179_tieup
kʷoro,180_squeeze
fikɪ,181_swell
viti,182_say
fiti,182_say
karo,183_scratch
tene,184_stab
fʷoli,185_buy
vʷoli,185_buy
ᵐbalu,186_steal
riβu,187_plant
tutun,188_cook
fene,189_shoot
ᵐbolok,190_work
takahɪ,191_open
